"X__2"	"2018"	"X__3"	"X__4"	"2017"	"X__5"	"X__6"
"Gas"	"468"	"0.23"	"2189"	"414"	"0.21"	"2196"
"Oil"	"33"	"0.22"	"257"	"39"	"0.27"	"238"
"Electric"	"106"	"0.43"	"386"	"110"	"0.38"	"423"
"Other"	"13"	"0.24"	"72"	"20"	"0.32"	"91"
0	0	0	0	0	0	0
"B - C"	"213"	"0.19"	"1157"	"208"	"0.2"	"1136"
"D"	"283"	"0.28999999999999998"	"1198"	"238"	"0.23"	"1241"
"E"	"87"	"0.31"	"395"	"84"	"0.3"	"396"
"F - G"	"36"	"0.35"	"155"	"53"	"0.45"	"175"
"Total"	"619"	"0.25"	"2905"	"583"	"0.24"	"2948"
0	0	0	0	0	0	0
0	0	0	0	0	0	0
