"Time"	"Abandoned"	"Application Refused"	"Application Submitted"	"Application Withdrawn"	"Awaiting Construction"	"Connection Applied For"	"Decommissioned"	"No Application Made"	"Operational"	"Planning Application Withdrawn"	"Planning Permission Expired"	"Under Construction"
2014-12-01	456.3	5014.5	3826.5	0	8085.3	757	19.2	1771.9	5859.6	3832	0	659.1
2015-01-01	456.3	5091.4	3679.5	0	8269.1	757	20.2	1771.9	5862.5	3835.9	0	673.6
2015-02-01	456.3	5221.6	3769.8	0	8240.5	757	20.2	1825.9	5874	3835.9	0	729.9
2015-03-01	456.3	5118.8	4319.99	3808.3	8187.9	757	20.2	2260.9	5877.2	0	0	729.7
2015-04-01	456.3	5192.6	4404.4	3808.3	8205.1	757	20.2	2260.9	5920.3	0	0	696.7
2015-05-01	456.3	5179.8	4902.2	3808.3	8278.5	757	20.2	2260.9	5903.2	0	0	735.2
2015-06-01	456.3	5222.6	4473	3904.3	8236.2	757	20.2	2260.9	5914.2	0	0	751.1
2015-07-01	459.2	5443.6	4331.3	3928.1	8198.8	757	20.2	2260.9	5956.9	0	0	850
2015-08-01	481.2	5639.3	4193.7	4042.1	7755.6	0	20.2	0	5958.4	0	0	1364.1
2015-09-01	481.2	5672.8	4290.2	4065.9	7716.8	0	20.2	0	5975.4	0	0	1451.1
2015-10-01	488.7	5821.9	4140.5	4086.9	7685.7	0	20.2	0	5977.2	0	0	1551.9
2015-11-01	488.7	5755.2	4216.6	4161.9	7610.5	0	20.2	0	5993.7	0	0	1577.4
2015-12-01	488.7	5867.5	4272.8	4163.4	7553.3	0	20.2	0	5993.7	0	0	1686.2
2016-01-01	496.7	5950.2	4517.1	4203.4	7369.1	0	20.2	0	6133	0	2.7	1560.9
2016-02-01	521.7	6001	4454.9	4212.6	7306.3	0	20.2	0	6133	0	2.7	1624.2
2016-03-01	521.7	6065.8	4411	4226.6	7071.2	0	20.2	0	6194.2	0	12.7	1853.4
2016-04-01	534.2	6151.4	4252.7	4253.6	6833.9	0	20.2	0	6245.2	0	12.7	2038.5
2016-05-01	534.2	6266.2	4223.7	4370	6772.2	0	20.2	0	6329.8	0	12.7	2002.7
2016-06-01	539.2	6326.7	4238.3	4373	6779.4	0	20.2	0	6422	0	12.7	1914.2
2016-07-01	403.5	6309.9	4453.4	4373	6947.4	0	20.2	0	6479.9	0	12.7	1849.5
2016-08-01	403.5	6278.8	6580.2	4396.8	4738.9	0	20.2	0	6485	0	12.7	1880.2
2016-09-01	408.8	6280.4	6552.7	4409.8	4607.8	0	20.2	0	6513	0	12.7	1962.6
2016-10-01	408.8	6512.7	6209.8	4409.8	4472.3	0	20.2	0	6567	0	12.7	2160.1
2016-11-01	428.8	6492.9	5954	4501.6	4675.8	0	20.2	0	6637.2	0	12.7	2115
2016-12-01	523.1	6573.8	5435.3	4633.2	4869.4	0	20.2	0	6674.5	0	12.7	2089.6
2017-01-01	523.1	6559.2	5494.3	4633.2	4930	0	20.2	0	6801.7	0	12.7	1942.1
2017-02-01	540.9	6654.8	5587.5	4633.2	4905.7	0	20.2	0	6813.9	0	14.3	1983
2017-03-01	540.9	6715.8	5503.7	4634.2	4819.2	0	20.2	0	7022.6	0	40.3	1931.8
2017-04-01	540.9	6748.8	5450.1	4644.2	4852.4	0	20.2	0	7369.7	0	40.3	1627.4
2017-05-01	540.9	6780.4	5406.1	4658.2	4043.8	0	20.2	0	7457.2	0	44.3	2399.2
2017-06-01	540.9	6780.4	3115.2	4703.1	6338.6	0	20.2	0	7497.5	0	44.3	2375.1
2017-07-01	540.9	6835.2	3224.7	4703.1	6404.3	0	20.2	0	7499	0	44.3	2408.9
2017-08-01	540.9	6819.1	3041.1	4708.1	6535.3	0	20.2	0	7577.7	0	44.3	2411.3
2017-09-01	540.9	6819.1	3041.1	4708.1	6535.3	0	20.2	0	7577.7	0	44.3	2411.3
2017-10-01	420.9	6898.9	2922.2	4710.1	6727.2	0	20.2	0	7584.7	0	44.3	2412.3
2017-11-01	421.9	7036.9	2680.7	4710.1	6889.2	0	20.2	0	7687	0	44.3	2311.9
2017-12-01	421.9	7079.6	2451.2	4798.1	6844.5	0	20.2	0	8129.1	0	44.3	1869.8
2018-01-01	421.9	7079.6	2360.6	4798.1	6897.4	0	20.2	0	8132.1	0	44.3	1864.8
2018-02-01	421.9	7127.6	2326.5	4798.1	6919.7	0	20.2	0	8196.3	0	44.3	1806.6
2018-03-01	421.9	7094.6	2364.5	4798.1	6896.1	0	20.2	0	8435.3	0	88.3	1586.5
2018-04-01	301.9	7112.6	2219.5	4798.1	7187.1	0	20.2	0	8538.2	0	127.3	1522.6
2018-05-01	476.8	6884.7	2560.2	4825.1	7232.6	0	24.2	0	8546.8	0	127.3	1607.8
2018-06-01	476.8	6952.7	2442.2	4825.1	7282.2	0	24.2	0	8631.5	0	127.3	1529.5
2018-07-01	481.8	7022.5	3384.5	4818.1	7306.6	0	25.2	0	8633.5	0	149.3	1536.4
2018-08-01	575.8	7042.5	3414.9	4818.1	7319.9	0	25.2	0	8641.4	0	152	1528.5
2018-09-01	1275.8	7086.4	3387.6	4836.1	7285.6	0	25.2	0	8843.1	0	193.8	1380.8
