"Date"	"CODE"	"Country"	"Air source heat pump Applications"	"Air source heat pump Accredited"	"Ground source heat pump Applications"	"Ground source heat pump Accredited"	"Biomass Applications"	"Biomass Accredited"	"Solar Applications"	"Solar Accredited"	"Total Applications"	"Total Accredited"
Feb 2015	"S92000003"	"Scotland"	"1730"	"1506"	"583"	"498"	"1733"	"1607"	"627"	"539"	"4673"	"4150"
Mar 2015	"S92000003"	"Scotland"	"2895"	"2577"	"727"	"574"	"2395"	"1987"	"783"	"689"	"6800"	"5827"
Apr 2015	"S92000003"	"Scotland"	"3255"	"2841"	"790"	"601"	"2444"	"2118"	"904"	"744"	"7393"	"6304"
May 2015	"S92000003"	"Scotland"	"3444"	"3047"	"799"	"629"	"2496"	"2227"	"913"	"766"	"7652"	"6669"
Jun 2015	"S92000003"	"Scotland"	"3524"	"3192"	"808"	"683"	"2863"	"2550"	"935"	"828"	"8130"	"7253"
Jul 2015	"S92000003"	"Scotland"	"3795"	"3504"	"820"	"733"	"2884"	"2696"	"945"	"862"	"8444"	"7795"
Aug 2015	"S92000003"	"Scotland"	"3930"	"3671"	"827"	"761"	"2910"	"2757"	"951"	"874"	"8618"	"8063"
Sep 2015	"S92000003"	"Scotland"	"4015"	"3752"	"844"	"776"	"3116"	"2904"	"968"	"882"	"8943"	"8314"
Oct 2015	"S92000003"	"Scotland"	"4134"	"3853"	"852"	"792"	"3125"	"2975"	"986"	"896"	"9097"	"8516"
Nov 2015	"S92000003"	"Scotland"	"4283"	"4002"	"860"	"806"	"3189"	"3037"	"1003"	"916"	"9335"	"8761"
Dec 2015	"S92000003"	"Scotland"	"4404"	"4139"	"873"	"820"	"3375"	"3137"	"1023"	"934"	"9675"	"9030"
Jan 2016	"S92000003"	"Scotland"	"4475"	"4211"	"910"	"857"	"3381"	"3193"	"1036"	"952"	"9802"	"9213"
Feb 2016	"S92000003"	"Scotland"	"4626"	"4366"	"917"	"868"	"3430"	"3223"	"1045"	"960"	"10018"	"9417"
Mar 2016	"S92000003"	"Scotland"	"4812"	"4548"	"933"	"887"	"3495"	"3310"	"1061"	"977"	"10301"	"9722"
Apr 2016	"S92000003"	"Scotland"	"4990"	"4731"	"944"	"900"	"3516"	"3335"	"1072"	"985"	"10522"	"9951"
May 2016	"S92000003"	"Scotland"	"5079"	"4826"	"951"	"909"	"3534"	"3366"	"1085"	"994"	"10649"	"10095"
Jun 2016	"S92000003"	"Scotland"	"5189"	"4931"	"968"	"924"	"3615"	"3417"	"1100"	"1008"	"10872"	"10280"
Jul 2016	"S92000003"	"Scotland"	"5243"	"4978"	"978"	"936"	"3627"	"3467"	"1112"	"1017"	"10960"	"10398"
Aug 2016	"S92000003"	"Scotland"	"5291"	"5025"	"993"	"943"	"3634"	"3511"	"1121"	"1028"	"11039"	"10507"
Sep 2016	"S92000003"	"Scotland"	"5334"	"5075"	"1002"	"953"	"3630"	"3524"	"1124"	"1036"	"11090"	"10588"
Oct 2016	"S92000003"	"Scotland"	"5405"	"5137"	"1015"	"968"	"3666"	"3562"	"1129"	"1036"	"11215"	"10703"
Nov 2016	"S92000003"	"Scotland"	"5438"	"5174"	"1024"	"976"	"3684"	"3584"	"1137"	"1043"	"11283"	"10777"
Dec 2016	"S92000003"	"Scotland"	"5480"	"5205"	"1033"	"982"	"3720"	"3615"	"1144"	"1047"	"11377"	"10849"
Jan 2017	"S92000003"	"Scotland"	"5551"	"5261"	"1044"	"992"	"3728"	"3635"	"1153"	"1057"	"11476"	"10945"
Feb 2017	"S92000003"	"Scotland"	"5609"	"5302"	"1065"	"1012"	"3740"	"3646"	"1159"	"1063"	"11573"	"11023"
Mar 2017	"S92000003"	"Scotland"	"5729"	"5413"	"1091"	"1031"	"3770"	"3669"	"1166"	"1065"	"11756"	"11178"
Apr 2017	"S92000003"	"Scotland"	"5803"	"5461"	"1103"	"1044"	"3794"	"3683"	"1178"	"1071"	"11878"	"11259"
May 2017	"S92000003"	"Scotland"	"5888"	"5536"	"1114"	"1057"	"3814"	"3698"	"1183"	"1078"	"11999"	"11369"
Jun 2017	"S92000003"	"Scotland"	"5941"	"5586"	"1126"	"1070"	"3833"	"3716"	"1190"	"1084"	"12090"	"11456"
Jul 2017	"S92000003"	"Scotland"	"6002"	"5637"	"1138"	"1079"	"3835"	"3712"	"1194"	"1090"	"12169"	"11518"
Aug 2017	"S92000003"	"Scotland"	"6047"	"5672"	"1151"	"1086"	"3843"	"3714"	"1201"	"1094"	"12242"	"11566"
Sep 2017	"S92000003"	"Scotland"	"6139"	"5732"	"1166"	"1098"	"3868"	"3733"	"1213"	"1104"	"12386"	"11667"
Oct 2017	"S92000003"	"Scotland"	"6216"	"5812"	"1179"	"1105"	"3878"	"3747"	"1219"	"1113"	"12492"	"11777"
Nov 2017	"S92000003"	"Scotland"	"6271"	"5872"	"1190"	"1129"	"3884"	"3756"	"1223"	"1111"	"12568"	"11868"
Dec 2017	"S92000003"	"Scotland"	"6345"	"5935"	"1200"	"1137"	"3891"	"3762"	"1226"	"1111"	"12662"	"11945"
Jan 2018	"S92000003"	"Scotland"	"6419"	"6001"	"1218"	"1146"	"3897"	"3762"	"1233"	"1120"	"12767"	"12029"
Feb 2018	"S92000003"	"Scotland"	"6472"	"6050"	"1227"	"1158"	"3904"	"3764"	"1241"	"1129"	"12844"	"12101"
Mar 2018	"S92000003"	"Scotland"	"6573"	"6129"	"1236"	"1169"	"3916"	"3773"	"1248"	"1135"	"12973"	"12206"
Apr 2018	"S92000003"	"Scotland"	"6723"	"6265"	"1258"	"1181"	"3924"	"3775"	"1251"	"1136"	"13156"	"12357"
May 2018	"S92000003"	"Scotland"	"6784"	"6317"	"1271"	"1189"	"3930"	"3776"	"1256"	"1141"	"13241"	"12423"
Jun 2018	"S92000003"	"Scotland"	"6842"	"6373"	"1277"	"1196"	"3936"	"3784"	"1258"	"1145"	"13313"	"12498"
Jul 2018	"S92000003"	"Scotland"	"6908"	"6380"	"1282"	"1202"	"3939"	"3781"	"1263"	"1147"	"13392"	"12510"
Aug 2018	"S92000003"	"Scotland"	"6972"	"6405"	"1291"	"1200"	"3930"	"3769"	"1265"	"1148"	"13458"	"12522"
Sep 2018	"S92000003"	"Scotland"	"6650"	"6489"	"1239"	"1211"	"3806"	"3790"	"1156"	"1151"	"12851"	"12641"
Oct 2018	"S92000003"	"Scotland"	"6721"	"6579"	"1245"	"1221"	"3811"	"3791"	"1166"	"1153"	"12943"	"12744"
Nov 2018	"S92000003"	"Scotland"	"6803"	"6691"	"1262"	"1230"	"3809"	"3789"	"1165"	"1154"	"13039"	"12864"
Dec 2018	"S92000003"	"Scotland"	"6892"	"6780"	"1275"	"1240"	"3820"	"3799"	"1166"	"1157"	"13153"	"12976"
Jan 2019	"S92000003"	"Scotland"	"6974"	"6865"	"1281"	"1258"	"3828"	"3812"	"1171"	"1161"	"13254"	"13096"
Feb 2019	"S92000003"	"Scotland"	"7056"	"6957"	"1294"	"1271"	"3817"	"3802"	"1177"	"1172"	"13344"	"13202"
Mar 2019	"S92000003"	"Scotland"	"7191"	"7077"	"1315"	"1289"	"3828"	"3816"	"1183"	"1178"	"13517"	"13360"
Apr 2019	"S92000003"	"Scotland"	"7280"	"7148"	"1323"	"1301"	"3835"	"3820"	"1187"	"1182"	"13625"	"13451"
May 2019	"S92000003"	"Scotland"	"7366"	"7241"	"1335"	"1313"	"3838"	"3823"	"1193"	"1189"	"13732"	"13566"
Jun 2019	"S92000003"	"Scotland"	"7491"	"7356"	"1348"	"1328"	"3838"	"3825"	"1197"	"1192"	"13874"	"13701"
Jul 2019	"S92000003"	"Scotland"	"7622"	"7509"	"1353"	"1343"	"3840"	"3829"	"1205"	"1200"	"14020"	"13881"
Aug 2019	"S92000003"	"Scotland"	"7787"	"7669"	"1359"	"1346"	"3839"	"3828"	"1210"	"1204"	"14195"	"14047"
Sep 2019	"S92000003"	"Scotland"	"7949"	"7824"	"1368"	"1355"	"3836"	"3819"	"1221"	"1213"	"14374"	"14211"
Oct 2019	"S92000003"	"Scotland"	"8103"	"7971"	"1378"	"1364"	"3839"	"3819"	"1222"	"1217"	"14542"	"14371"
Nov 2019	"S92000003"	"Scotland"	"8248"	"8141"	"1397"	"1389"	"3847"	"3830"	"1226"	"1221"	"14718"	"14581"
Dec 2019	"S92000003"	"Scotland"	"8361"	"8296"	"1406"	"1396"	"3833"	"3823"	"1223"	"1220"	"14823"	"14735"
Jan 2020	"S92000003"	"Scotland"	"8466"	"8417"	"1417"	"1407"	"3812"	"3805"	"1229"	"1221"	"14924"	"14850"
Feb 2020	"S92000003"	"Scotland"	"8682"	"8597"	"1436"	"1421"	"3808"	"3802"	"1230"	"1228"	"15156"	"15048"
Mar 2020	"S92000003"	"Scotland"	"8868"	"8775"	"1449"	"1431"	"3797"	"3787"	"1233"	"1231"	"15347"	"15224"
