"Date"	"CODE"	"Country"	"Full applications"	"Accredited full applications"	"Capacity of full applications"	"Capacity of accredited full applications"
Feb 2015	"S92000003"	"Scotland"	"2157"	"1457"	"405.60400000000004"	"250.21799999999996"
Mar 2015	"S92000003"	"Scotland"	"2467"	"1589"	"445.17399999999992"	"267.74499999999995"
Apr 2015	"S92000003"	"Scotland"	"2476"	"1704"	"426.863"	"284.35700000000003"
May 2015	"S92000003"	"Scotland"	"2487"	"1850"	"433.00099999999998"	"305.37"
Jun 2015	"S92000003"	"Scotland"	"2622"	"1992"	"450.70000000000005"	"325.71199999999993"
Jul 2015	"S92000003"	"Scotland"	"2620"	"2149"	"455.959"	"349.72199999999998"
Aug 2015	"S92000003"	"Scotland"	"2636"	"2260"	"461.35199999999998"	"372.62899999999996"
Sep 2015	"S92000003"	"Scotland"	"2703"	"2327"	"470.26299999999992"	"385.73399999999998"
Oct 2015	"S92000003"	"Scotland"	"2717"	"2385"	"476.03599999999994"	"395.74700000000001"
Nov 2015	"S92000003"	"Scotland"	"2748"	"2465"	"487.09000000000003"	"409.85700000000008"
Dec 2015	"S92000003"	"Scotland"	"2818"	"2519"	"506.51099999999997"	"421.26399999999995"
Jan 2016	"S92000003"	"Scotland"	"2836"	"2577"	"511.17999999999995"	"436.51899999999989"
Feb 2016	"S92000003"	"Scotland"	"2839"	"2617"	"508.3"	"452.7"
Mar 2016	"S92000003"	"Scotland"	"2926"	"2656"	"555.65"	"458.98"
Apr 2016	"S92000003"	"Scotland"	"2955"	"2691"	"570.70000000000005"	"473.5"
May 2016	"S92000003"	"Scotland"	"2970"	"2730"	"576.5"	"494.5"
Jun 2016	"S92000003"	"Scotland"	"3060"	"2759"	"600.9"	"501.7"
Jul 2016	"S92000003"	"Scotland"	"3087"	"2787"	"615.5"	"516.1"
Aug 2016	"S92000003"	"Scotland"	"3119"	"2839"	"629"	"532.1"
Sep 2016	"S92000003"	"Scotland"	"3194"	"2880"	"652.9"	"544.9"
Oct 2016	"S92000003"	"Scotland"	"3212"	"2919"	"658"	"563.20000000000005"
Nov 2016	"S92000003"	"Scotland"	"3238"	"2956"	"673.3"	"572.20000000000005"
Dec 2016	"S92000003"	"Scotland"	"3268"	"2991"	"684.3"	"584.6"
Jan 2017	"S92000003"	"Scotland"	"3268"	"3023"	"686.1"	"617.29999999999995"
Feb 2017	"S92000003"	"Scotland"	"3307"	"3061"	"706.5"	"630.20000000000005"
Mar 2017	"S92000003"	"Scotland"	"3380"	"3095"	"746.3"	"644.20000000000005"
Apr 2017	"S92000003"	"Scotland"	"3423"	"3129"	"786.6"	"655.1"
May 2017	"S92000003"	"Scotland"	"3444"	"3170"	"797"	"670.7"
Jun 2017	"S92000003"	"Scotland"	"3611"	"3213"	"898.1"	"687.1"
Jul 2017	"S92000003"	"Scotland"	"3617"	"3257"	"894"	"703.1"
Aug 2017	"S92000003"	"Scotland"	"3624"	"3288"	"907.7"	"728.9"
Sep 2017	"S92000003"	"Scotland"	"3685"	"3320"	"941.3"	"766.9"
Oct 2017	"S92000003"	"Scotland"	"3699"	"3349"	"962.4"	"780.9"
Nov 2017	"S92000003"	"Scotland"	"3707"	"3394"	"968.3"	"804.4"
Dec 2017	"S92000003"	"Scotland"	"3717"	"3421"	"970.8"	"814.2"
Jan 2018	"S92000003"	"Scotland"	"3727"	"3449"	"976"	"825.6"
Feb 2018	"S92000003"	"Scotland"	"3741"	"3480"	"980.8"	"842.7"
Mar 2018	"S92000003"	"Scotland"	"3745"	"3495"	"982.2"	"847.5"
Apr 2018	"S92000003"	"Scotland"	"3760"	"3517"	"996.4"	"858.8"
May 2018	"S92000003"	"Scotland"	"3793"	"3549"	"1001.3"	"872.5"
Jun 2018	"S92000003"	"Scotland"	"3792"	"3570"	"1002.1"	"879.4"
Jul 2018	"S92000003"	"Scotland"	"3790"	"3589"	"1002.6"	"886.8"
Aug 2018	"S92000003"	"Scotland"	"3794"	"3600"	"1004.8"	"892.2"
Sep 2018	"S92000003"	"Scotland"	"3809"	"3609"	"1018.6759999999999"	"898.46200000000022"
Oct 2018	"S92000003"	"Scotland"	"3818"	"3622"	"1017.801"	"908.44700000000012"
Nov 2018	"S92000003"	"Scotland"	"3816"	"3638"	"1024.633"	"917.02100000000019"
Dec 2018	"S92000003"	"Scotland"	"3824"	"3656"	"1028.92"	"939.24"
Jan 2019	"S92000003"	"Scotland"	"3826"	"3681"	"1026.4149999999997"	"945.26899999999989"
Feb 2019	"S92000003"	"Scotland"	"3829"	"3698"	"1025.5319999999999"	"950.51199999999994"
Mar 2019	"S92000003"	"Scotland"	"3841"	"3709"	"1047.1990000000001"	"956.1099999999999"
Apr 2019	"S92000003"	"Scotland"	"3846"	"3711"	"1031.9849999999999"	"951.5619999999999"
May 2019	"S92000003"	"Scotland"	"3849"	"3728"	"1033.2539999999999"	"977.21600000000001"
Jun 2019	"S92000003"	"Scotland"	"3854"	"3729"	"1036.5889999999999"	"977.36300000000006"
Jul 2019	"S92000003"	"Scotland"	"3860"	"3743"	"1036.951"	"981.07299999999998"
Aug 2019	"S92000003"	"Scotland"	"3866"	"3753"	"1038.8899999999999"	"984.59099999999989"
Sep 2019	"S92000003"	"Scotland"	"3875"	"3760"	"1051.377"	"987.24299999999982"
Oct 2019	"S92000003"	"Scotland"	"3872"	"3769"	"1054.1399999999996"	"988.37599999999975"
Nov 2019	"S92000003"	"Scotland"	"3874"	"3786"	"1056.0809999999999"	"995.44199999999978"
Dec 2019	"S92000003"	"Scotland"	"3882"	"3798"	"1062.6989999999996"	"1001.8629999999998"
Jan 2020	"S92000003"	"Scotland"	"3895"	"3806"	"1053.819"	"1009.837"
Feb 2020	"S92000003"	"Scotland"	"3901"	"3816"	"1055.3239999999998"	"1018.836"
Mar 2020	"S92000003"	"Scotland"	"3913"	"3820"	"1063.2909999999997"	"1022.2479999999999"
Apr 2020	"S92000003"	"Scotland"	"3911"	"3824"	"1062.0039999999999"	"1024.2139999999999"
May 2020	"S92000003"	"Scotland"	"3918"	"3841"	"1062.6760000000002"	"1032.4509999999998"
Jun 2020	"S92000003"	"Scotland"	"3928"	"3855"	"1065.83"	"1036.1579999999997"
Jul 2020	"S92000003"	"Scotland"	"3929"	"3870"	"1064.2319999999995"	"1044.8429999999996"
