"Date"	"CODE"	"LA"	"Accredited Applications"	"Capacity"
Sep 2020	"S12000033"	"Aberdeen City"	"16"	"5.4459999999999997"
Sep 2020	"S12000034"	"Aberdeenshire"	"512"	"170.624"
Sep 2020	"S12000041"	"Angus"	"187"	"56.024999999999999"
Sep 2020	"S12000035"	"Argyll and Bute"	"130"	"22.939"
Sep 2020	"S12000036"	"City of Edinburgh"	"25"	"5.0389999999999997"
Sep 2020	"S12000005"	"Clackmannanshire"	"14"	"1.3620000000000001"
Sep 2020	"S12000006"	"Dumfries and Galloway"	"598"	"132.00200000000001"
Sep 2020	"S12000042"	"Dundee City"	"#"	"#"
Sep 2020	"S12000008"	"East Ayrshire"	"164"	"45.344000000000001"
Sep 2020	"S12000045"	"East Dunbartonshire"	"32"	"7.8529999999999998"
Sep 2020	"S12000010"	"East Lothian"	"80"	"18.222000000000001"
Sep 2020	"S12000011"	"East Renfrewshire"	"21"	"3.4670000000000001"
Sep 2020	"S12000014"	"Falkirk"	"16"	"1.879"
Sep 2020	"S12000047"	"Fife"	"130"	"39.081000000000003"
Sep 2020	"S12000049"	"Glasgow City1"	"66"	"10.798999999999999"
Sep 2020	"S12000017"	"Highland"	"531"	"150.79"
Sep 2020	"S12000018"	"Inverclyde"	"25"	"10.510999999999999"
Sep 2020	"S12000019"	"Midlothian"	"26"	"8.5109999999999992"
Sep 2020	"S12000020"	"Moray"	"106"	"46.829000000000001"
Sep 2020	"S12000013"	"Na h-Eileanan Siar2"	"13"	"1.306"
Sep 2020	"S12000021"	"North Ayrshire"	"67"	"16.881"
Sep 2020	"S12000050"	"North Lanarkshire1"	"44"	"8.4009999999999998"
Sep 2020	"S12000023"	"Orkney Islands"	"^"	"^"
Sep 2020	"S12000048"	"Perth and Kinross"	"259"	"67.563000000000002"
Sep 2020	"S12000038"	"Renfrewshire"	"57"	"20.373999999999999"
Sep 2020	"S12000026"	"Scottish Borders"	"215"	"51.329000000000001"
Sep 2020	"S12000027"	"Shetland Islands"	"12"	"2.2629999999999999"
Sep 2020	"S12000028"	"South Ayrshire"	"138"	"65.519000000000005"
Sep 2020	"S12000029"	"South Lanarkshire"	"203"	"37.941000000000003"
Sep 2020	"S12000030"	"Stirling"	"137"	"24.334"
Sep 2020	"S12000039"	"West Dunbartonshire"	"13"	"2.2599999999999998"
Sep 2020	"S12000040"	"West Lothian"	"44"	"14.134"
