"Date","Gas","Electricity","Transport"
2013-01-01,220.19,80.99,107.69
2013-01-02,206.5,81.99,107.69
2013-01-03,199.87,88.02,107.69
2013-01-04,193.42,85.63,107.69
2013-01-05,186.81,79.78,107.69
2013-01-06,198.25,79.4,107.69
2013-01-07,199.71,91.27,107.69
2013-01-08,202.45,88.51,107.69
2013-01-09,237.04,89.45,107.69
2013-01-10,289.93,95.69,107.69
2013-01-11,285.53,95.69,107.69
2013-01-12,286.86,93.04,107.69
2013-01-13,301.77,91.42,107.69
2013-01-14,311.3,100.82,107.69
2013-01-15,332.87,104.78,107.69
2013-01-16,334.11,104.74,107.69
2013-01-17,313.49,104.31,107.69
2013-01-18,287.25,104.14,107.69
2013-01-19,270.86,95.95,107.69
2013-01-20,272.29,94.75,107.69
2013-01-21,298.16,100.77,107.69
2013-01-22,336.56,106.81,107.69
2013-01-23,336.68,106.29,107.69
2013-01-24,326.83,103.95,107.69
2013-01-25,306.78,106.54,107.69
2013-01-26,240.72,94.13,107.69
2013-01-27,244.32,92.94,107.69
2013-01-28,257.5,102.46,107.69
2013-01-29,237,100.64,107.69
2013-01-30,244.04,100.49,107.69
2013-01-31,250.22,104.1,107.69
2013-02-01,247.17,97.99,128.3
2013-02-02,249.42,90.88,128.3
2013-02-03,234.23,86.49,128.3
2013-02-04,270.25,102.3,128.3
2013-02-05,275.94,105.17,128.3
2013-02-06,273.46,103.61,128.3
2013-02-07,313.46,102.96,128.3
2013-02-08,303.98,97.18,128.3
2013-02-09,286.44,88.74,128.3
2013-02-10,286.02,88.7,128.3
2013-02-11,317.28,95.69,128.3
2013-02-12,321.73,99.96,128.3
2013-02-13,317.53,103.95,128.3
2013-02-14,276.56,96.24,128.3
2013-02-15,258.1,90.62,128.3
2013-02-16,219.48,83.54,128.3
2013-02-17,213.92,83.48,128.3
2013-02-18,273.29,95.51,128.3
2013-02-19,273.77,94.85,128.3
2013-02-20,287.25,97.88,128.3
2013-02-21,305.74,100.88,128.3
2013-02-22,295.66,101.28,128.3
2013-02-23,254.82,91.29,128.3
2013-02-24,261.75,91.68,128.3
2013-02-25,256.34,98.44,128.3
2013-02-26,244.66,92.09,128.3
2013-02-27,246.11,95.74,128.3
2013-02-28,237.8,95.2,128.3
2013-03-01,211.44,92.45,111.04
2013-03-02,196.07,81.49,111.04
2013-03-03,201.75,84.43,111.04
2013-03-04,219.19,93.15,111.04
2013-03-05,219.96,92.73,111.04
2013-03-06,241.03,92.53,111.04
2013-03-07,241.83,92.12,111.04
