"Area","Consumption","GBAvg"
"Aberdeen City",3621,3921
"Aberdeenshire",5098,3921
"Angus",4485,3921
"Argyll & Bute",6605,3921
"Dundee City",4059,3921
"Eilean Siar (Western Isles)",6908,3921
"Highland",6037,3921
"Moray",4397,3921
"Orkney Islands",7872,3921
"Perth & Kinross",5151,3921
"Shetland Islands",9583,3921
"Clackmannanshire",3632,3921
"Falkirk",3763,3921
"Stirling",4619,3921
"Dumfries & Galloway",4734,3921
"East Ayrshire",3445,3921
"East Dunbartonshire",3855,3921
"East Lothian",4143,3921
"East Renfrewshire",3994,3921
"Edinburgh, City of",3644,3921
"Fife",3695,3921
"Glasgow City",3315,3921
"Inverclyde",3605,3921
"Midlothian",3598,3921
"North Ayrshire",3829,3921
"North Lanarkshire",3545,3921
"Renfrewshire",3343,3921
"Scottish Borders",4651,3921
"South Ayrshire",3877,3921
"South Lanarkshire",3969,3921
"West Dunbartonshire",3326,3921
"West Lothian",3636,3921
"SCOTLAND",4064,3921
