"Area","Consumption","GBAvg"
"Aberdeen City",13566,13379
"Aberdeenshire",15961,13379
"Angus",14329,13379
"Argyll & Bute",15551,13379
"Dundee City",12724,13379
"Highland",13936,13379
"Moray",14479,13379
"Na h-Eileanan Siar",10408,13379
"Perth & Kinross",15046,13379
"Clackmannanshire",13416,13379
"Falkirk",13891,13379
"Stirling",15573,13379
"Dumfries & Galloway",13942,13379
"East Ayrshire",13831,13379
"East Dunbartonshire",17655,13379
"East Lothian",13754,13379
"East Renfrewshire",18307,13379
"Edinburgh, City of",12828,13379
"Fife",14109,13379
"Glasgow City",11382,13379
"Inverclyde",14029,13379
"Midlothian",13479,13379
"North Ayrshire",13002,13379
"North Lanarkshire",13959,13379
"Renfrewshire",13117,13379
"Scottish Borders",13923,13379
"South Ayrshire",14421,13379
"South Lanarkshire",14813,13379
"West Dunbartonshire",11961,13379
"West Lothian",14214,13379
"SCOTLAND",13721,13379
