"Year","Prepayment","Standard Credit","Direct Debit"
"1996","461","437","431"
"1997","433","414","408"
"1998","417","398","392"
"1999","410","392","380"
"2000","394","378","365"
"2001","385","372","357"
"2002","378","364","350"
"2003","373","357","346"
"2004","387","372","355"
"2005","401","396","372"
"2006","471","446","413"
"2007","494","475","433"
"2008","546","522","472"
"2009","541","538","487"
"2010","520","516","470"
"2011","538","540","495"
"2012","546","560","513"
"2013","577","584","535"
"2014","575","581","533"
"2015","570","575","522"
"2016","570","574","512"
"2017","559","601","540"
"2018","584","644","581"
