"Year","Prepayment","Standard Credit","Direct Debit"
"1998","362","343","300"
"1999","345","334","291"
"2000","330","316","278"
"2001","325","311","277"
"2002","338","321","287"
"2003","338","323","293"
"2004","345","327","299"
"2005","384","369","333"
"2006","467","438","389"
"2007","523","481","427"
"2008","578","545","491"
"2009","647","606","550"
"2010","582","576","535"
"2011","622","626","578"
"2012","679","687","630"
"2013","713","719","654"
"2014","730","736","667"
"2015","697","699","633"
"2016","640","634","557"
"2017","558","613","539"
"2018","548","623","547"
