"Year","Nuclear","Renewables","Coal","Gas","Oil","Pumped Hydro"
2000,16918,4971,16624,8671,2604,613
2001,18097,4203,15408,8523,2375,534
2002,15828,5098,14861,11034,2210,622
2003,18394,3725,14566,10025,2034,670
2004,18012.8,5832.2,13080.3,10834.7,298.5,785.8
2005,18680.7,6486,12158.2,9366.9,1902.9,642.7
2006,14140.9,6962.8,17560.5,10212.4,2189.2,1184.3
2007,12343.7,8226.1,13876.9,10930.5,1504.2,1198.1
2008,15079.2,9058.5,11683.5,11607.9,1518,1091.4
2009,16680.8,10582.4,11982.1,9370.3,1294.3,1087.3
2010,15293,9501.4,14280.6,8380.6,1298.2,778.5
2011,16891.8,13868.8,10443.9,8094.9,966.8,604.2
2012,17050,14667.2,11754.4,5612.6,639.1,609.7
2013,18497.9,16989.6,10838.6,5438.8,639.4,619.7
2014,16633.3,19045.1,10314.5,2723.2,831.8,494.1
2015,17762.8,21743.8,8507.8,1918.8,880.2,522.6
2016,19630.5,19567.7,2263.2,3140.9,683.3,485.6
2017,17826.9,25165.9,115.6,4333.1,663.2,573.1
