"RefMonth"	"RigCount"
2012-06-01	14
2012-07-01	12
2012-08-01	17
2012-09-01	16
2012-10-01	17
2012-11-01	18
2012-12-01	21
2013-01-01	20
2013-02-01	16
2013-03-01	15
2013-04-01	16
2013-05-01	14
2013-06-01	15
2013-07-01	13
2013-08-01	14
2013-09-01	8
2013-10-01	12
2013-11-01	13
2013-12-01	10
2014-01-01	13
2014-02-01	9
2014-03-01	13
2014-04-01	14
2014-05-01	15
2014-06-01	10
2014-07-01	12
2014-08-01	11
2014-09-01	10
2014-10-01	12
2014-11-01	14
2014-12-01	15
2015-01-01	10
2015-02-01	16
2015-03-01	17
2015-04-01	11
2015-05-01	11
2015-06-01	9
2015-07-01	10
2015-08-01	10
2015-09-01	12
2015-10-01	12
2015-11-01	9
2015-12-01	7
2016-01-01	6
2016-02-01	7
2016-03-01	7
2016-04-01	7
2016-05-01	8
2016-06-01	9
2016-07-01	8
2016-08-01	7
2016-09-01	6
2016-10-01	6
2016-11-01	9
2016-12-01	10
2017-01-01	7
2017-02-01	9
2017-03-01	7
2017-04-01	7
2017-05-01	8
2017-06-01	8
2017-07-01	9
2017-08-01	11
2017-09-01	9
2017-10-01	5
2017-11-01	5
2017-12-01	3
2018-01-01	4
2018-02-01	6
2018-03-01	5
2018-04-01	6
2018-05-01	5
2018-06-01	6
2018-07-01	9
2018-08-01	7
2018-09-01	6
2018-10-01	7
2018-11-01	6
2018-12-01	10
2019-01-01	9
2019-02-01	11
