"Year"	"Total Oil Gas"	"Other Income"	"Operating Expenditure"	"Capital Expenditure"
"1998"	10098.0892094	413.412403	3284.0490747	4825.90484949548
"1999"	12744.3041698	668.45783296	3328.4474723	3296.84076755519
"2000"	19047.0049872	786.36350612	3345.8066763	2459.41573222842
"2001"	17462.3345129	810.99442084	3437.9638907	3361.52742615703
"2002"	18283.0176914	827.82133929	3720.6519203	3182.61774099453
"2003"	17785.7229758	886.03609321	3575.1525489	2905.94927804364
"2004"	18098.3963008	668.54936227	3557.9549171	3259.96067717954
"2005"	22354.578544	829.17859694	3760.9653322	3894.24475258191
"2006"	25766.7303011	959.69622077	4366.7499443	5171.07927734297
"2007"	24809.4806637	1055.70307	4701.39572	4974.94775689285
"2008"	32607.1072261	1117.7348944	5574.7364093	4913.26738063173
"2009"	20994.2790916	1059.2666526	5668.373166	4996.7319665402
"2010"	26512.2445437	1072.0999912	5878.9737885	6687.64109141774
"2011"	29702.5568276	1040.1365707	5776.6562381	9058.99545319705
"2012"	26252.66649	1310.2834954	6326.8246222	10583.8512337907
"2013"	24319.7607202	1370.3052851	7239.9117821	13405.007917005
"2014"	20659.3176026	1318.2695188	7744.0977634	13868.8744587243
"2015"	16662.4750493	1432.1112098	6668.7673824	11446.083558712
"2016"	15302.501666	1450.7255431	5545.6099305	8469.1854707567
"2017"	19035.2198094	1367.6787044	5432.4515858	5943.13328702434
"2018"	24768.3635334	1340.96426	6031.5524116	5258.84747833683
