"Year"	"Total"	"Crude Oil and NGL"	"Natural Gas"	"Total %"	"Crude Oil %"	"Gas %"
"1998"	176.631305151959	132.415129350325	44.2161758016336	0.7504303246943	0.911771668556114	0.490500755039651
"1999"	185.243907494913	136.873142456515	48.3707650383973	0.743418484262125	0.911809689531997	0.488263234526577
"2000"	176.001365600661	125.834083389013	50.1672822116485	0.713714648294152	0.910230986635997	0.462990245841405
"2001"	169.054078051087	116.758265531834	52.2958125192529	0.723643933274638	0.913542778964732	0.494257609994134
"2002"	175.576332629768	116.728461703534	58.8478709262341	0.761363704375574	0.918969591323004	0.568102725605272
"2003"	165.003466960583	107.14192369399	57.8615432665929	0.752909100823956	0.921753155850934	0.562213118720791
"2004"	151.047539119463	96.4156174078074	54.6319217116555	0.751901623097597	0.922228399055219	0.567068158132167
"2005"	137.28343459639	86.5412589485181	50.7421756478721	0.758211524467514	0.931471627804204	0.575607767592849
"2006"	127.37450650823	78.4845104359755	48.8899960722542	0.777006939065742	0.934532365464051	0.611529833079851
"2007"	122.946208930152	79.6943611045755	43.2518478255765	0.788140874324968	0.949508860793149	0.600194716113193
"2008"	116.286409616135	74.8638219253388	41.4225876907965	0.784777826387933	0.951045552003912	0.596350794104094
"2009"	106.784718555236	71.1554659140458	35.6292526411902	0.801967286575892	0.952034985681685	0.609953437753247
"2010"	99.0661944684635	65.806243768839	33.2599506996245	0.797359722428575	0.953762862475428	0.602029877336144
"2011"	78.1280882741256	53.6720545019796	24.456033772146	0.774472640381755	0.94309354042302	0.556217862748547
"2012"	63.851757848808	45.6818869858296	18.1698708629785	0.741054687584521	0.936773030116244	0.485848880966475
"2013"	59.7336491678926	41.6307688462547	18.102880321638	0.748861982626222	0.936095541371997	0.512929423257011
"2014"	59.9633794994107	40.9843527894474	18.9790267099633	0.75486331933271	0.937680743249961	0.531210860346493
"2015"	69.6178022517646	47.1394087832258	22.4783934685388	0.78778734423602	0.951261396643592	0.579091073500917
"2016"	75.1965091921006	49.1892970841823	26.0072121079183	0.819208864730425	0.946789438559349	0.652826974395528
"2017"	73.8329469567511	48.9140803582602	24.9188665984909	0.8107492778578	0.957477978253551	0.623265076509469
"2018"	77.218565984357	53.0814822534308	24.1370837309262	0.818174539622532	0.952970107485299	0.624052206504022
