"LAU1"	"GovernmentRegion"	"Year"	"All Fuels Total"	"Coal - Industrial"	"Coal - Commercial"	"Coal - Domestic"	"Coal - Rail"	"Coal - Public Sector"	"Coal - Agriculture"	"Coal - Total"	"Manufactured Fuels - Industrial"	"Manufactured Fuels - Domestic"	"Manufactured Fuels - Total"	"Petroleum Products - Industrial"	"Petroleum Products - Commercial"	"Petroleum Products - Domestic"	"Petroleum Products - Road transport"	"Petroleum Products - Rail"	"Petroleum Products - Public Sector"	"Petroleum Products - Agriculture"	"Petroleum Products - Total"	"Gas - Industrial & Commercial"	"Gas - Domestic"	"Gas - Total"	"Electricity - Industrial & Commercial"	"Electricity - Domestic"	"Electricity - Total"	"Bioenergy & Wastes - Industrial & Commercial"	"Bioenergy & Wastes - Domestic"	"Bioenergy & Wastes - Total"	"Consuming Sector - Industry & Commercial"	"Consuming Sector - Domestic"	"Consuming Sector - Transport"
"S92000003"	"TOTAL SCOTLAND"	"2018"	"147403.15684"	"873.76215272"	"10.243564428"	"505.14688031"	"4.2468568199"	"20.367114246"	"0"	"1413.7665685"	"827.10154776"	"308.11326459"	"1135.2148124"	"22774.204433"	"118.68000309"	"3122.0270509"	"38192.805526"	"595.70895785"	"169.52118111"	"3033.7596378"	"68006.70679"	"19216.57235"	"28361.3137"	"47577.88605"	"14509.38271"	"9686.092212"	"24195.47492"	"3494.8540442"	"1579.2536505"	"5074.1076948"	"65048.448738"	"43561.946758"	"38792.761341"
"S92000003"	"TOTAL SCOTLAND"	"2017"	"149615.19677"	"1068.8115752"	"10.243564428"	"522.03248859"	"4.2468568199"	"18.802494165"	"0"	"1624.1369792"	"722.38511987"	"304.89182844"	"1027.2769483"	"24463.286681"	"109.09691199"	"3111.575734"	"38473.909604"	"647.95107067"	"126.14283965"	"3038.9081399"	"69970.870981"	"19347.82267"	"28351.73473"	"47699.5574"	"14136.42084"	"10011.09613"	"24147.51697"	"3700.4775626"	"1445.3599308"	"5145.8374934"	"66742.398398"	"43746.690842"	"39126.107531"
"S92000003"	"TOTAL SCOTLAND"	"2016"	"145030.54305"	"1161.7590083"	"10.280895205"	"535.71263953"	"4.2617319737"	"14.930011604"	"0"	"1726.9442866"	"755.86859919"	"284.55976212"	"1040.4283613"	"22426.2961"	"105.07529201"	"3169.9649422"	"37269.456714"	"655.91308543"	"134.00596697"	"3008.5258651"	"66769.237965"	"19002.15907"	"27458.97393"	"46461.13299"	"13921.90587"	"10148.81426"	"24070.72013"	"3508.0227107"	"1454.0566098"	"4962.0793193"	"64048.829389"	"43052.082144"	"37929.631531"
"S92000003"	"TOTAL SCOTLAND"	"2015"	"144466.29191"	"1021.2468508"	"11.352182653"	"538.65916783"	"3.6935010361"	"14.853170101"	"0"	"1589.8048724"	"841.23989942"	"286.96912247"	"1128.2090219"	"21350.90318"	"126.14391368"	"3176.3663279"	"36905.637889"	"660.74830283"	"147.50349201"	"2848.0667772"	"65215.369883"	"19563.14285"	"27315.37581"	"46878.51866"	"14023.65006"	"10621.07643"	"24644.72649"	"3656.5091148"	"1353.1538657"	"5009.6629805"	"63604.611491"	"43291.600724"	"37570.079693"
"S92000003"	"TOTAL SCOTLAND"	"2014"	"147017.86825"	"1200.7231273"	"10.942404906"	"535.05260516"	"3.6935010361"	"114.56476548"	"0"	"1864.9764039"	"910.12864495"	"300.17143393"	"1210.3000789"	"20957.577522"	"91.283628352"	"3170.8521274"	"36917.842795"	"663.74503156"	"134.25834366"	"2734.639022"	"64670.19847"	"20441.45084"	"27699.51306"	"48140.9639"	"14559.37"	"10763.07"	"25322.44"	"4611.1834543"	"1197.8059453"	"5808.9894008"	"65766.121753"	"43666.465172"	"37585.281327"
"S92000003"	"TOTAL SCOTLAND"	"2013"	"149275.40632"	"1380.9920804"	"12.039031287"	"626.36904486"	"3.8952230256"	"110.17806788"	"0"	"2133.4734474"	"898.67302715"	"337.02328165"	"1235.6963088"	"22508.447512"	"80.645306205"	"3580.9516774"	"36334.944776"	"651.59718045"	"120.81438012"	"2709.4307435"	"65986.831576"	"20574.323308"	"28072.986141"	"48647.309448"	"15220.292586"	"10652.601097"	"25872.893684"	"4138.197902"	"1261.0039573"	"5399.2018593"	"67754.033945"	"44530.935199"	"36990.437179"
"S92000003"	"TOTAL SCOTLAND"	"2012"	"151919.11599"	"1385.3370495"	"10.916188607"	"653.50612505"	"4.5771001367"	"99.016352399"	"1.7083259899"	"2155.0611417"	"840.7945145"	"296.6704848"	"1137.4649993"	"24155.425613"	"74.795041626"	"3477.9767452"	"36368.039453"	"652.11851242"	"142.84447052"	"2741.9563249"	"67613.15616"	"21729.263572"	"28801.624248"	"50530.887819"	"15218.797957"	"10958.463366"	"26177.261333"	"3234.1399334"	"1071.1446047"	"4305.2845385"	"69634.995343"	"45259.385573"	"37024.735065"
"S92000003"	"TOTAL SCOTLAND"	"2011"	"153900.83136"	"1555.9195174"	"13.692274561"	"684.21787659"	"4.3645951602"	"112.0243545"	"1.6377449155"	"2371.8563632"	"844.76153762"	"299.00400766"	"1143.7655453"	"24774.682326"	"89.005232966"	"3493.1940339"	"36579.702022"	"637.65058482"	"197.94244474"	"2664.2890846"	"68436.465729"	"22178.954542"	"28958.505636"	"51137.460178"	"15507.80965"	"11150.021805"	"26657.831455"	"3311.1975467"	"842.25454039"	"4153.4520868"	"71251.916256"	"45427.1979"	"37221.717202"
"S92000003"	"TOTAL SCOTLAND"	"2010"	"158324.14895"	"1606.5742371"	"8.7328438965"	"692.68147953"	"5.3665395009"	"110.05139056"	"1.5989415716"	"2425.0054322"	"901.5984584"	"330.69051067"	"1232.2889691"	"24631.989169"	"90.262265679"	"4534.1418998"	"37117.751865"	"644.36694064"	"161.82008249"	"2623.5234097"	"69803.855633"	"22859.954533"	"30329.847833"	"53189.802365"	"16018.793795"	"11371.928136"	"27390.721941"	"3312.9995989"	"969.47500724"	"4282.4746067"	"72327.898726"	"48228.764867"	"37767.485345"
"S92000003"	"TOTAL SCOTLAND"	"2009"	"156177.56251"	"1688.3810365"	"45.830441623"	"663.52069572"	"5.3153630118"	"106.85361194"	"0"	"2509.9011487"	"1029.2587942"	"293.43892776"	"1322.6977219"	"25585.224884"	"81.436466286"	"4003.3766188"	"37825.274975"	"642.13916925"	"156.67088231"	"2600.1959534"	"70894.318949"	"20377.943242"	"30730.200964"	"51108.144194"	"15632.0628"	"11434.958584"	"27067.021385"	"2523.5252819"	"751.95383082"	"3275.4791127"	"69827.383393"	"47877.449621"	"38472.729508"
