"LA"	"TechType"	"Status"	"Sites"	"Capacity"
"Highland"	"Small Hydro"	"Awaiting Construction"	1	1.95
"Perth and Kinross"	"Advanced Conversion Technologies"	"Awaiting Construction"	1	4.64
"Glasgow City"	"Advanced Conversion Technologies"	"Under Construction"	1	10
"West Lothian"	"Advanced Conversion Technologies"	"Awaiting Construction"	1	5
"East Lothian"	"EfW Incineration"	"Under Construction"	1	25.6
"North Lanarkshire"	"Advanced Conversion Technologies"	"Under Construction"	1	25
"Glasgow City"	"EfW Incineration"	"Awaiting Construction"	1	20
"Angus"	"Solar Photovoltaics"	"Awaiting Construction"	1	19
"Offshore"	"Tidal Barrage and Tidal Stream"	"Awaiting Construction"	1	10
"Orkney Islands"	"Tidal Barrage and Tidal Stream"	"Application Submitted"	1	200
"Offshore"	"Tidal Barrage and Tidal Stream"	"Awaiting Construction"	1	3
"Offshore"	"Tidal Barrage and Tidal Stream"	"Awaiting Construction"	1	30
"Offshore"	"Wind Offshore"	"Awaiting Construction"	1	784
"Offshore"	"Wind Offshore"	"Awaiting Construction"	1	525
"Offshore"	"Wind Offshore"	"Under Construction"	1	317
"Offshore"	"Wind Offshore"	"Under Construction"	1	317
"Offshore"	"Wind Offshore"	"Under Construction"	1	316
"Offshore"	"Wind Offshore"	"Awaiting Construction"	1	525
"South Ayrshire"	"Wind Onshore"	"Awaiting Construction"	1	76
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	1	20.7
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	42
"Perth and Kinross"	"Wind Onshore"	"Awaiting Construction"	1	20.7
"Scottish Borders"	"Wind Onshore"	"Awaiting Construction"	1	50.4
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	49.9
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	4
"East Renfrewshire"	"Wind Onshore"	"Awaiting Construction"	1	2.5
"Argyll and Bute"	"Wind Onshore"	"Under Construction"	1	49.9
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	1	78.6
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	57.8
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	38
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	2.4
"East Ayrshire"	"Wind Onshore"	"Awaiting Construction"	1	54.4
"East Ayrshire"	"Wind Onshore"	"Awaiting Construction"	1	84
"Shetland Islands"	"Wind Onshore"	"Awaiting Construction"	1	57.8
"Aberdeenshire"	"Wind Onshore"	"Awaiting Construction"	1	2.7
"Perth and Kinross"	"Wind Onshore"	"Awaiting Construction"	1	33
"South Lanarkshire"	"Wind Onshore"	"Under Construction"	1	1.6
"Orkney Islands"	"Wind Onshore"	"Awaiting Construction"	1	2.3
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	9
"Angus"	"Wind Onshore"	"Awaiting Construction"	1	4.8
"Orkney Islands"	"Wind Onshore"	"Awaiting Construction"	1	1.8
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Awaiting Construction"	1	21.6
"Aberdeenshire"	"Wind Onshore"	"Awaiting Construction"	1	4.6
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	36
"Aberdeenshire"	"Wind Onshore"	"Awaiting Construction"	1	1.6
"South Ayrshire"	"Wind Onshore"	"Under Construction"	1	20
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	27
"North Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	17.5
"East Ayrshire"	"Wind Onshore"	"Under Construction"	1	30
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	39
"West Lothian"	"Wind Onshore"	"Awaiting Construction"	1	20.4
"Inverclyde"	"Wind Onshore"	"Under Construction"	1	24
"North Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	24
"Moray"	"Wind Onshore"	"Awaiting Construction"	1	26
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	1	72
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	54
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	72.6
"Moray"	"Wind Onshore"	"Awaiting Construction"	1	13.8
"North Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	27.2
"North Ayrshire"	"Wind Onshore"	"Awaiting Construction"	1	9
"Shetland Islands"	"Wind Onshore"	"Application Submitted"	1	200
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	60
"Highland"	"Wind Onshore"	"Application Submitted"	1	38
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	11.4
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	42
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	49.9
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	80
"East Ayrshire"	"Wind Onshore"	"Awaiting Construction"	1	4
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	11.4
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Awaiting Construction"	1	180
"Highland"	"Wind Onshore"	"Awaiting Construction"	1	117
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Awaiting Construction"	1	21.6
"Dumfries and Galloway"	"Wind Onshore"	"Under Construction"	1	30
