"TechType"	"Status"	"Lookup"	"Capacity"	"TurbineAmount"	"Sites"	"StorageType"
"Advanced Conversion Technologies"	"Abandoned"	"Advanced Conversion TechnologiesAbandoned"	2.9	0	1	"NA"
"Advanced Conversion Technologies"	"Application Refused"	"Advanced Conversion TechnologiesApplication Refused"	46	0	3	"NA,NA,NA"
"Advanced Conversion Technologies"	"Application Withdrawn"	"Advanced Conversion TechnologiesApplication Withdrawn"	15	0	1	"NA"
"Advanced Conversion Technologies"	"Awaiting Construction"	"Advanced Conversion TechnologiesAwaiting Construction"	32.14	0	4	"NA,NA,NA,NA"
"Advanced Conversion Technologies"	"Decommissioned"	"Advanced Conversion TechnologiesDecommissioned"	7.2	0	1	"NA"
"Advanced Conversion Technologies"	"Operational"	"Advanced Conversion TechnologiesOperational"	24.5	0	3	"NA,NA,NA"
"Advanced Conversion Technologies"	"Planning Permission Expired"	"Advanced Conversion TechnologiesPlanning Permission Expired"	15	0	2	"NA,NA"
"Advanced Conversion Technologies"	"Under Construction"	"Advanced Conversion TechnologiesUnder Construction"	35	0	2	"NA,NA"
"Anaerobic Digestion"	"Application Refused"	"Anaerobic DigestionApplication Refused"	1	0	1	"NA"
"Anaerobic Digestion"	"Application Withdrawn"	"Anaerobic DigestionApplication Withdrawn"	2	0	2	"NA,NA"
"Anaerobic Digestion"	"Awaiting Construction"	"Anaerobic DigestionAwaiting Construction"	3.6	0	2	"NA,NA"
"Anaerobic Digestion"	"Operational"	"Anaerobic DigestionOperational"	24.9	0	13	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Anaerobic Digestion"	"Planning Permission Expired"	"Anaerobic DigestionPlanning Permission Expired"	6.6	0	2	"NA,NA"
"Anaerobic Digestion"	"Under Construction"	"Anaerobic DigestionUnder Construction"	2	0	1	"NA"
"Battery"	"Abandoned"	"BatteryAbandoned"	82.8	0	6	"NA,NA,NA,NA,NA,NA"
"Battery"	"Application Refused"	"BatteryApplication Refused"	4	0	2	"NA,NA"
"Battery"	"Application Submitted"	"BatteryApplication Submitted"	219.8	0	13	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Battery"	"Application Withdrawn"	"BatteryApplication Withdrawn"	39.9	0	3	"NA,NA,NA"
"Battery"	"Awaiting Construction"	"BatteryAwaiting Construction"	545.6	0	27	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Battery"	"Decommissioned"	"BatteryDecommissioned"	0.1	0	1	"NA"
"Battery"	"Operational"	"BatteryOperational"	24.178	0	9	"NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Biomass (co-firing)"	"Application Withdrawn"	"Biomass (co-firing)Application Withdrawn"	170	0	1	"NA"
"Biomass (dedicated)"	"Abandoned"	"Biomass (dedicated)Abandoned"	100.7	0	9	"NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Biomass (dedicated)"	"Application Refused"	"Biomass (dedicated)Application Refused"	8	0	2	"NA,NA"
"Biomass (dedicated)"	"Application Withdrawn"	"Biomass (dedicated)Application Withdrawn"	247.5	0	4	"NA,NA,NA,NA"
"Biomass (dedicated)"	"Operational"	"Biomass (dedicated)Operational"	236.613	0	15	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Biomass (dedicated)"	"Planning Permission Expired"	"Biomass (dedicated)Planning Permission Expired"	205	0	2	"NA,NA"
"EfW Incineration"	"Abandoned"	"EfW IncinerationAbandoned"	7.5	0	1	"NA"
"EfW Incineration"	"Application Refused"	"EfW IncinerationApplication Refused"	16	0	2	"NA,NA"
"EfW Incineration"	"Application Submitted"	"EfW IncinerationApplication Submitted"	8.6	0	1	"NA"
"EfW Incineration"	"Application Withdrawn"	"EfW IncinerationApplication Withdrawn"	14.7	0	1	"NA"
"EfW Incineration"	"Awaiting Construction"	"EfW IncinerationAwaiting Construction"	47	0	3	"NA,NA,NA"
"EfW Incineration"	"Operational"	"EfW IncinerationOperational"	20.8	0	2	"NA,NA"
"EfW Incineration"	"Planning Permission Expired"	"EfW IncinerationPlanning Permission Expired"	21	0	1	"NA"
