"LA"	"TechType"	"Status"	"Lookup"	"Capacity"	"TurbineAmount"	"Sites"	"StorageType"
"Aberdeen City"	"Biomass (dedicated)"	"Abandoned"	"Aberdeen CityBiomass (dedicated)Abandoned"	22	0	1	"NA"
"Aberdeen City"	"EfW Incineration"	"Application Refused"	"Aberdeen CityEfW IncinerationApplication Refused"	12	0	1	"NA"
"Aberdeen City"	"EfW Incineration"	"Under Construction"	"Aberdeen CityEfW IncinerationUnder Construction"	11.1	0	1	"NA"
"Aberdeen City"	"Landfill Gas"	"Operational"	"Aberdeen CityLandfill GasOperational"	2.2	0	1	"NA"
"Aberdeen City"	"Solar Photovoltaics"	"Awaiting Construction"	"Aberdeen CitySolar PhotovoltaicsAwaiting Construction"	0.25	0	1	"NA"
"Aberdeenshire"	"Battery"	"Application Submitted"	"AberdeenshireBatteryApplication Submitted"	29.9	0	2	"NA,NA"
"Aberdeenshire"	"Battery"	"Awaiting Construction"	"AberdeenshireBatteryAwaiting Construction"	80	0	6	"NA,NA,NA,NA,NA,NA"
"Aberdeenshire"	"Battery"	"Operational"	"AberdeenshireBatteryOperational"	1	0	1	"NA"
"Aberdeenshire"	"Biomass (dedicated)"	"Abandoned"	"AberdeenshireBiomass (dedicated)Abandoned"	4	0	1	"NA"
"Aberdeenshire"	"Biomass (dedicated)"	"Application Refused"	"AberdeenshireBiomass (dedicated)Application Refused"	3	0	1	"NA"
"Aberdeenshire"	"Biomass (dedicated)"	"Operational"	"AberdeenshireBiomass (dedicated)Operational"	1.2	0	1	"NA"
"Aberdeenshire"	"Landfill Gas"	"Operational"	"AberdeenshireLandfill GasOperational"	6.472	0	2	"NA,NA"
"Aberdeenshire"	"Small Hydro"	"Under Construction"	"AberdeenshireSmall HydroUnder Construction"	2	0	1	"NA"
"Aberdeenshire"	"Solar Photovoltaics"	"Application Submitted"	"AberdeenshireSolar PhotovoltaicsApplication Submitted"	5	0	1	"NA"
"Aberdeenshire"	"Solar Photovoltaics"	"Awaiting Construction"	"AberdeenshireSolar PhotovoltaicsAwaiting Construction"	44.1	0	4	"NA,NA,NA,NA"
"Aberdeenshire"	"Solar Photovoltaics"	"Operational"	"AberdeenshireSolar PhotovoltaicsOperational"	10.75	0	5	"NA,NA,NA,NA,NA"
"Aberdeenshire"	"Solar Photovoltaics"	"Under Construction"	"AberdeenshireSolar PhotovoltaicsUnder Construction"	2	0	1	"NA"
"Aberdeenshire"	"Wind Onshore"	"Abandoned"	"AberdeenshireWind OnshoreAbandoned"	150	0	1	"NA"
"Aberdeenshire"	"Wind Onshore"	"Application Refused"	"AberdeenshireWind OnshoreApplication Refused"	427.35	201	48	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Aberdeenshire"	"Wind Onshore"	"Application Submitted"	"AberdeenshireWind OnshoreApplication Submitted"	256.85	65	7	"NA,NA,NA,NA,NA,NA,NA"
"Aberdeenshire"	"Wind Onshore"	"Application Withdrawn"	"AberdeenshireWind OnshoreApplication Withdrawn"	193.15	130	24	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Aberdeenshire"	"Wind Onshore"	"Awaiting Construction"	"AberdeenshireWind OnshoreAwaiting Construction"	20.8	19	8	"NA,NA,NA,NA,NA,NA,NA,NA"
"Aberdeenshire"	"Wind Onshore"	"Operational"	"AberdeenshireWind OnshoreOperational"	494.65	270	63	"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"Angus"	"Battery"	"Application Refused"	"AngusBatteryApplication Refused"	0	0	1	"NA"
"Angus"	"Battery"	"Application Submitted"	"AngusBatteryApplication Submitted"	10	0	1	"NA"
"Angus"	"Battery"	"Awaiting Construction"	"AngusBatteryAwaiting Construction"	10	0	1	"NA"
"Angus"	"Landfill Gas"	"Operational"	"AngusLandfill GasOperational"	2	0	1	"NA"
"Angus"	"Solar Photovoltaics"	"Abandoned"	"AngusSolar PhotovoltaicsAbandoned"	10	0	2	"NA,NA"
"Angus"	"Solar Photovoltaics"	"Application Submitted"	"AngusSolar PhotovoltaicsApplication Submitted"	39.9	0	1	"NA"
"Angus"	"Solar Photovoltaics"	"Awaiting Construction"	"AngusSolar PhotovoltaicsAwaiting Construction"	71.57	0	5	"NA,NA,NA,NA,NA"
"Angus"	"Solar Photovoltaics"	"Operational"	"AngusSolar PhotovoltaicsOperational"	20	0	3	"NA,NA,NA"
"Angus"	"Solar Photovoltaics"	"Planning Permission Expired"	"AngusSolar PhotovoltaicsPlanning Permission Expired"	31	0	1	"NA"
