"Country"	"Year"	"Total"	"Petrol - Industrial"	"Petrol - Domestic"	"Petrol - Rail"	"Petrol - Public Administration"	"Petrol - Commercial"	"Petrol - Agriculture"
"TOTAL SCOTLAND"	2005	45924.147620805	32520.8234233472	4218.01629160176	598.672521843292	348.88212053475	172.989144481676	2901.33387274412
"TOTAL SCOTLAND"	2006	41904.6731153914	28388.8635200603	4499.26214455648	596.383101956157	273.819739135767	132.936732675257	2765.58534866489
"TOTAL SCOTLAND"	2007	40018.850737243	27109.4269879616	3872.17434728625	639.403137722684	244.479620672894	124.98136299477	2626.93822804988
"TOTAL SCOTLAND"	2008	41714.6852803181	28216.7957406364	4116.49385812817	642.361203830443	207.750679229495	116.466518558021	2567.9079627527
"TOTAL SCOTLAND"	2009	40177.1219551378	25585.2248812556	4003.37661937416	642.139169296797	156.670882294066	81.4364662885591	2600.19595320169
"TOTAL SCOTLAND"	2010	40625.8727810525	24631.9891749223	4534.14190036786	644.366940693207	161.820082468264	90.2622656755407	2623.52340919944
"TOTAL SCOTLAND"	2011	39525.8377003238	24774.6823231401	3493.19403367808	637.650584866178	197.942444766017	89.0052329650617	2664.28908504792
"TOTAL SCOTLAND"	2012	38842.927386965	24155.4256125993	3477.97674575781	652.118512373893	142.844470536713	74.7950416225778	2741.95632516981
"TOTAL SCOTLAND"	2013	38420.2584182247	22508.4475148741	3580.95167776728	651.597180465393	120.814380071642	80.6453062016091	2709.43074397601
"TOTAL SCOTLAND"	2014	36636.6215636962	20957.577526003	3170.85212796734	663.745031518802	134.258343665057	91.2836283526364	2734.63902220326
"TOTAL SCOTLAND"	2015	36037.4088740969	21350.9031850623	3176.36632823241	660.748302827405	147.503491989058	126.143913729374	2848.06677730091
"TOTAL SCOTLAND"	2016	37229.233215918	22426.2960966745	3169.9649421658	655.913085404943	134.005966947366	105.075292009241	3008.52586519768
"TOTAL SCOTLAND"	2017	39294.2128001216	24463.2866828836	3111.57573449087	647.951070702739	126.142839622152	109.096911993226	3038.90813959693
"TOTAL SCOTLAND"	2018	37436.9903344814	22774.2044275037	3122.02705128351	595.708957810719	169.52118105953	118.680003109592	3033.75963776238
