"Country"	"Year"	"Buses"	"Diesel Cars"	"Petrol Cars"	"Motor-cycles"	"HGV"	"Diesel LGV"	"Petrol LGV"	"Personal"	"Freight"	"Total"
"Scotland"	"2005"	"168982.46055075125"	"549241.22615737899"	"1448265.1738738015"	"12505.321860302649"	"568246.81192148558"	"391820.14963259123"	"40825.030676018607"	"2178994.1824422348"	"1000891.9922300953"	"3179886.1746723298"
"Scotland"	"2006"	"173007.18700771671"	"614390.04875467496"	"1430445.9331901267"	"11943.965215511926"	"585683.81805786828"	"408832.33596411376"	"41706.183347043778"	"2229787.1341680307"	"1036222.337369026"	"3266009.4715370601"
"Scotland"	"2007"	"183406.61544983773"	"667851.0007529927"	"1385827.5304630657"	"12831.734100191494"	"604360.63177268463"	"437663.69140179886"	"38896.245330508013"	"2249916.8807660872"	"1080920.5685049915"	"3330837.4492710801"
"Scotland"	"2008"	"174694.45703798716"	"738896.87306800415"	"1299969.4292047573"	"12307.562380363428"	"604047.97644821403"	"443886.84615404607"	"35353.274561255879"	"2225868.3216911121"	"1083288.0971635163"	"3309156.4188546301"
"Scotland"	"2009"	"174672.83505385194"	"755591.51468256174"	"1276556.555422989"	"12540.92873000534"	"559900.57466269354"	"440771.03782201349"	"32354.771409367073"	"2219361.8338894085"	"1033026.383894074"	"3252388.21778348"
"Scotland"	"2010"	"178193.38075666421"	"760019.48627957492"	"1204609.6198262572"	"11283.019336891601"	"560513.99829556688"	"447213.67557869223"	"29719.00113715131"	"2154105.5061993883"	"1037446.6750114104"	"3191552.1812108001"
"Scotland"	"2011"	"165265.92160731845"	"795433.66745120182"	"1150101.4114152486"	"11368.858980603231"	"545101.04199321626"	"450696.90527933731"	"27320.415228443821"	"2122169.859454372"	"1023118.3625009975"	"3145288.2219553702"
"Scotland"	"2012"	"157783.14463538388"	"833780.11278410559"	"1101477.2868713692"	"11100.110143947866"	"545287.49759184453"	"452637.98341109051"	"25022.381443226885"	"2104140.6544348067"	"1022947.8624461619"	"3127088.51688097"
"Scotland"	"2013"	"162481.79878809486"	"869631.62404708366"	"1041028.1221934482"	"10873.089224622128"	"551483.26764855755"	"465419.61151195038"	"23325.373233595277"	"2084014.634253249"	"1040228.2523941031"	"3124242.8866473502"
"Scotland"	"2014"	"162884.1824412079"	"908444.56169115764"	"1018126.2372092007"	"11243.410808462373"	"559267.97579449764"	"492144.17672766495"	"22252.550553343273"	"2100698.3921500286"	"1073664.703075506"	"3174363.0952255302"
"Scotland"	"2015"	"156220.15596152897"	"930864.10120165534"	"980000.0355871002"	"11081.676705624532"	"561780.92864534084"	"512621.0446801043"	"20745.718924067427"	"2078165.9694559092"	"1095147.6922495125"	"3173313.6617054199"
"Scotland"	"2016"	"149592.34927444663"	"950768.18776435347"	"956403.71526758932"	"10721.259030791405"	"573588.45409040002"	"543885.57646881649"	"19636.908500146867"	"2067485.5113371809"	"1137110.9390593632"	"3204596.4503965401"
"Scotland"	"2017"	"155486.56197129263"	"999186.17346571351"	"942002.83511433238"	"11472.767294667325"	"595889.15074361849"	"585647.02152021474"	"18476.2465549962"	"2108148.3378460063"	"1200012.4188188293"	"3308160.75666484"
"Scotland"	"2018"	"133380.2493140747"	"1005270.327767244"	"932415.68267818459"	"11519.355691760373"	"597615.18108260829"	"585550.10298535915"	"18239.257232514356"	"2082585.6154512637"	"1201404.5413004819"	"3283990.15675175"
