"LA"	"TechType"	"Status"	"Lookup"	"Capacity"	"TurbineAmount"	"Sites"
"Aberdeen City"	"Biomass (dedicated)"	"Abandoned"	"Aberdeen CityBiomass (dedicated)Abandoned"	22	0	1
"Aberdeen City"	"EfW Incineration"	"Application Refused"	"Aberdeen CityEfW IncinerationApplication Refused"	12	0	1
"Aberdeen City"	"EfW Incineration"	"Awaiting Construction"	"Aberdeen CityEfW IncinerationAwaiting Construction"	11.1	0	1
"Aberdeen City"	"Landfill Gas"	"Operational"	"Aberdeen CityLandfill GasOperational"	2.2	0	1
"Aberdeenshire"	"Battery"	"Application Submitted"	"AberdeenshireBatteryApplication Submitted"	0	0	2
"Aberdeenshire"	"Battery"	"Awaiting Construction"	"AberdeenshireBatteryAwaiting Construction"	45	0	3
"Aberdeenshire"	"Battery"	"Operational"	"AberdeenshireBatteryOperational"	1	0	1
"Aberdeenshire"	"Biomass (dedicated)"	"Abandoned"	"AberdeenshireBiomass (dedicated)Abandoned"	4	0	1
"Aberdeenshire"	"Biomass (dedicated)"	"Application Submitted"	"AberdeenshireBiomass (dedicated)Application Submitted"	3	0	1
"Aberdeenshire"	"Biomass (dedicated)"	"Operational"	"AberdeenshireBiomass (dedicated)Operational"	1.2	0	1
"Aberdeenshire"	"Landfill Gas"	"Operational"	"AberdeenshireLandfill GasOperational"	6.472	0	2
"Aberdeenshire"	"Small Hydro"	"Awaiting Construction"	"AberdeenshireSmall HydroAwaiting Construction"	2	0	1
"Aberdeenshire"	"Solar Photovoltaics"	"Awaiting Construction"	"AberdeenshireSolar PhotovoltaicsAwaiting Construction"	9.5	0	4
"Aberdeenshire"	"Solar Photovoltaics"	"Operational"	"AberdeenshireSolar PhotovoltaicsOperational"	10.75	0	5
"Aberdeenshire"	"Wind Onshore"	"Abandoned"	"AberdeenshireWind OnshoreAbandoned"	150	0	1
"Aberdeenshire"	"Wind Onshore"	"Application Refused"	"AberdeenshireWind OnshoreApplication Refused"	419.85	198	46
"Aberdeenshire"	"Wind Onshore"	"Application Submitted"	"AberdeenshireWind OnshoreApplication Submitted"	143.45	38	3
