"LA"	"TechType"	"Status"	"Sites"	"Capacity"
"Highland"	"Biomass (dedicated)"	"Operational"	1	5
"North Ayrshire"	"Biomass (dedicated)"	"Operational"	1	26.043
"Stirling"	"Biomass (dedicated)"	"Operational"	1	15
"Fife"	"Biomass (dedicated)"	"Operational"	1	12.5
"Moray"	"Biomass (dedicated)"	"Operational"	1	8.32
"Fife"	"Biomass (dedicated)"	"Operational"	1	65
"Scottish Borders"	"Advanced Conversion Technologies"	"Operational"	1	10
"Fife"	"Biomass (dedicated)"	"Operational"	1	5.5
"Moray"	"Biomass (dedicated)"	"Operational"	1	12.5
"Dumfries and Galloway"	"Biomass (dedicated)"	"Operational"	1	50.4
"Aberdeenshire"	"Biomass (dedicated)"	"Operational"	1	1.2
"North Lanarkshire"	"Anaerobic Digestion"	"Operational"	1	1
"North Lanarkshire"	"Anaerobic Digestion"	"Operational"	1	2.4
"North Lanarkshire"	"Anaerobic Digestion"	"Operational"	1	2.4
"North Ayrshire"	"Anaerobic Digestion"	"Operational"	1	2.2
"Fife"	"Anaerobic Digestion"	"Operational"	1	1.7
"Glasgow City"	"Anaerobic Digestion"	"Operational"	1	5
"East Lothian"	"Anaerobic Digestion"	"Operational"	1	1.5
"North Ayrshire"	"Anaerobic Digestion"	"Operational"	1	1
"Dumfries and Galloway"	"Anaerobic Digestion"	"Operational"	1	1.2
"Midlothian"	"Anaerobic Digestion"	"Operational"	1	1.5
"Highland"	"Large Hydro"	"Operational"	1	36
"Highland"	"Large Hydro"	"Operational"	1	100
"Highland"	"Large Hydro"	"Operational"	1	7.5
"Highland"	"Large Hydro"	"Operational"	1	19.5
"Perth and Kinross"	"Large Hydro"	"Operational"	1	6.4
"Perth and Kinross"	"Large Hydro"	"Operational"	1	15
"Argyll and Bute"	"Large Hydro"	"Operational"	1	6
"Highland"	"Large Hydro"	"Operational"	1	5
"Argyll and Bute"	"Large Hydro"	"Operational"	1	8
"Highland"	"Large Hydro"	"Operational"	1	20
"Highland"	"Large Hydro"	"Operational"	1	20
"Highland"	"Large Hydro"	"Operational"	1	18
"Highland"	"Large Hydro"	"Operational"	1	15
"Highland"	"Large Hydro"	"Operational"	1	20
