"Year"	"Services GVA"
"2016 weights3"	"87370.982136126418"
"1998"	"61445.291409355341"
"1999"	"62773.673891010745"
"2000"	"65062.083080212455"
"2001"	"68991.311220756543"
"2002"	"71518.428439514755"
"2003"	"74925.891901597555"
"2004"	"76839.665849748082"
"2005"	"78456.997062663489"
"2006"	"80530.648647750932"
"2007"	"81767.949586408737"
"2008"	"82458.467286442537"
"2009"	"82100.606089210953"
"2010"	"82105.250103297658"
"2011"	"82058.43997864853"
"2012"	"82929.810799310406"
"2013"	"84632.383834297769"
"2014"	"85917.491469374858"
"2015"	"86115.745031341896"
"2016"	"87370.982136126418"
"2017"	"88157.036766283767"
"2018"	"89708.807582212248"
"2019"	"90645.14824366603"
