"Quarter"	"Credit"	"Direct Debit"	"Prepayment"	"All payment types"
2001-12-01	31	45	27	".."
2002-03-01	29	46	29	".."
2002-06-01	34	48	28	".."
2002-09-01	32	47	32	".."
2002-12-01	33	48	33	".."
2003-03-01	33	48	31	".."
2003-06-01	30	56	35	".."
2003-09-01	32	50	32	".."
2003-12-01	32	52	32	".."
2004-03-01	35	52	31	".."
2004-06-01	37	51	34	".."
2004-09-01	30	51	34	".."
2004-12-01	30	50	29	".."
2005-03-01	29	51	29	".."
2005-06-01	28	50	35	".."
2005-09-01	35	41	34	".."
2005-12-01	36	41	36	".."
2006-03-01	36	41	35	".."
2006-06-01	36	42	35	".."
2006-09-01	38	43	36	".."
2006-12-01	37	45	38	".."
2007-03-01	37	46	38	".."
2007-06-01	40	48	37	".."
2007-09-01	41	49	37	".."
2007-12-01	42	50	38	".."
2008-03-01	43	51	39	".."
2008-06-01	47	56	42	".."
2008-09-01	48	56	43	".."
2008-12-01	49	57	43	".."
2009-03-01	49	58	43	".."
2009-06-01	50	58	43	".."
2009-09-01	49	56	41	".."
2009-12-01	49	56	40	".."
2010-03-01	50	56	40	"51"
2010-06-01	54	57	36	"52"
2010-09-01	54	58	36	"52"
2010-12-01	55	59	37	"53"
2011-03-01	53	59	40	"53"
2011-06-01	53	58	40	"53"
2011-09-01	54	59	42	"54"
2011-12-01	55	60	42	"55"
2012-03-01	55	60	43	"55"
2012-06-01	56	60	44	"56"
2012-09-01	56	61	45	"56"
2012-12-01	56	60	46	"56"
2013-03-01	56	60	46	"56"
2013-06-01	57	60	46	"56"
2013-09-01	57	61	47	"57"
2013-12-01	55	61	47	"57"
2014-03-01	57	62	46	"57"
2014-06-01	58	63	46	"58"
2014-09-01	58	64	48	"59"
2014-12-01	57	64	48	"58"
2015-03-01	58	64	48	"59"
2015-06-01	57	64	47	"59"
2015-09-01	56	64	48	"59"
2015-12-01	56	65	48	"59"
2016-03-01	56	65	48	"64"
2016-06-01	56	65	48	"64"
2016-09-01	56	65	48	"65"
2016-12-01	57	66	48	"65"
2017-03-01	55	67	48	"66"
2017-06-01	56	67	48	"67"
2017-09-01	55	68	48	"67"
2017-12-01	65	75	70	"72"
2018-03-01	56	71	58	"66"
2018-06-01	59	74	65	"69"
2018-09-01	60	74	63	"69"
2018-12-01	61	75	69	"70"
2019-03-01	59	77	61	"71"
2019-06-01	60	77	62	"71"
2019-09-01	60	76	62	"70"
2019-12-01	61	76	62	"70"
2020-03-01	62	76	62	"70"
2020-06-01	62	76	62	"70"
