"Quarter"	"Credit"	"Direct Debit"	"Prepayment"	"All payment types"
"41334"	40	65	61	57
"41426"	40	64	61	57
"41518"	40	65	61	57
"41609"	41	65	62	58
"41699"	42	67	64	60
"41791"	42	67	63	60
"41883"	43	67	62	60
"41974"	44	66	61	60
"42064"	44	65	61	59
"42156"	44	65	61	59
"42248"	45	64	61	59
"42339"	45	64	60	59
"42430"	44	64	60	63
"42522"	45	64	59	63
"42614"	45	64	59	64
"42705"	45	64	58	64
"42795"	47	63	58	64
"42887"	47	64	57	65
"42979"	48	66	57	66
"43070"	52	71	70	67
"43160"	49	72	71	68
"43252"	52	74	70	69
"43344"	53	75	71	70
"43435"	54	75	71	71
"43525"	59	76	68	71
"43617"	59	75	69	71
"43709"	61	76	70	72
"43800"	61	76	71	73
"43891"	60	76	71	73
"43983"	60	76	71	73
