"X__92"	"X__91"	"X__90"	"X__89"	"X__88"	"X__87"	"X__86"	"X__85"	"X__84"	"X__83"	"X__82"	"X__81"	"X__80"	"X__79"	"X__78"	"X__77"	"X__76"	"X__75"	"X__74"	"X__73"	"X__72"	"X__71"	"X__70"	"X__69"	"X__68"	"X__67"	"X__66"	"X__65"	"X__64"	"X__63"	"X__62"	"X__61"	"X__60"	"X__59"	"X__58"	"X__57"	"X__56"	"X__55"	"X__54"	"X__53"	"X__52"	"X__51"	"X__50"	"X__49"	"X__48"	"X__47"	"X__46"	"X__45"	"X__44"	"X__43"	"X__42"	"X__41"	"X__40"	"X__39"	"X__38"	"X__37"	"X__36"	"X__35"	"X__34"	"X__33"	"X__32"	"X__31"	"X__30"	"X__29"	"X__28"	"X__27"	"X__26"	"X__25"	"X__24"	"X__23"	"X__22"	"X__21"	"X__20"	"X__19"	"X__18"	"X__17"	"X__16"	"X__15"	"X__14"	"X__13"	"X__12"	"X__11"	"X__10"	"X__9"	"X__8"	"X__7"	"X__6"	"X__5"	"X__4"	"X__3"	"X__2"	"X__1"
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	"Table 1:  Generation and supply of electricity in Scotland, Wales, Northern Ireland and England, 2004 to 2018            GWh"
 	 	 	 	"2018"	 	 	 	 	 	"2017"	 	 	 	 	 	"2016"	 	 	 	 	 	"2015"	 	 	 	 	 	"2014"	 	 	 	 	 	"2013"	 	 	 	 	 	"2012"	 	 	 	 	 	"2011"	 	 	 	 	 	"2010"	 	 	 	 	 	"2009"	 	 	 	 	 	"2008"	 	 	 	 	 	"2007"	 	 	 	 	 	"2006"	 	 	 	 	 	"2005"	 	 	 	 	 	"2004"	 	 	 
"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	 	 
"208634"	"6278.74"	"26830"	"39613.5"	"281356"	 	"209283"	"7182.13"	"31342.7"	"39936.8"	"287745"	 	"208146"	"7357.62"	"39301.7"	"38137.7"	"292943"	 	"210754"	"7066.14"	"34456.9"	"43713.5"	"295991"	 	"218710"	"6660.63"	"32286.5"	"43164.4"	"300822"	 	"234326"	"6702.2"	"36712"	"46882.4"	"324623"	 	"243281"	"6551.8"	"33469.5"	"44988.5"	"328291"	 	"251508"	"7295.3"	"28371.9"	"45363.6"	"332539"	 	"265455"	"7107.2"	"30586.1"	"44459.1"	"347607"	 	"258728"	"7628.14"	"30370.2"	"45284.4"	"342011"	 	"264298"	"9233.78"	"36560.1"	"45147.4"	"355239"	 	"280196"	"8806"	"29779"	"42536.1"	"361317"	 	"273715"	"9786.87"	"32203.2"	"45527.5"	"361232"	 	"278871"	"9239.19"	"32254"	"41847.6"	"362212"	 	"273699"	"7140.87"	"33020.3"	"44453.2"	"358313"	 	"Major power producers"	"Generated by"
"35945.9"	"3087.1"	"3880.38"	"8622.92"	"51536.3"	 	"35409.5"	"2480.06"	"3972.01"	"8566.14"	"50427.8"	 	"33281.3"	"1817.45"	"3512.71"	"7636.07"	"46247.5"	 	"30099.1"	"1694.61"	"3469.36"	"7621.59"	"42884.6"	 	"26195.2"	"1219.58"	"2981.71"	"6877.7"	"37274.2"	 	"23488.2"	"1079.77"	"2951.28"	"6141.75"	"33661"	 	"26934.3"	"829.387"	"2474.22"	"5344.57"	"35582.5"	 	"26665.7"	"710.337"	"2560.09"	"5506.88"	"35443"	 	"26643.4"	"496.495"	"2247.61"	"5073.27"	"34460.8"	 	"26846"	"377.678"	"1770.91"	"5712.83"	"34707.4"	 	"26644.3"	"387.281"	"1730.46"	"4890.93"	"33653"	 	"26770.7"	"289.361"	"2909.14"	"5543.54"	"35512.7"	 	"25435.4"	"459.169"	"3432.77"	"6722.58"	"36049.9"	 	"25977.5"	"381.047"	"2399.2"	"7389.81"	"36147.5"	 	"27437.3"	"271.6"	"2401.91"	"5483.77"	"35594.5"	 	"Other generators"	 
"244580"	"9365.84"	"30710.4"	"48236.4"	"332893"	 	"244693"	"9662.19"	"35314.7"	"48502.9"	"338172"	 	"241428"	"9175.06"	"42814.4"	"45773.8"	"339191"	 	"240853"	"8760.75"	"37926.2"	"51335.1"	"338875"	 	"244906"	"7880.22"	"35268.2"	"50042.1"	"338096"	 	"257814"	"7781.97"	"39663.3"	"53024.1"	"358284"	 	"270216"	"7381.18"	"35943.8"	"50333"	"363874"	 	"278174"	"8005.64"	"30932"	"50870.5"	"367982"	 	"292098"	"7603.7"	"32833.8"	"49532.4"	"382068"	 	"285574"	"8005.82"	"32141.1"	"50997.2"	"376718"	 	"290942"	"9621.06"	"38290.6"	"50038.3"	"388892"	 	"306967"	"9095.36"	"32688.1"	"48079.6"	"396830"	 	"299150"	"10246"	"35636"	"52250.1"	"397282"	 	"304849"	"9620.24"	"34653.2"	"49237.4"	"398360"	 	"301136"	"7412.47"	"35422.2"	"49937"	"393908"	 	 	"Total generated"
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
"3202.06"	"153.845"	"330.57"	"648.936"	"4335.41"	 	"2899.33"	"122.75"	"264.093"	"473.871"	"3760.03"	 	"2311.3"	"86.6531"	"184.556"	"339.876"	"2922.4"	 	"2227.24"	"57.3997"	"206.052"	"343.129"	"2833.83"	 	"1984.78"	"39.2362"	"166.051"	"332.279"	"2522.36"	 	"1702.63"	"31.3478"	"176.515"	"280.563"	"2191.06"	 	"1719.33"	"24.4344"	"145.158"	"234.64"	"2123.55"	 	"1633.05"	"17.491"	"134.973"	"187.15"	"1972.66"	 	"1410.11"	"14.261"	"110.913"	"184.368"	"1719.65"	 	"1406.92"	"19.793"	"92.8086"	"299.393"	"1818.92"	 	"1329.08"	"19.3185"	"86.3197"	"243.972"	"1678.69"	 	"1209.66"	"13.075"	"131.452"	"250.489"	"1604.67"	 	"1038.83"	"18.7458"	"140.145"	"274.462"	"1472.18"	 	"1155.86"	"16.9546"	"106.752"	"328.808"	"1608.38"	 	"1118.42"	"11.0712"	"97.9091"	"223.535"	"1450.94"	 	 	"Own use by Other generators"
"32743.8"	"2933.25"	"3549.81"	"7973.99"	"47200.9"	 	"32510.2"	"2357.31"	"3707.92"	"8092.27"	"46667.7"	 	"30970"	"1730.8"	"3328.15"	"7296.19"	"43325.1"	 	"27871.8"	"1637.21"	"3263.31"	"7278.46"	"40050.8"	 	"24210.4"	"1180.35"	"2815.66"	"6545.42"	"34751.8"	 	"21785.6"	"1048.42"	"2774.76"	"5861.19"	"31470"	 	"25215"	"804.953"	"2329.06"	"5109.93"	"33458.9"	 	"25032.7"	"692.846"	"2425.12"	"5319.73"	"33470.4"	 	"25233.3"	"482.234"	"2136.7"	"4888.9"	"32741.1"	 	"25439.1"	"357.885"	"1678.1"	"5413.43"	"32888.5"	 	"25315.3"	"367.962"	"1644.14"	"4646.96"	"31974.3"	 	"25561"	"276.286"	"2777.69"	"5293.05"	"33908.1"	 	"24406.7"	"440.423"	"3292.63"	"6448.32"	"34588.1"	 	"24821.6"	"364.092"	"2292.45"	"7061"	"34539.2"	 	"26318.8"	"260.529"	"2304.01"	"5260.23"	"34143.6"	 	 	"Electricity supplied (net) by Other generators"
"9151.6"	"140.464"	"2407.44"	"1880.54"	"13580.1"	 	"9176.08"	"162.975"	"3702.85"	"2478"	"15519.9"	 	"9301.94"	"194.7"	"4240.65"	"2623.74"	"16361"	 	"10070.4"	"191.882"	"4430.16"	"2836.07"	"17528.5"	 	"10544.4"	"179.662"	"4359.26"	"2758.36"	"17841.7"	 	"11484.9"	"195.345"	"4765.16"	"3142.6"	"19588"	 	"12301.3"	"188.349"	"4303.98"	"3043.95"	"19837.6"	 	"10952.9"	"168.166"	"4211.09"	"2989.72"	"18321.9"	 	"10714.4"	"185.924"	"4375.86"	"3338.36"	"18614.6"	 	"11028.8"	"183.901"	"4731.7"	"3649.11"	"19593.5"	 	"11258"	"287.644"	"5806.07"	"2681.64"	"20033.3"	 	"12092"	"257.752"	"5062.34"	"3748.91"	"21161"	 	"11749.4"	"350.021"	"5588.19"	"4261.65"	"21949.3"	 	"11638.3"	"324.7"	"4605.9"	"3402.87"	"19971.8"	 	"10818.3"	"283.613"	"4176.59"	"3800.1"	"19078.6"	 	 	"Used in pumping at pumped storage and other own use by MPPs"
