"Generation - Technology"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"
"Onshore Wind 6"	32189.2324541659	30219.2888157103	28725.2137010692	20753.6864060721	22851.9804151815	18554.6503888148	16925.3737165911	12243.9538152033	10813.9439059003	7225.97622474589	7527.07678089362
"Offshore Wind 6, 7"	32145.6111869709	26687.0617493748	20915.9077116335	16405.7363731644	17422.7392447111	13404.5941881468	11471.7780102282	7603.16615820458	5149.0247079	3059.668324	1753.8947367
"Shoreline wave / tidal 6"	13.9906	9.2984	4.1936	0.0086	1.99863333333329	2.22144770166623	4.75587727272719	4.20268289207461	0.939935136363636	1.8841652	0.625159
"Solar photovoltaics 6"	12918.0703357009	12735.5104436092	11457.2679844292	10395.1143878058	7532.86411700781	4054.06244535365	2010.26208187311	1353.76358665009	243.663429678101	40.2770998790807	20.0002063914214
"Hydro 6"	5934.82711345353	5443.83638882377	5881.86617624022	5370.41221687693	6297.26854171161	5887.8017428922	4701.47418282128	5309.65185559632	5691.7479563114	3591.37525601957	5227.91534004996
"Landfill gas 6"	3624.32307272158	3915.78255657413	4283.78456527957	4702.87051299535	4872.18690947467	5033.2179317436	5174.6536527114	5208.49853545006	5318.01501148063	5216.855021828	4917.51470734631
"Sewage sludge digestion 6"	1048.61297836596	992.03178527144	967.349113585705	950.284367637435	894.383235716429	840.143568476126	765.980421987747	738.538266965781	774.995288091616	723.45829824665	603.028873268
"Energy from waste 8"	3809.5056415422	3490.45988714665	3385.59993020982	2739.75209642957	2582.42537019649	1899.87335679004	1648.1728915279	1772.90086178408	1504.0340667317	1528.75762163396	1509.3084739253
"Co-firing with fossil fuels"	1.66507138096795	1.06833588482668	53.8839065401598	117.45806	183.306438027055	123.839878789299	337.260633333319	1828.51084516329	3093.029	2432.442	1625.017
"Animal Biomass (non-AD) 2, 6"	660.837750927732	633.92617278632	649.177369437853	650.195561236106	647.803686038867	613.902921389657	628.245804161244	642.89354236169	614.602231665127	627.212551226625	636.576242924427
"Anaerobic Digestion"	2896.27152964338	2785.54575427973	2631.89499684166	2157.79209282281	1484.6660168018	1022.56520623247	713.054415470924	494.631167884353	237.179253029076	117.49036864	43.490732892946
"Plant Biomass 3, 6"	25272.5203715546	23135.1606954127	19922.489118992	18747.1731088789	18592.2061772632	13085.4818609215	8832.7667725165	4047.82092874169	1770.99891034076	1614.8683877337	1379.38647568032
"Total"	120515.468106428	110048.970984874	98878.6281742589	82990.4837839195	83363.8287854638	64522.3549372517	53213.7784604955	41248.5322468973	35212.1736962651	26180.2653191535	25243.8347290723
