"LAU1"	"GovernmentRegion"	"Year"	"All Fuels Total"	"Coal - Industrial"	"Coal - Commercial"	"Coal - Domestic"	"Coal - Rail"	"Coal - Public Sector"	"Coal - Agriculture"	"Coal - Total"	"Manufactured Fuels - Industrial"	"Manufactured Fuels - Domestic"	"Manufactured Fuels - Total"	"Petroleum Products - Industrial"	"Petroleum Products - Commercial"	"Petroleum Products - Domestic"	"Petroleum Products - Road transport"	"Petroleum Products - Rail"	"Petroleum Products - Public Sector"	"Petroleum Products - Agriculture"	"Petroleum Products - Total"	"Gas - Industrial & Commercial"	"Gas - Domestic"	"Gas - Total"	"Electricity - Industrial & Commercial"	"Electricity - Domestic"	"Electricity - Total"	"Bioenergy & Wastes - Industrial & Commercial"	"Bioenergy & Wastes - Domestic"	"Bioenergy & Wastes - Total"	"Consuming Sector - Industry & Commercial"	"Consuming Sector - Domestic"	"Consuming Sector - Transport"
"W92000004"	"Wales"	"2018"	"90776.626068"	"1643.214237"	"7.5330985974"	"573.24444462"	"21.842763292"	"20.38263547"	"0"	"2266.2171789"	"7284.6996251"	"363.8433727"	"7648.5429978"	"9887.9063924"	"68.226113816"	"2833.2934138"	"21874.213615"	"322.38903086"	"15.586000987"	"2050.2314625"	"37051.846029"	"9725.385682"	"14383.2026"	"24108.58828"	"9897.82559"	"4863.394793"	"14761.22038"	"2841.1573186"	"2099.0538838"	"4940.2112024"	"43442.148156"	"25116.032508"	"22218.445409"
"S92000003"	"Scotland"	"2018"	"147403.15684"	"873.76215272"	"10.243564428"	"505.14688031"	"4.2468568199"	"20.367114246"	"0"	"1413.7665685"	"827.10154776"	"308.11326459"	"1135.2148124"	"22774.204433"	"118.68000309"	"3122.0270509"	"38192.805526"	"595.70895785"	"169.52118111"	"3033.7596378"	"68006.70679"	"19216.57235"	"28361.3137"	"47577.88605"	"14509.38271"	"9686.092212"	"24195.47492"	"3494.8540442"	"1579.2536505"	"5074.1076948"	"65048.448738"	"43561.946758"	"38792.761341"
"E92000001"	"England"	"2018"	"1196439.3048"	"8471.763493"	"66.983797821"	"3020.3578235"	"99.063873451"	"159.26778293"	"0"	"11817.436771"	"13933.155912"	"2384.4396393"	"16317.595551"	"74849.121836"	"1008.1771433"	"15648.836737"	"363158.92103"	"5777.2684235"	"410.17681482"	"9886.7966043"	"470739.29859"	"157651.05078"	"276403.62022"	"434054.67099"	"145185.72243"	"88112.287046"	"233298.00945"	"9662.0605788"	"20550.232899"	"30212.293478"	"421284.27717"	"406119.77437"	"369035.25332"
"W92000004"	"Wales"	"2017"	"90924.155574"	"1357.3704164"	"7.5330985974"	"592.41565819"	"21.842763292"	"18.816823035"	"0"	"1997.9787595"	"7844.6134344"	"359.04571811"	"8203.6591525"	"10080.854557"	"62.542447347"	"2824.0972891"	"21867.083157"	"357.45101856"	"14.369417972"	"2053.8644767"	"37260.262364"	"9784.152032"	"14444.73819"	"24228.89022"	"9891.267391"	"4969.47915"	"14860.74654"	"2451.5285504"	"1921.0899863"	"4372.6185378"	"43566.912645"	"25110.865992"	"22246.376939"
"S92000003"	"Scotland"	"2017"	"149615.19677"	"1068.8115752"	"10.243564428"	"522.03248859"	"4.2468568199"	"18.802494165"	"0"	"1624.1369792"	"722.38511987"	"304.89182844"	"1027.2769483"	"24463.286681"	"109.09691199"	"3111.575734"	"38473.909604"	"647.95107067"	"126.14283965"	"3038.9081399"	"69970.870981"	"19347.82267"	"28351.73473"	"47699.5574"	"14136.42084"	"10011.09613"	"24147.51697"	"3700.4775626"	"1445.3599308"	"5145.8374934"	"66742.398398"	"43746.690842"	"39126.107531"
"E92000001"	"England"	"2017"	"1196815.2128"	"9427.571026"	"66.983797821"	"3120.7360046"	"99.063873451"	"170.67464277"	"0"	"12885.029345"	"14925.223696"	"2324.1698823"	"17249.393579"	"72415.385738"	"913.59732223"	"15591.726157"	"366491.66256"	"6437.2365731"	"380.93993743"	"9901.6259731"	"472132.17426"	"154010.43237"	"276391.40153"	"430401.8339"	"144584.75163"	"90173.517765"	"234758.2694"	"10580.587943"	"18807.924352"	"29388.512294"	"417377.77408"	"406409.47569"	"373027.963"
"W92000004"	"Wales"	"2016"	"89660.273861"	"1487.4010666"	"7.5605515846"	"607.96257241"	"21.91927034"	"14.941389361"	"0"	"2139.7848503"	"7616.3240335"	"333.09614617"	"7949.4201796"	"10181.750163"	"61.868554685"	"2877.9357015"	"21972.128295"	"362.32876686"	"14.917915788"	"2033.3302301"	"37504.259627"	"8964.444633"	"13830.75524"	"22795.19987"	"9807.732863"	"5025.477287"	"14833.21015"	"2505.7500678"	"1932.6491154"	"4438.3991844"	"42696.021468"	"24607.876062"	"22356.376332"
"S92000003"	"Scotland"	"2016"	"145030.54305"	"1161.7590083"	"10.280895205"	"535.71263953"	"4.2617319737"	"14.930011604"	"0"	"1726.9442866"	"755.86859919"	"284.55976212"	"1040.4283613"	"22426.2961"	"105.07529201"	"3169.9649422"	"37269.456714"	"655.91308543"	"134.00596697"	"3008.5258651"	"66769.237965"	"19002.15907"	"27458.97393"	"46461.13299"	"13921.90587"	"10148.81426"	"24070.72013"	"3508.0227107"	"1454.0566098"	"4962.0793193"	"64048.829389"	"43052.082144"	"37929.631531"
"E92000001"	"England"	"2016"	"1183916.8894"	"10620.839691"	"67.227907846"	"3201.1148284"	"99.410857257"	"199.97136523"	"0"	"14188.56465"	"15580.79612"	"2097.8210061"	"17678.617126"	"74423.389183"	"927.03222344"	"15871.955415"	"366516.61647"	"6530.6097028"	"391.32703666"	"9802.0784938"	"474463.00852"	"146367.29456"	"267514.97651"	"413882.27108"	"142690.89093"	"90964.042215"	"233654.93312"	"11128.40392"	"18921.090963"	"30049.494878"	"412199.25143"	"398571.00094"	"373146.63703"
"W92000004"	"Wales"	"2015"	"91627.129513"	"1231.4752722"	"7.2919241473"	"611.27259892"	"18.996700965"	"14.54998534"	"0"	"1883.5864815"	"9429.5920304"	"336.58595341"	"9766.1779838"	"10547.710863"	"66.986949388"	"2882.9611012"	"21724.100262"	"367.6233261"	"15.121940192"	"1925.4865857"	"37529.991027"	"9017.838966"	"13814.35923"	"22832.1982"	"10245.99613"	"5163.870825"	"15409.86695"	"2406.7739262"	"1798.5349443"	"4205.3088705"	"44908.824572"	"24607.584653"	"22110.720289"
