"Generation - Technology"	"2020 - 1st quarter"	"2019 - 4th quarter"	"2019 - 3rd quarter"	"2019 - 2nd quarter"	"2019 - 1st quarter"	"2018 - 4th quarter"	"2018 - 3rd quarter"	"2018 - 2nd quarter"	"2018 - 1st quarter"	"2017 - 4th quarter"	"2017 - 3rd quarter"	"2017 - 2nd quarter"	"2017 - 1st quarter"	"2016 - 4th quarter"	"2016 - 3rd quarter"	"2016 - 2nd quarter"	"2016 - 1st quarter"	"2015 - 4th quarter"	"2015 - 3rd quarter"	"2015 - 2nd quarter"	"2015 - 1st quarter"	"2014 - 4th quarter"	"2014 - 3rd quarter"	"2014 - 2nd quarter"	"2014 - 1st quarter"	"2013 - 4th quarter"	"2013 - 3rd quarter"	"2013 - 2nd quarter"	"2013 - 1st quarter"	"2012 - 4th quarter"	"2012 - 3rd quarter"	"2012 - 2nd quarter"	"2012 - 1st quarter"	"2011 - 4th quarter"	"2011 - 3rd quarter"	"2011 - 2nd quarter"	"2011 - 1st quarter"	"2010 - 4th quarter"	"2010 - 3rd quarter"	"2010 - 2nd quarter"	"2010 - 1st quarter"
"Onshore Wind 6"	12822.9984698723	9259.75040009721	6875.13661617775	6124.25029568197	9930.09514220894	9970.58909396866	5483.47057500201	5368.0264219322	9397.2027248074	9163.82935942849	5629.90897634903	6186.06193249274	7745.41343279891	5873.01718837108	4599.31264777813	3957.08529213166	6324.27127779122	7124.66589498689	3809.01765459163	4757.43128237033	7160.86558323262	5968.0524804078	2884.03788488759	3036.4056008496	6666.15442266977	6308.80962770841	2768.52551132726	3873.57649613789	3974.46208141757	3789.2386294908	2647.49856819451	2241.98322096801	3565.23339654999	4010.37517140695	1914.75911645001	2492.2384154208	2396.57120262259	2336.39964862216	1933.71229421931	1198.51370754951	1757.35057435491
"Offshore Wind 6, 7"	13236.5984278066	10300.0983560008	7227.56913486185	5972.98350448669	8644.96019162151	8935.24688874868	5054.098033837	4745.55934694954	7952.15747983956	7803.10637188507	3959.22674140593	3991.53830364426	5162.03629469827	4423.35806429889	3581.87558904446	3252.20934488544	5148.29337493566	5757.62877389614	3412.26055136786	3577.57515763026	4675.27476181681	4686.60355078966	2242.09566361766	2092.07380167129	4383.82117206819	4086.921856488	1965.3189319277	2614.9199634091	2804.6172584034	2738.7398287	1707.44310160458	1649.9461722	1507.0370557	1923.8962585	1098.4526328	1128.6063789	998.0694377	1102.698217375	825.672309175	460.439857375	670.857940075
"Shoreline wave / tidal 6"	1.915	2.9342	3.981	3.9174	3.158	1.9122	1.142	3.1056	3.1386	1.3192	2.4418	0.1016	0.331	0.0086	0	0	0	0.479626666666667	0.479626666666667	0.474413333333333	0.564966666666624	0.591457165536503	0.220660056106539	0.940669917078359	0.468660562944827	1.3693619589361	0.99919802043796	1.11957327562177	1.26774401773136	1.18203563136049	1.20691848483615	0.856761840318553	0.956966935559407	0.245574053072474	0.184847316822624	0.319522502307918	0.189991264160621	0.0911663	0.6286663	0.6161663	0.5481663
"Solar photovoltaics 6"	1914.07701153674	1315.0216307101	4588.8914621032	4861.2411181547	2152.9161247329	1558.55305994637	4513.70749778372	4907.10786434445	1756.14202153461	1315.8976214245	3956.85816989369	4578.73388836395	1605.77830474704	1330.48639671936	3739.21584661901	3868.21887927573	1457.19326519174	795.843155685384	2695.23073541483	3104.26376639076	937.526459516837	548.85561322719	1561.83941245471	1472.92149738923	470.445922282522	309.419410635491	859.568868058513	701.043694883371	140.230108295739	183.594825496719	554.099721246351	437.840952895044	178.228087011972	57.114175934262	105.157459323326	66.0511208602846	15.3406735602284	8.85808261788273	14.5169028316532	11.1601352400072	5.7419791895376
"Hydro 6"	2460.43576296089	1745.64716364203	1436.37529459181	929.203653668777	1823.60100155092	1993.77327068915	891.752088046033	993.299729188768	1565.01130089981	1955.72818387054	1263.84619695893	863.855351177462	1798.43644423329	1208.2729119234	1147.98937166379	932.577984829906	2081.57194845984	1832.95072206319	1028.43748559994	1425.33456748297	2010.54576656551	1752.4564952294	778.604393199006	1113.27102871108	2243.46982575271	1736.29615769307	743.052363793745	969.110555040941	1253.01510629352	1635.20367119564	1053.62019625426	795.593797353243	1825.23419079318	2015.19377909319	1231.31213562535	1141.56959977512	1303.67244181774	1236.95199440066	855.882641297573	653.634227156114	844.906393165223
"Landfill gas 6"	884.414516335417	911.126389770393	891.062527434394	892.014386971834	930.119768544955	975.373408845749	958.481680654	976.518234169689	1005.40923290469	1066.23967033622	1062.99497356783	1058.7468835466	1095.80303782892	1155.96112279638	1158.17814930561	1170.79752724695	1217.93371364641	1220.13399349333	1200.67434441363	1211.61662266042	1239.76194890729	1263.98486762648	1238.55281030141	1261.98697425817	1268.69327955754	1313.88234331795	1272.47993114856	1292.41003638659	1295.8813418583	1305.19207339207	1305.30860200433	1289.4597668611	1308.53809319257	1355.47751120951	1318.34046835639	1316.81683229291	1327.38019962181	1323.85713284382	1301.25225506835	1291.11946087227	1300.62617304356
"Sewage sludge digestion 6"	266.889618196594	261.23776772585	254.394920931067	269.836559524732	263.143730184313	257.951761122094	227.985356339906	263.104269196471	242.990398612968	242.829934777702	231.719947813353	246.888996368404	245.910234626246	234.417031352315	228.830995878865	250.786338155361	236.250002250894	220.21404519213	216.62133277568	232.753944323754	224.793913424865	215.048933860032	208.333657735032	224.78458521237	191.976391668693	197.406536641912	184.224322286483	204.340449811419	180.009113247933	186.77166307796	174.717098024656	186.032900151087	191.016605712078	197.348025499983	190.424606959183	197.746937805602	189.475717826847	179.372133150151	180.140271379167	188.977578675215	174.968315042116
"Energy from waste 8"	1123.57514589579	1025.93043636607	965.73808686694	920.776664446486	897.060453862698	815.908516391615	869.83710969602	887.714302518158	916.999958540852	850.994683113715	867.739011395244	822.209330913884	844.656904786977	709.446704840281	677.104061178017	625.367919878075	727.833410533198	685.623980544049	684.906749248882	603.388004247306	608.506636156251	480.264063330157	485.209564004067	465.585394958097	468.814334497717	413.150528403726	418.869578514424	401.332596960645	414.820187649105	453.135797709227	465.349343300108	431.174212932423	423.241507842318	380.782731448279	377.342392945473	368.405532338382	377.503409999565	389.91401139463	378.008237923334	382.999621647245	377.835750668755
"Co-firing with fossil fuels"	0	0.416267845241988	0.416267845241988	0.416267845241988	0.416267845241988	0.267083971206671	0.267083971206671	0.267083971206671	0.267083971206671	0	1.79145146053765	0.680001809542251	51.4124532700799	46.70164	4.76914	14.98514	51.00214	54.9056225582053	56.9885080077525	35.6643339110498	35.7479735500472	25.479141983445	28.2222207618315	37.0951960551469	33.0433199888758	72.0118515463813	70.3327135438901	68.6059884375569	126.31007980549	347.004794072249	421.444571652742	401.66012106707	658.401358371231	873.57761163469	792.03521470863	598.945660264843	828.470513391837	716.34	677.8295	459.7085	578.564
"Animal Biomass (non-AD) 2, 6"	186.745301049469	178.314262148898	145.404567512134	169.019084819591	168.099836447109	170.94210496034	129.816781447456	163.215855295029	169.951431083495	168.457154914803	140.720491983798	165.749348728418	174.250373810835	173.268376182271	140.497596930104	165.108729665894	171.320858457838	165.116362906968	141.840217251748	171.091689441767	169.755416438384	162.086645121033	131.991776737827	160.873030786895	158.951468743901	150.911487398156	144.210508726463	167.249000731605	165.874807305019	180.01104229302	143.722570840631	141.401955814002	177.757973414037	147.695080244591	154.118196666896	153.903885214882	158.885069538758	156.022705904334	143.332996283947	160.601557264336	167.255291774008
