"LAU1"	"GovernmentRegion"	"Year"	"All Fuels Total"	"Coal - Industrial & Commercial"	"Coal - Domestic"	"Coal - Rail"	"Coal - Total"	"Manufactured Fuels - Industrial"	"Manufactured Fuels - Domestic"	"Manufactured Fuels - Total"	"Petroleum Products - Industrial & Commercial"	"Petroleum Products - Domestic"	"Petroleum Products - Road transport"	"Petroleum Products - Rail"	"Petroleum Products - Public Sector"	"Petroleum Products - Agriculture"	"Petroleum Products - Total"	"Gas - Industrial & Commercial"	"Gas - Domestic"	"Gas - Total"	"Electricity - Industrial & Commercial"	"Electricity - Domestic"	"Electricity - Total"	"Bioenergy & Wastes - Total"	"Consuming Sector - Industry & Commercial"	"Consuming Sector - Domestic"	"Consuming Sector - Transport"
"K02000001"	"UNITED KINGDOM"	"2017"	"1473606.6805"	"11653.180636999999"	"4556.8112970000002"	"125.22144953"	"16335.213383"	"23491.513142"	"3271.6854543999998"	"26763.198595999998"	"114810.88515"	"28899.927132000001"	"437553.81284000003"	"7646.6819143000002"	"548.52979177999998"	"15948.566806999999"	"605408.40364000003"	"184325.73748000001"	"319949.40104000003"	"504275.13854000001"	"174321.47497000001"	"105354.72607"	"279676.22103999997"	"41148.505293000002"	"525099.88798"	"462032.55099"	"445325.71620000002"
"K02000001"	"UNITED KINGDOM"	"2016"	"1458217.7042"	"13624.961691"	"4699.2213738999999"	"125.66005358"	"18449.843119000001"	"23988.906772999999"	"2988.7649227000002"	"26977.671695000001"	"117461.58117"	"29878.525027"	"436259.69494000002"	"7722.7409152999999"	"601.75194899999997"	"15887.922903999999"	"607812.2169"	"176953.01261999999"	"309627.57723"	"486580.58983999997"	"170800.15539999999"	"106220.0307"	"277020.18608999997"	"41377.19659"	"519318.2925"	"453414.11926"	"444108.09590999997"
"K02000001"	"UNITED KINGDOM"	"2015"	"1475433.827"	"16607.09418"	"4859.11331"	"108.9053797"	"21575.11287"	"29080.509"	"3036.575191"	"32117.08419"	"115046.129"	"29474.10833"	"434518.5222"	"7809.086748"	"640.31505809999999"	"15849.64517"	"603337.8065"	"181676.6238"	"308851.165"	"490527.7888"	"179007.4486"	"108443.0946"	"287450.5432"	"40425.49142"	"537907.7648"	"454664.0565"	"442436.5143"
"K02000001"	"UNITED KINGDOM"	"2014"	"1481050.4963"	"21177.018119"	"4826.3697924999997"	"108.90537974"	"26112.293291000002"	"30756.515513999999"	"3097.4587142999999"	"33853.974227999999"	"109464.57713000001"	"29383.749902"	"432185.22771000001"	"7849.0801883000004"	"562.47279466999998"	"15208.671731"	"594653.77945999999"	"187823.81933"	"307831.72035000002"	"495655.51968999999"	"183012.18901"	"109179.83893"	"292191.99793999997"	"38582.931643000004"	"548005.26363"	"454319.13769"	"440143.21328000003"
"K02000001"	"UNITED KINGDOM"	"2013"	"1484353.0264"	"22134.596545"	"5652.3241515"	"114.85328895000001"	"27901.773986"	"32839.845539000002"	"3294.0467914999999"	"36133.892330000002"	"110661.42509999999"	"33259.471267000001"	"426043.75396"	"7735.1433275999998"	"487.78587205000002"	"15064.278732999999"	"593251.85826000001"	"182746.25135000001"	"315655.73164000001"	"498401.98297999997"	"181555.60839000001"	"108419.90115999999"	"289975.50955999998"	"38688.009239999999"	"545489.79153"	"466281.47501"	"433893.75056999997"
"K02000001"	"UNITED KINGDOM"	"2012"	"1499162.0292"	"18480.553179999999"	"5888.8221378999997"	"134.95889753"	"24504.334214999999"	"30602.450391999999"	"3008.7103877999998"	"33611.160778999998"	"124786.24251"	"31695.762210000001"	"427957.71353000001"	"7799.2840102999999"	"656.55468101999998"	"15241.775712000001"	"608137.33265"	"186860.32571"	"323186.38819000003"	"510046.69390000001"	"180826.82260000001"	"110065.6577"	"290892.47032000002"	"31970.037349999999"	"557454.72479"	"473845.34063"	"435891.95643000002"
"K02000001"	"UNITED KINGDOM"	"2011"	"1508109.0003"	"18852.062236999998"	"6165.0850678999996"	"128.6930443"	"25145.840348999998"	"30862.546106999998"	"2902.8262890999999"	"33765.372395999999"	"132347.94828000001"	"31262.932152000001"	"434405.49437999999"	"7552.7670802000002"	"1059.7431188999999"	"14818.550278000001"	"621447.43529000005"	"188736.05652000001"	"324429.61167999997"	"513165.66820000001"	"175039.61623000001"	"111321.01861"	"286360.61482999998"	"28224.069243999998"	"561716.52277"	"476081.4738"	"442086.95451000001"
"K02000001"	"UNITED KINGDOM"	"2010"	"1569219.1988"	"19486.841081999999"	"6242.4227628999997"	"158.23605178"	"25887.499896000001"	"30103.116016"	"3102.1120971"	"33205.228112999997"	"138620.68468999999"	"40034.038772"	"438976.84311999998"	"7627.9896980000003"	"715.01706491000004"	"14575.65432"	"640550.22767000005"	"196320.89546999999"	"344320.97226000001"	"540641.87772999995"	"185105.72751"	"112855.47679"	"297961.20432000002"	"30973.161026000002"	"584927.93616"	"506555.02268"	"446763.06887000002"
"K02000001"	"UNITED KINGDOM"	"2009"	"1557785.3604"	"17061.390590999999"	"5980.7109796000004"	"156.72707847000001"	"23198.828648999999"	"30435.388361000001"	"2796.9371080999999"	"33232.325469000003"	"136251.67814999999"	"35241.383435000003"	"446970.56883"	"7580.8926256000004"	"811.61272109000004"	"14441.843924999999"	"641297.97968999995"	"191650.10081"	"347413.4277"	"539063.52850999997"	"182988.08681000001"	"112290.50616999999"	"295278.59301999997"	"25714.105066"	"573640.10137"	"503722.96539"	"454708.18852999998"
"K02000001"	"UNITED KINGDOM"	"2008"	"1638405.1335"	"19484.583267999998"	"5968.6178288000001"	"157.11148777"	"25610.312585"	"34428.650426"	"4155.6099507999998"	"38584.260375999998"	"145439.77048000001"	"35418.451184999998"	"456692.5294"	"7609.6117394000003"	"1170.7626866000001"	"14318.012231999999"	"660649.13772"	"208983.73821000001"	"377474.63088000001"	"586458.36909000005"	"192095.54772"	"112531.12405"	"304626.67177000002"	"22476.381915999998"	"615921.06502"	"535548.4339"	"464459.25261999998"
