"Country"	"Year"	"Total"	"Petrol - Industrial"	"Petrol - Domestic"	"Petrol - Rail"	"Petrol - Public Administration"	"Petrol - Commercial"	"Petrol - Agriculture"
"UNITED KINGDOM"	2005	329162.009345628	173808.998747481	36053.3450218483	7354.1806174642	2312.56344539631	2139.88031643288	16152.6099881982
"UNITED KINGDOM"	2006	315382.452646252	160050.056127276	37954.880902385	7309.91288184303	1637.54827547267	1643.3491022324	15418.6002533969
"UNITED KINGDOM"	2007	307324.738004896	156242.793580289	33636.202650278	7645.07999927024	1483.12442741999	1523.56962067253	14641.8102300998
"UNITED KINGDOM"	2008	294101.599128809	147630.240194124	35424.947741701	7609.6117388479	1170.52010991612	1427.14107151249	14318.0122292906
"UNITED KINGDOM"	2009	280327.36071481	139003.608457098	35246.0505158726	7580.89262524786	811.612721140137	1027.2826083681	14441.8439299313
"UNITED KINGDOM"	2010	291935.021751161	137617.527968178	40038.0032350038	7627.98969818401	715.017064909118	1197.16360732483	14575.6543241108
"UNITED KINGDOM"	2011	275214.367115073	131792.345044715	31265.7111999055	7552.76708013989	1059.74311881835	1164.73792418741	14818.5502761464
"UNITED KINGDOM"	2012	270621.456600462	123769.177624048	31697.1212027255	7799.28401079147	656.55468103685	953.603271758479	15241.7757138003
"UNITED KINGDOM"	2013	270267.434433938	109554.940391442	33250.3229896596	7735.1433278253	487.785872028884	1036.17932105039	15064.2787335431
"UNITED KINGDOM"	2014	261132.878494482	108210.784976175	29363.2985470054	7849.08018794328	562.472794657131	1184.68004593197	15208.671729374
"UNITED KINGDOM"	2015	262914.765325872	113646.214691063	29456.0787756299	7803.73370481188	640.315058078174	1344.1958870216	15849.6451726005
"UNITED KINGDOM"	2016	257792.629375024	112861.66938095	29347.8580144523	7694.810009581	613.990080778562	1182.19347936433	16735.987804132
"UNITED KINGDOM"	2017	254952.489406456	113131.106541566	28821.0106743923	7587.31214243912	594.063390473153	1172.04934758708	16905.5591704657
"UNITED KINGDOM"	2018	253327.74146912	113301.047530253	28921.2807490844	6832.84042283754	671.603425296091	1293.02581996581	16878.6791889128
