"Country"	"Year"	"Buses"	"Diesel Cars"	"Petrol Cars"	"Motor-cycles"	"HGV"	"Diesel LGV"	"Petrol LGV"	"Personal"	"Freight"	"Total"
"TOTAL UNITED KINGDOM"	"2005"	"1506140.6403492328"	"6806028.3243745398"	"18343634.137748361"	"226950.57491549655"	"6757664.663082106"	"4756608.2437085547"	"484944.54516905837"	"26882753.677387625"	"11999217.45195972"	"38881971.129347354"
"TOTAL UNITED KINGDOM"	"2006"	"1547050.4543337643"	"7540464.082113456"	"17978805.870807964"	"216411.72326642048"	"6865525.2361427834"	"4962572.8538130708"	"494150.76581086201"	"27282732.130521603"	"12322248.855766715"	"39604980.986288324"
"TOTAL UNITED KINGDOM"	"2007"	"1586302.7097249199"	"8197002.4986628667"	"17427656.909886383"	"229949.7022034968"	"6977912.8562422786"	"5242606.5449168216"	"455895.65328638162"	"27440911.820477664"	"12676415.054445481"	"40117326.874923147"
"TOTAL UNITED KINGDOM"	"2008"	"1476432.755853283"	"8986319.613535542"	"16341800.818461852"	"210273.51593775771"	"6829054.1763051087"	"5242987.7227809243"	"409449.97358256346"	"27014826.703788441"	"12481491.8726686"	"39496318.576457031"
"TOTAL UNITED KINGDOM"	"2009"	"1461943.2570254127"	"9097266.4444901384"	"16088147.162898783"	"212921.44750295594"	"6234349.1303821225"	"5180817.0304746917"	"373831.73970299499"	"26860278.31191729"	"11788997.900559811"	"38649276.212477095"
"TOTAL UNITED KINGDOM"	"2010"	"1465408.1656067637"	"9209625.440574225"	"15237864.625185113"	"190456.10981028999"	"6289229.713245634"	"5225459.1692552092"	"341651.4810387977"	"26103354.341176387"	"11856340.363539642"	"37959694.704716027"
"TOTAL UNITED KINGDOM"	"2011"	"1349726.6099344604"	"9712670.7977281697"	"14558257.31802606"	"190059.91422500255"	"6136400.1998141268"	"5297964.7346644122"	"316151.12706471502"	"25810714.639913697"	"11750516.061543254"	"37561230.701456942"
"TOTAL UNITED KINGDOM"	"2012"	"1266622.0384143945"	"10108354.46474986"	"13844559.515239026"	"183814.67760723692"	"6037347.7251862446"	"5285968.3199725924"	"288584.03286783712"	"25403350.696010519"	"11611900.078026677"	"37015250.774037197"
"TOTAL UNITED KINGDOM"	"2013"	"1292610.2736209834"	"10473784.154443532"	"13121350.621507222"	"173957.11691411454"	"6107820.8251291886"	"5410346.1623012312"	"268786.00080713397"	"25061702.16648585"	"11786952.988237556"	"36848655.154723406"
"TOTAL UNITED KINGDOM"	"2014"	"1289113.0287969131"	"10858818.532167099"	"12835471.917767065"	"178838.49352378267"	"6286077.8810738577"	"5672199.9036164461"	"254587.93301348426"	"25162241.972254861"	"12212865.717703788"	"37375107.689958654"
"TOTAL UNITED KINGDOM"	"2015"	"1226289.720213054"	"11131829.75118022"	"12405340.39115141"	"179264.14077137734"	"6514906.4633346172"	"5875494.4483165359"	"236385.19336313746"	"24942724.00331606"	"12626786.105014293"	"37569510.108330347"
"TOTAL UNITED KINGDOM"	"2016"	"1139296.8993221864"	"11373161.260861035"	"12122159.81452495"	"179229.10608572789"	"6614262.0983620435"	"6138625.2092573904"	"220322.05773151686"	"24813847.080793899"	"12973209.365350954"	"37787056.446144849"
"TOTAL UNITED KINGDOM"	"2017"	"1105232.9992610612"	"11587369.643980049"	"11803169.500778975"	"178068.26888521714"	"6748788.7660978679"	"6258758.0262537505"	"205029.17794225735"	"24673840.412905294"	"13212575.970293876"	"37886416.38319917"
"TOTAL UNITED KINGDOM"	"2018"	"1045728.3673149436"	"11454002.720476808"	"11682643.224489922"	"175577.07327179229"	"6772423.8891082723"	"6278936.4034141889"	"195112.16691769083"	"24357951.385553468"	"13246472.459440153"	"37604423.844993606"
