"Capacity - Technology"	"2020 - 2nd quarter p"	"2020 - 1st quarter"	"2019 - 4th quarter"	"2019 - 3rd quarter"	"2019 - 2nd quarter"	"2019 - 1st quarter"	"2018 - 4th quarter"	"2018 - 3rd quarter"	"2018 - 2nd quarter"	"2018 - 1st quarter"	"2017 - 4th quarter"	"2017 - 3rd quarter"	"2017 - 2nd quarter"	"2017 - 1st quarter"	"2016 - 4th quarter"	"2016 - 3rd quarter"	"2016 - 2nd quarter"	"2016 - 1st quarter"	"2015 - 4th quarter"	"2015 - 3rd quarter"	"2015 - 2nd quarter"	"2015 - 1st quarter"	"2014 - 4th quarter"	"2014 - 3rd quarter"	"2014 - 2nd quarter"	"2014 - 1st quarter"	"2013 - 4th quarter"	"2013 - 3rd quarter"	"2013 - 2nd quarter"	"2013 - 1st quarter"	"2012 - 4th quarter"	"2012 - 3rd quarter"	"2012 - 2nd quarter"	"2012 - 1st quarter"	"2011 - 4th quarter"	"2011 - 3rd quarter"	"2011 - 2nd quarter"	"2011 - 1st quarter"	"2010 - 4th quarter"
"Onshore Wind"	1278.54107188911	1278.54107188911	1276.24526587646	1244.64104587651	1198.64104587651	1181.05559204409	1137.29568444659	922.746505476413	922.743125742887	920.874836547102	1017.74952710665	1017.57691234021	1017.26371252718	983.817800338217	829.22006972603	693.951725206343	634.709670254441	633.197717044794	644.086075886113	639.522689600119	633.268155803429	608.418080572894	607.383885060559	597.00246914348	584.435610576891	581.173010518494	576.412696840783	570.894013835948	545.708113812817	545.107372414267	493.819430365343	453.772648334287	452.848404694026	452.120202921637	428.898395575502	428.603967310848	428.355291609009	415.418954237585	387.750710572261
"Offshore Wind"	726	726	726	726	726	726	726	726	726	726	726	726	726	726	726	726	726	726	726	726	726	693.6	578.4	524.4	290.4	222	193.2	153.6	150	150	150	150	150	150	150	150	150	150	150
"Shoreline wave / tidal"	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Solar photovoltaics"	1110.28114476582	1110.09438759094	1091.02436391428	1088.92371004045	1087.11597351322	1085.87978234883	1084.42068078192	1078.8529329729	1077.05634352236	1047.83261949973	1044.5717061599	1032.85158674823	1005.38303933653	955.5157767085	951.271024544933	908.90465237671	897.538070403257	860.449752518601	682.799167096594	596.99670486883	575.676219068273	562.010489777578	382.758126056709	373.078927232852	365.554125570236	350.467093728207	155.014873456588	147.769925183695	141.536255020031	132.89576508729	112.861295431762	107.4613722771	89.9800972634469	83.4900246895214	62.3346333237356	27.5538522822736	10.4839390859252	6.09927253850262	3.50152177016387
"Small scale Hydro"	37.69798	37.69798	37.69798	37.69798	37.69798	37.69798	37.52308	37.52308	37.52308	37.52308	36.46704	36.43304	36.23644	35.94104	29.32535	29.32535	29.32535	29.32535	29.37735	29.37735	28.71945	28.49605	27.70935	26.94745	26.88145	26.77855	26.47785	25.90215	25.88635	25.25755	24.44695	24.28695	24.25795	23.95385	23.85735	23.82635	23.56335	23.52685	23.52685
"Large scale Hydro"	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68	131.68
"Landfill gas"	46.763	46.763	46.763	46.763	46.763	46.763	46.763	46.763	46.763	46.763	46.748	46.748	46.748	46.748	47.3	47.3	47.3	47.3	47.24	47.24	47.24	47.24	47.24	47.24	47.24	47.24	45.499	45.499	45.499	45.499	45.174	45.174	45.174	45.174	45.174	45.174	45.174	45.174	45.844
"Sewage sludge digestion"	12.533	12.533	12.533	12.533	12.533	12.533	12.533	12.533	12.533	12.533	12.533	12.533	12.533	12.533	12.533	12.533	12.533	12.533	13.113	13.113	13.113	13.113	13.113	13.113	13.113	13.113	13.113	13.113	13.113	13.113	13.113	13.113	13.113	13.113	11.913	11.913	11.913	11.913	11.913
"Energy from waste"	50.2	50.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Animal Biomass (non-AD)2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
