"Country"	"Year"	"Buses"	"Diesel Cars"	"Petrol Cars"	"Motor-cycles"	"HGV"	"Diesel LGV"	"Petrol LGV"	"Personal"	"Freight"	"Total"
"Wales"	"2005"	"70599.205462176105"	"391134.74425300106"	"885829.11327364761"	"9883.3426231634367"	"266206.87314781355"	"250789.98451390761"	"25503.024113381016"	"1357446.4056119882"	"542499.881775102"	"1899946.2873870903"
"Wales"	"2006"	"73525.640030806477"	"435094.4740557042"	"880142.71237911331"	"9445.4465538128588"	"267538.76277470187"	"262486.1604760827"	"26053.318123560934"	"1398208.2730194367"	"556078.2413743455"	"1954286.5143937825"
"Wales"	"2007"	"76518.310647700506"	"471195.87088825542"	"859934.45526621363"	"10034.285285995364"	"279547.22766006616"	"276228.76979370741"	"23945.551882573178"	"1417682.9220881651"	"579721.54933634668"	"1997404.4714245119"
"Wales"	"2008"	"72148.768219490797"	"515630.77076241525"	"803809.42227475997"	"9549.3181619862044"	"277493.25890807033"	"280512.75396673585"	"21786.734971627346"	"1401138.2794186524"	"579792.74784643378"	"1980931.0272650861"
"Wales"	"2009"	"71809.985233700849"	"515540.77881830133"	"785689.23244378099"	"9609.7079338492567"	"250299.19928527088"	"279149.74241724162"	"20030.90243195845"	"1382649.7044296325"	"549479.84413447091"	"1932129.548564103"
"Wales"	"2010"	"71538.590139783497"	"516907.15324259782"	"741964.98665516742"	"8444.365080625601"	"248489.48251249676"	"283832.95553482271"	"18439.728966500872"	"1338855.0951181743"	"550762.16701382038"	"1889617.2621319948"
"Wales"	"2011"	"64759.629319560008"	"540998.40509262879"	"706089.89011840639"	"8611.7322544962426"	"238305.94918556101"	"286962.03645243449"	"17014.964194406817"	"1320459.6567850916"	"542282.94983240217"	"1862742.6066174936"
"Wales"	"2012"	"60860.99139268876"	"558554.0911785498"	"669258.47546483949"	"8497.971617967225"	"233603.70795868148"	"286172.29157055588"	"15488.333051325635"	"1297171.5296540454"	"535264.3325805628"	"1832435.8622346083"
"Wales"	"2013"	"62957.366572625666"	"579232.63573490724"	"635073.85932115361"	"8102.4931758704142"	"235841.97562591237"	"293492.88223447208"	"14437.848939237041"	"1285366.3548045573"	"543772.70679962158"	"1829139.0616041785"
"Wales"	"2014"	"62681.016399994747"	"603349.55802724476"	"621063.12487286015"	"8475.9594148870201"	"237193.97982808849"	"306408.355874139"	"13616.936342919807"	"1295569.6587149866"	"557219.27204514714"	"1852788.9307601342"
"Wales"	"2015"	"58620.551223770082"	"624078.61781918828"	"602387.32713068067"	"8542.2657624135081"	"240044.17201329806"	"321490.10920244391"	"12773.350527657452"	"1293628.761936052"	"574307.63174339954"	"1867936.3936794512"
"Wales"	"2016"	"55345.17424862714"	"639679.94832180243"	"589799.97334551241"	"8736.2302543936385"	"247495.5720564223"	"336288.91891407972"	"11917.148943784889"	"1293561.3261703358"	"595701.6399142869"	"1889262.966084623"
"Wales"	"2017"	"53256.326271495447"	"649966.11505532637"	"557938.33473979193"	"9267.1820840583696"	"252066.95348974812"	"347008.03126741509"	"10727.767166578586"	"1270427.958150672"	"609802.75192374189"	"1880230.710074414"
"Wales"	"2018"	"50964.914811345283"	"653969.41075539635"	"546316.8637783447"	"10816.737585405144"	"253173.97569639041"	"354712.5718806404"	"10889.344160397419"	"1262067.9269304916"	"618775.89173742826"	"1880843.8186679198"
