Year,Total Energy Consumption (GWh),Change in Consumption from Baseline (GWh),% Progress
2005-2007 (baseline),168016.25660455035,0,0
2008,164072.5661471295,3943.69045742086,-0.023472076673526243
2009,154385.00089770637,13631.255706843978,-0.08113057618541664
2010,156454.55779254774,11561.698812002607,-0.0688129770633723
2011,152266.68971226743,15749.56689228292,-0.093738351339131
2012,150942.36737378285,17073.889230767498,-0.10162045968535816
2013,147609.2093154305,20407.04728911986,-0.121458766559421
2014,146122.3494434191,21893.90716113124,-0.13030826661411454
2015,145429.20954176263,22587.047062787722,-0.1344337001624163
2016,145916.5809977774,22099.675606772944,-0.1315329602824541
2017,150169.31987082807,17846.93673372228,-0.1062214876964408
2018,148160.18072927278,19856.075875277573,-0.11817949213100021
2019,144885.05166492698,23131.204939623363,-0.13767242174705674
2020,134269.03565446072,33747.22095008963,-0.20085687916210637
2021,137412.28576578916,30603.97083876119,-0.18214886736104285
