Year,LA Code,Electricity - Total,All fuels - Total,Renwable Electricity Generation,Gross Electricity Consumption,Renewable Electricity Target,Renewable Heat Generation,Heat Consumption,Heat Target,Renewable Heat Capacity,Consuming Sector - Transport,Biofuel Proportion,Biofuels,Adjusted Consumption,Renewable Generation,Renewable Energy Target,ElecProportion,HeatProportion,TransportProportion
2012,S92000003,26177.261330000052,151151.0249468972,14667.21,37453.967,0.3916063150266566,1680.4581205392512,83257.70532973084,0.020183814986060748,0.5117743230694398,37403.66335486201,0.03,1122.1099006458603,162427.73061689714,17469.77802118511,0.10755415934726943,0.09029991334788857,0.010345881914109779,0.006908364085271094
2013,S92000003,25872.89368,146731.54994397817,16989.64,38208.865099999995,0.4446517831800244,1867.235467191779,79581.18943434906,0.02346327669219075,0.6680670139524151,37274.58724306552,0.0346,1289.700718610067,159067.52136397816,20146.576185801845,0.12665424099808828,0.10680772450791083,0.011738634330758021,0.008107882159419428
2014,S92000003,25322.440000000017,144782.08164375997,19045.059999999998,38228.1095,0.4981951827882045,2437.1666580942674,77652.96690555791,0.03138536433589674,1.0648897755798614,37964.51864005688,0.0329,1249.0326632578713,157687.75114375996,22731.25932135214,0.1441536147004127,0.12077704109456856,0.015455649791545088,0.007920923814299055
2015,S92000003,26269.552734375,144816.09589057718,21742.83,36545.5618,0.5949513136229856,3570.815405525442,75887.64940470704,0.04705397299213167,1.2717059912521915,38115.467516666664,0.0303,1154.898665755,155092.10495620218,26468.544071280445,0.1706633879187798,0.1401930163120821,0.023023837393488445,0.0074465342132092535
2016,S92000003,25058.08984374995,144822.491317812,19475.58,36291.903399999996,0.5366370505659398,3306.9694722338336,76533.61076929685,0.043209374796158155,1.4732831278601868,38705.88247658194,0.0295,1141.8235330591672,156056.30487406207,23924.373005293,0.15330603287448108,0.12479841821012522,0.021190873863779925,0.007316740800575936
2017,S92000003,25184.888671874956,148946.44256861496,25301.379999999997,35973.0444,0.7033427507180904,4055.290703342842,79558.36893417683,0.05097252190650131,1.7778105850621913,39464.42794521058,0.0313,1235.2365946850912,159734.59829674,30591.90729802793,0.19151710164379757,0.15839636665938495,0.025387678978659976,0.007733056005752643
2018,S92000003,24608.566406249993,146506.5472631821,26596.98,34985.500400000004,0.760228657469767,4554.717018588286,78094.02846767692,0.05832349935019015,1.9242021898608752,39108.65399871556,0.0401,1568.257025348494,156883.48125693208,32719.95404393678,0.20856213657287778,0.16953333637747015,0.029032483102085872,0.00999631709332176
2019,S92000003,24068.50976562495,143423.05146111335,30203.54,33694.83735973991,0.8963847985830771,4692.685996248884,75930.39244287868,0.061802472570902656,1.9918309563649395,39086.12136172978,0.05142598350936632,2010.0422325934067,153049.37905522832,36906.26822884229,0.2411396142647828,0.1973450672354637,0.03066125472195163,0.013133292307367527
2020,S92000003,22708.25390624997,134269.03565446072,32001.7,32636.732062082705,0.9805424127368291,4770.274645379226,76821.2363246687,0.06209578071900157,2.091707506364934,30587.935365495392,0.059147876441853924,1809.2114216097355,144197.51381029346,38581.18606698896,0.2675579144710251,0.22192962384983628,0.03308153184704009,0.012546758774148754
2021,S92000003,22927.093750000036,137412.28576578916,27466.760000000002,32318.454070306707,0.8498785226622487,5420.154647834453,74246.55141960087,0.0730021064170739,2.2260758322132155,36391.15990883616,0.053927,1962.4660804038078,146803.64608609583,34849.38072823826,0.2373877056691097,0.1870986227677996,0.0369211173723553,0.01336796552895479
