Year,Renewable Heat (GWh),Maximum non-industrial renewable heat (GWh),Minimum non-industrial renewable heat (GWh),Non-electrical heat demand (GWh),"Non-electrical, non-industrial, heat demand (GWh)",Renewable heat target (including industrial),Maximum non-industrial renewable heat target,Minimum non-industrial renewable heat target,Capacity
2012,1680.4581205392512,220.33310200458655,121.14755616283888,82668.67644947814,47214.7577319111,0.020327628222840132,0.004666615113343465,0.002565883253086327,0.5117743230694398
2013,1867.235467191779,350.97420006537124,176.23168843903053,79854.46283563394,46350.54528469654,0.02338298200108299,0.0075721698182750746,0.003802149194935503,0.6680670139524151
2014,2437.1666580942674,543.6614768438482,242.7511939699666,78222.07377757864,44996.37210720781,0.031157019245286875,0.012082340228419457,0.005394905913560999,1.0648897755798614
2015,3570.815405525442,1054.3672712265823,479.1427019004608,75903.6261882538,44792.224828638406,0.047044068707194804,0.02353906900718316,0.010697006092765358,1.2717059912521915
2016,3306.9694722338336,1591.5702894208166,773.0701352243605,76803.31094454712,44786.456316648226,0.04305764206729973,0.03553686583658531,0.017261248127304757,1.4732831278601868
2017,4055.290703342842,2175.822579376714,931.6485851790621,79631.2969973435,45660.473437971326,0.05092584016907481,0.04765221241808887,0.020403831038779848,1.7778105850621913
2018,4554.717018588286,2497.3365954814853,1002.0431617484071,78155.62760625033,45776.65904324894,0.05827753110159955,0.05455480254952744,0.02188982732011297,1.9242021898608752
2019,4692.685996248884,2754.774300703586,1175.7542750458865,75889.62401993283,45914.41823890166,0.06183567328013543,0.0599980225464245,0.025607517641369388,1.9918309563649395
2020,4770.274645379226,2866.5828040849237,1226.4496068592643,77498.02272697522,46775.32483100957,0.061553501334928984,0.0612840811782996,0.02622001260900262,2.091707506364934
2021,5420.154647834453,3227.2586783807724,1444.330747818333,75949.33167872745,45391.2400766827,0.07136540280251837,0.07109871140177557,0.031819592180745024,2.2260758322132155
2022,5631.658405336615,3392.616766672964,1558.5307859005306,NA,NA,NA,NA,NA,2.2915549722626847
