GeographyCode,DateCode,Measurement,Units,Energy Type,Energy Consuming Sector,Value
S12000005,2005,Count,GWh,All,All,1567.8283465
S12000005,2005,Count,GWh,Bioenergy & wastes,Domestic,5.1024192934
S12000005,2005,Count,GWh,Bioenergy & wastes,All,5.1024192934
S12000005,2005,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,0
S12000005,2005,Count,GWh,Coal,Agriculture,0.0132379638
S12000005,2005,Count,GWh,Coal,Domestic,3.3036295114
S12000005,2005,Count,GWh,Coal,Industrial & Commercial,0.1513383523
S12000005,2005,Count,GWh,Coal,Public Sector,0.7323851428
S12000005,2005,Count,GWh,Coal,Rail,0
S12000005,2005,Count,GWh,Coal,All,4.2005909703
S12000005,2005,Count,GWh,Electricity,Domestic,103.70471
S12000005,2005,Count,GWh,Electricity,Industrial & Commercial,227.82007
S12000005,2005,Count,GWh,Electricity,All,331.52478
S12000005,2005,Count,GWh,Gas,Domestic,397.12961
S12000005,2005,Count,GWh,Gas,Industrial & Commercial,479.3188200000001
S12000005,2005,Count,GWh,Gas,All,876.44843
S12000005,2005,Count,GWh,Manufactured fuels,Domestic,2.3594925159
S12000005,2005,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2005,Count,GWh,Manufactured fuels,All,2.3594925159
S12000005,2005,Count,GWh,Petroleum products,Agriculture,10.004914723
S12000005,2005,Count,GWh,Petroleum products,Domestic,11.925437611
S12000005,2005,Count,GWh,Petroleum products,Industrial & Commercial,51.856568502
S12000005,2005,Count,GWh,Petroleum products,Public Sector,0.4102668813
S12000005,2005,Count,GWh,Petroleum products,Rail,48.922489242
S12000005,2005,Count,GWh,Petroleum products,Road transport,225.07295677
S12000005,2005,Count,GWh,Petroleum products,All,348.19263373
S12000005,2006,Count,GWh,All,All,1555.5428539
S12000005,2006,Count,GWh,Bioenergy & wastes,Domestic,5.3292688632
S12000005,2006,Count,GWh,Bioenergy & wastes,All,5.3292688632
S12000005,2006,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,0
S12000005,2006,Count,GWh,Coal,Agriculture,0.0073685587
S12000005,2006,Count,GWh,Coal,Domestic,2.9795719125
S12000005,2006,Count,GWh,Coal,Industrial & Commercial,0.2567233996
S12000005,2006,Count,GWh,Coal,Public Sector,0.6479400036
S12000005,2006,Count,GWh,Coal,Rail,0
S12000005,2006,Count,GWh,Coal,All,3.8916038743
S12000005,2006,Count,GWh,Electricity,Domestic,102.5766
S12000005,2006,Count,GWh,Electricity,Industrial & Commercial,232.16969
S12000005,2006,Count,GWh,Electricity,All,334.74629
S12000005,2006,Count,GWh,Gas,Domestic,382.78982
S12000005,2006,Count,GWh,Gas,Industrial & Commercial,469.06116
S12000005,2006,Count,GWh,Gas,All,851.83935
S12000005,2006,Count,GWh,Manufactured fuels,Domestic,2.2497661874
S12000005,2006,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2006,Count,GWh,Manufactured fuels,All,2.2497661874
S12000005,2006,Count,GWh,Petroleum products,Agriculture,9.5324385185
S12000005,2006,Count,GWh,Petroleum products,Domestic,12.665251905
S12000005,2006,Count,GWh,Petroleum products,Industrial & Commercial,51.7140689156
S12000005,2006,Count,GWh,Petroleum products,Public Sector,0.252628558
S12000005,2006,Count,GWh,Petroleum products,Rail,49.545558723
S12000005,2006,Count,GWh,Petroleum products,Road transport,233.77662838
S12000005,2006,Count,GWh,Petroleum products,All,357.486575
S12000005,2007,Count,GWh,All,All,1940.141457
S12000005,2007,Count,GWh,Bioenergy & wastes,Domestic,5.4030747273
S12000005,2007,Count,GWh,Bioenergy & wastes,All,5.4030747273
S12000005,2007,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,0
S12000005,2007,Count,GWh,Coal,Agriculture,0.00589484
S12000005,2007,Count,GWh,Coal,Domestic,3.4173029573
S12000005,2007,Count,GWh,Coal,Industrial & Commercial,0.29326986050000003
S12000005,2007,Count,GWh,Coal,Public Sector,0.7848091472
S12000005,2007,Count,GWh,Coal,Rail,0
S12000005,2007,Count,GWh,Coal,All,4.5012768049
S12000005,2007,Count,GWh,Electricity,Domestic,101.78576
S12000005,2007,Count,GWh,Electricity,Industrial & Commercial,243.46242
S12000005,2007,Count,GWh,Electricity,All,345.24818
S12000005,2007,Count,GWh,Gas,Domestic,388.36059
S12000005,2007,Count,GWh,Gas,Industrial & Commercial,833.08016
S12000005,2007,Count,GWh,Gas,All,1221.44075
S12000005,2007,Count,GWh,Manufactured fuels,Domestic,2.0647871413
S12000005,2007,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2007,Count,GWh,Manufactured fuels,All,2.0647871413
S12000005,2007,Count,GWh,Petroleum products,Agriculture,9.0532517106
S12000005,2007,Count,GWh,Petroleum products,Domestic,11.029939695
S12000005,2007,Count,GWh,Petroleum products,Industrial & Commercial,52.348313408
S12000005,2007,Count,GWh,Petroleum products,Public Sector,0.2680843512
S12000005,2007,Count,GWh,Petroleum products,Rail,48.05659327
S12000005,2007,Count,GWh,Petroleum products,Road transport,240.72720589
S12000005,2007,Count,GWh,Petroleum products,All,361.48338832
S12000005,2008,Count,GWh,All,All,1929.688088
S12000005,2008,Count,GWh,Bioenergy & wastes,Domestic,6.412116357
S12000005,2008,Count,GWh,Bioenergy & wastes,All,6.4122546958
S12000005,2008,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,1.38397e-4
S12000005,2008,Count,GWh,Coal,Agriculture,0.007381026
S12000005,2008,Count,GWh,Coal,Domestic,3.6173060444
S12000005,2008,Count,GWh,Coal,Industrial & Commercial,0.0602665437
S12000005,2008,Count,GWh,Coal,Public Sector,0.655517751
S12000005,2008,Count,GWh,Coal,Rail,0
S12000005,2008,Count,GWh,Coal,All,4.3404713652
S12000005,2008,Count,GWh,Electricity,Domestic,99.15738
S12000005,2008,Count,GWh,Electricity,Industrial & Commercial,246.10243
S12000005,2008,Count,GWh,Electricity,All,345.25981
S12000005,2008,Count,GWh,Gas,Domestic,368.14765
S12000005,2008,Count,GWh,Gas,Industrial & Commercial,839.44177
S12000005,2008,Count,GWh,Gas,All,1207.57779
S12000005,2008,Count,GWh,Manufactured fuels,Domestic,2.4312144817
S12000005,2008,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2008,Count,GWh,Manufactured fuels,All,2.4312144817
S12000005,2008,Count,GWh,Petroleum products,Agriculture,8.8479770934
S12000005,2008,Count,GWh,Petroleum products,Domestic,11.726103237
S12000005,2008,Count,GWh,Petroleum products,Industrial & Commercial,50.5308195969
S12000005,2008,Count,GWh,Petroleum products,Public Sector,0.1723310373
S12000005,2008,Count,GWh,Petroleum products,Rail,48.866245783
S12000005,2008,Count,GWh,Petroleum products,Road transport,243.52307068
S12000005,2008,Count,GWh,Petroleum products,All,363.66654743
S12000005,2009,Count,GWh,All,All,1550.3828906
