"Code"	"LA"	"variable"	"value"
"S12000005"	"Clackmannanshire"	"Carbon Saving Target (CERO)"	"1512"
"S12000005"	"Clackmannanshire"	"ECO measures per 1,000 households"	"167.7"
"S12000005"	"Clackmannanshire"	"Affordable Warmth (HHCRO)"	"1257"
"S12000005"	"Clackmannanshire"	"Total ECO measures installed"	"3971"
"S12000005"	"Clackmannanshire"	"Carbon Savings Community (CSCO)"	"1202"
"S12000006"	"Dumfries and Galloway"	"ECO measures per 1,000 households"	"140.80000000000001"
"S12000006"	"Dumfries and Galloway"	"Carbon Saving Target (CERO)"	"2338"
"S12000006"	"Dumfries and Galloway"	"Total ECO measures installed"	"9795"
"S12000006"	"Dumfries and Galloway"	"Affordable Warmth (HHCRO)"	"6585"
"S12000006"	"Dumfries and Galloway"	"Carbon Savings Community (CSCO)"	"872"
"S12000008"	"East Ayrshire"	"Carbon Savings Community (CSCO)"	"3503"
"S12000008"	"East Ayrshire"	"Affordable Warmth (HHCRO)"	"5591"
"S12000008"	"East Ayrshire"	"ECO measures per 1,000 households"	"215.6"
"S12000008"	"East Ayrshire"	"Carbon Saving Target (CERO)"	"2786"
"S12000008"	"East Ayrshire"	"Total ECO measures installed"	"11880"
"S12000010"	"East Lothian"	"Carbon Savings Community (CSCO)"	"544"
"S12000010"	"East Lothian"	"ECO measures per 1,000 households"	"74.3"
"S12000010"	"East Lothian"	"Carbon Saving Target (CERO)"	"1464"
"S12000010"	"East Lothian"	"Total ECO measures installed"	"3415"
"S12000010"	"East Lothian"	"Affordable Warmth (HHCRO)"	"1407"
"S12000011"	"East Renfrewshire"	"Total ECO measures installed"	"16593"
"S12000011"	"East Renfrewshire"	"ECO measures per 1,000 households"	"424.3"
"S12000011"	"East Renfrewshire"	"Carbon Savings Community (CSCO)"	"447"
"S12000011"	"East Renfrewshire"	"Affordable Warmth (HHCRO)"	"12456"
"S12000011"	"East Renfrewshire"	"Carbon Saving Target (CERO)"	"3690"
"S12000013"	"Na h-Eileanan Siar"	"ECO measures per 1,000 households"	"389"
"S12000013"	"Na h-Eileanan Siar"	"Carbon Saving Target (CERO)"	"1426"
"S12000013"	"Na h-Eileanan Siar"	"Affordable Warmth (HHCRO)"	"3106"
"S12000013"	"Na h-Eileanan Siar"	"Total ECO measures installed"	"4969"
"S12000013"	"Na h-Eileanan Siar"	"Carbon Savings Community (CSCO)"	"437"
"S12000014"	"Falkirk"	"Total ECO measures installed"	"10240"
"S12000014"	"Falkirk"	"Carbon Savings Community (CSCO)"	"1052"
"S12000014"	"Falkirk"	"Affordable Warmth (HHCRO)"	"4940"
"S12000014"	"Falkirk"	"ECO measures per 1,000 households"	"141.69999999999999"
"S12000014"	"Falkirk"	"Carbon Saving Target (CERO)"	"4248"
"S12000017"	"Highland"	"Carbon Saving Target (CERO)"	"4782"
"S12000017"	"Highland"	"Total ECO measures installed"	"11763"
"S12000017"	"Highland"	"ECO measures per 1,000 households"	"108"
"S12000017"	"Highland"	"Carbon Savings Community (CSCO)"	"753"
"S12000017"	"Highland"	"Affordable Warmth (HHCRO)"	"6228"
"S12000018"	"Inverclyde"	"Affordable Warmth (HHCRO)"	"4761"
"S12000018"	"Inverclyde"	"Total ECO measures installed"	"10284"
"S12000018"	"Inverclyde"	"Carbon Saving Target (CERO)"	"2715"
"S12000018"	"Inverclyde"	"Carbon Savings Community (CSCO)"	"2808"
"S12000018"	"Inverclyde"	"ECO measures per 1,000 households"	"273.2"
"S12000019"	"Midlothian"	"Affordable Warmth (HHCRO)"	"1595"
"S12000019"	"Midlothian"	"Carbon Savings Community (CSCO)"	"523"
"S12000019"	"Midlothian"	"Carbon Saving Target (CERO)"	"2557"
"S12000019"	"Midlothian"	"Total ECO measures installed"	"4675"
"S12000019"	"Midlothian"	"ECO measures per 1,000 households"	"119.5"
"S12000020"	"Moray"	"Affordable Warmth (HHCRO)"	"2664"
"S12000020"	"Moray"	"Carbon Saving Target (CERO)"	"2286"
"S12000020"	"Moray"	"Carbon Savings Community (CSCO)"	"634"
"S12000020"	"Moray"	"ECO measures per 1,000 households"	"131.19999999999999"
"S12000020"	"Moray"	"Total ECO measures installed"	"5584"
"S12000021"	"North Ayrshire"	"ECO measures per 1,000 households"	"198.8"
"S12000021"	"North Ayrshire"	"Affordable Warmth (HHCRO)"	"6004"
"S12000021"	"North Ayrshire"	"Total ECO measures installed"	"12712"
"S12000021"	"North Ayrshire"	"Carbon Saving Target (CERO)"	"3713"
"S12000021"	"North Ayrshire"	"Carbon Savings Community (CSCO)"	"2995"
"S12000023"	"Orkney Islands"	"Carbon Savings Community (CSCO)"	"4"
"S12000023"	"Orkney Islands"	"Affordable Warmth (HHCRO)"	"703"
"S12000023"	"Orkney Islands"	"Carbon Saving Target (CERO)"	"218"
"S12000023"	"Orkney Islands"	"ECO measures per 1,000 households"	"88"
"S12000023"	"Orkney Islands"	"Total ECO measures installed"	"925"
"S12000026"	"Scottish Borders"	"Total ECO measures installed"	"9968"
"S12000026"	"Scottish Borders"	"Affordable Warmth (HHCRO)"	"5173"
"S12000026"	"Scottish Borders"	"Carbon Savings Community (CSCO)"	"616"
"S12000026"	"Scottish Borders"	"ECO measures per 1,000 households"	"183.2"
"S12000026"	"Scottish Borders"	"Carbon Saving Target (CERO)"	"4179"
"S12000027"	"Shetland Islands"	"Total ECO measures installed"	"735"
