"Quarter"	"CERO"	"CERO Rural"	"CSCO"	"CSCO Rural"	"Affordable Warmth"	"Rural"	"Total"
"Jan - Mar 2013"	"1013"	"0"	"1829"	"1"	"2251"	"0"	"5093"
"Apr - Jun 2013"	"4887"	"0"	"3646"	"9"	"6122"	"0"	"14655"
"Jul - Sep 2013"	"11378"	"0"	"5312"	"29"	"15766"	"0"	"32456"
"Oct - Dec 2013"	"22626"	"0"	"7145"	"88"	"27636"	"0"	"57407"
"Jan - Mar 2014"	"41957"	"0"	"11256"	"284"	"34564"	"0"	"87777"
"Apr - Jun 2014"	"48343"	"0"	"19836"	"1750"	"37512"	"0"	"105691"
"Jul - Sep 2014"	"57108"	"0"	"30125"	"4812"	"38901"	"0"	"126134"
"Oct - Dec 2014"	"65501"	"0"	"41981"	"8244"	"39878"	"0"	"147360"
"Jan - Mar 2015"	"72279"	"0"	"48259"	"10227"	"41080"	"0"	"161618"
"Apr - Jun 2015"	"78281"	"0"	"51058"	"11122"	"42503"	"0"	"171842"
"Jul - Sep 2015"	"85051"	"0"	"53581"	"11857"	"44384"	"0"	"183016"
"Oct - Dec 2015"	"91303"	"0"	"56342"	"12434"	"46409"	"0"	"194054"
"Jan - Mar 2016"	"99543"	"0"	"57680"	"12728"	"49578"	"0"	"206801"
"Apr - Jun 2016"	"107562"	"0"	"59296"	"13155"	"52718"	"0"	"219576"
"Jul - Sep 2016"	"114867"	"0"	"60621"	"13569"	"54334"	"0"	"229822"
"Oct - Dec 2016"	"120761"	"0"	"61787"	"13886"	"56724"	"0"	"239272"
"Jan - Mar 2017"	"127629"	"0"	"64027"	"14333"	"59227"	"0"	"250883"
"Apr - Jun 2017"	"130927"	"1182"	"64027"	"14333"	"63356"	"0"	"258310"
"Jul - Sep 2017"	"134473"	"2405"	"64027"	"14333"	"68413"	"0"	"266913"
"Oct - Dec 2017"	"137704"	"3320"	"64027"	"14333"	"72744"	"0"	"274475"
"Jan - Mar 2018"	"142081"	"4430"	"64027"	"14333"	"77324"	"0"	"283432"
"Apr - Jun 2018"	"148466"	"5913"	"64027"	"14333"	"82601"	"0"	"295094"
"Jul - Sep 2018"	"155267"	"7743"	"64027"	"14333"	"86997"	"0"	"306291"
"Oct - Dec 2018"	"155267"	"7743"	"64027"	"14333"	"88884"	"419"	"308178"
"Jan - Mar 2019"	"155267"	"7743"	"64027"	"14333"	"93428"	"1556"	"312722"
"Apr - Jun 2019"	"155267"	"7743"	"64027"	"14333"	"99222"	"2820"	"318516"
"Jul - Sep 2019"	"155267"	"7743"	"64027"	"14333"	"106954"	"4056"	"326248"
"Oct - Dec 2019"	"155267"	"7743"	"64027"	"14333"	"116766"	"5464"	"336060"
"Jan - Mar 2020"	"155267"	"7743"	"64027"	"14333"	"125310"	"6888"	"344604"
"Apr - Jun 2020"	"155267"	"7743"	"64027"	"14333"	"128177"	"7206"	"347471"
"Jul - Sep 2020"	"155267"	"7743"	"64027"	"14333"	"136522"	"8281"	"355816"
"Oct - Dec 2020"	"155267"	"7743"	"64027"	"14333"	"147537"	"9623"	"366831"
"Jan - Mar 2021"	"155267"	"7743"	"64027"	"14333"	"157425"	"10604"	"376719"
"Apr - Jun 2021"	"155267"	"7743"	"64027"	"14333"	"170757"	"12179"	"390051"
"Jul - Sep 2021"	"155267"	"7743"	"64027"	"14333"	"176470"	"12760"	"395764"
"Oct - Dec 2021"	"155267"	"7743"	"64027"	"14333"	"183757"	"13685"	"403051"
"Jan - Mar 2022"	"155267"	"7743"	"64027"	"14333"	"192579"	"14755"	"411873"
"ECO measures per 1,000 households"	"63"	"3.1"	"26"	"5.8"	"78.2"	"6"	"167.2"
