"","Year","Sector","End use","variable","Lookup","value"
"1",2021,"Domestic","Space heating","Gas","2021DomesticSpace heatingGas",20500.1241691889
"2",2021,"Domestic","Water heating","Gas","2021DomesticWater heatingGas",6205.47941938035
"3",2021,"Domestic","Cooking/catering","Gas","2021DomesticCooking/cateringGas",671.166411430707
"4",2021,"Domestic","Heat total","Gas","2021DomesticHeat totalGas",27376.77
"5",2021,"Domestic","Lighting and appliances","Gas","2021DomesticLighting and appliancesGas",0
"6",2021,"Domestic","Overall total","Gas","2021DomesticOverall totalGas",27376.77
"7",2021,"Service","Space heating","Gas","2021ServiceSpace heatingGas",5719.23085628813
"8",2021,"Service","Water heating","Gas","2021ServiceWater heatingGas",759.123747808093
"9",2021,"Service","Cooking/catering","Gas","2021ServiceCooking/cateringGas",555.181214293219
"10",2021,"Service","Heat total","Gas","2021ServiceHeat totalGas",7033.53581838944
"11",2021,"Service","Computing","Gas","2021ServiceComputingGas",0
"12",2021,"Service","Cooling and ventilation","Gas","2021ServiceCooling and ventilationGas",2.3826428031552
"13",2021,"Service","Lighting","Gas","2021ServiceLightingGas",0
"14",2021,"Service","Other","Gas","2021ServiceOtherGas",580.831538807403
"15",2021,"Service","Overall total","Gas","2021ServiceOverall totalGas",7616.75
"16",2021,"Industry","Space heating","Gas","2021IndustrySpace heatingGas",1033.64431481644
"17",2021,"Industry","High temperature process","Gas","2021IndustryHigh temperature processGas",2095.43525069801
"18",2021,"Industry","Low temperature process","Gas","2021IndustryLow temperature processGas",3577.01191623336
"19",2021,"Industry","Drying/separation","Gas","2021IndustryDrying/separationGas",1038.44557260603
"20",2021,"Industry","Unknown (heat)","Gas","2021IndustryUnknown (heat)Gas",0
"21",2021,"Industry","Heat total","Gas","2021IndustryHeat totalGas",7744.53705435385
"22",2021,"Industry","Motors","Gas","2021IndustryMotorsGas",0
"23",2021,"Industry","Compressed air","Gas","2021IndustryCompressed airGas",0
"24",2021,"Industry","Lighting","Gas","2021IndustryLightingGas",0
"25",2021,"Industry","Refrigeration","Gas","2021IndustryRefrigerationGas",0
"26",2021,"Industry","Other","Gas","2021IndustryOtherGas",1008.41294564615
"27",2021,"Industry","Overall total","Gas","2021IndustryOverall totalGas",8752.95
"28",2021,"Transport","Non-heat purposes","Gas","2021TransportNon-heat purposesGas",84.09
"29",2021,"Total","Space heating","Gas","2021TotalSpace heatingGas",27252.9993402935
"30",2021,"Total","Water heating","Gas","2021TotalWater heatingGas",6964.60316718844
"31",2021,"Total","Cooking/catering","Gas","2021TotalCooking/cateringGas",1226.34762572393
"32",2021,"Total","Process use","Gas","2021TotalProcess useGas",5672.44716693138
"33",2021,"Total","Drying/separation","Gas","2021TotalDrying/separationGas",1038.44557260603
"34",2021,"Total","Unknown (heat)","Gas","2021TotalUnknown (heat)Gas",0
"35",2021,"Total","Heat total","Gas","2021TotalHeat totalGas",42154.8428727433
