"TIME"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"
"EU (27)"	283643.314	295613.633	307682.923	315769.002	325832.136	325232.689	327187.279	331757.379	342945.524	340826.948	350183.476	373413.537	312604.768	304656.615	323208.763	307010.362	309987.377	307704.522	325602.806	328999.338	371824.908	307425.376	331672.655	368013.319	370049.211	335988.205	345591.838	294345.965	343881.43	320259.491	347180.142	348317.829
"Belgium"	266	229	341	254	346	338	239	305	389	341	460	441	360	247	316.904	288	359.336	388.748	409.56	328	312	196	357	380	292.2	318.4	370	270.1	292.3	302	266.9	418.1
"Bulgaria"	1630	2268	1903	1787	1296	2174	2888	2724	3068	2732	2631	1651	2116	2995	3138.811	4297.428	4212.974	2829.847	2792.71	3431.712	5031.341	2871.581	3177.636	4036.138	4601.629	5654.542	3879.842	2828.103	5146.578	2929.499	2820.398	4819.205
"Czechia"	1161	1089	1402	1369	1460	2002	1969	1699	1396	1681	1758	2054	2492	1383	2019.2	2379.91	2550.3	2089.409	2024.335	2429.607	2789.474	1963.016	2129.143	2734.507	1908.749	1794.769	2000.036	1869.464	1628.83	2008.029	2143.884	2408.52
"Denmark"	28	25	28	28	33	30	19	19	27	31	30	28	32	21	27	23	23	28	26	19	20.642	16.868	17.476	13.419	15.104	18.03	19.272	17.871	14.862	16.955	17.064	16.294
"Germany"	17426	14891	17397	17878	19930	21780	21957	17357	17216	19647	21732	22733	23124	18321	20746	19638	20031	21169	20443	19031	20953	17672	21755	22998	19587	18976	20546	20150	17693	19731	18721	19658
"Estonia"	0	0	1	1	3	2	2	3	4	4	5	7	6	13	22	22	13.5	21.822	27.908	31.988	26.881	30.028	42.058	25.532	27.034	26.6	35	26	15	19	30	23
"Ireland"	697	746	817	765	920	713	722	678	916	847	847	596	912	598	630	631.26	724.273	666.576	968.323	901.734	599.231	706.687	802.349	599.497	708.654	806.49	681.025	691.603	694.09	886.584	932.655	749.342
"Greece"	1769	3099	2203	2282	2599	3529	4348	3882	3717	4592	3693	2097	2800	4766	4672.078	5017.497	5864.849	2591.422	3312.288	5352.558	7474.753	4011.165	4392.525	6346.921	4478.322	6098.194	5542.638	3962.547	5743.448	3999.598	3343.687	5903.439
"Spain"	25470	27245	18916	24420	28236	23080	39786	34753	33989	22823	28256	40888	21224	40483	31084	18393	25959	27309	23364	26411	42304	30596	20545	36865.017	39168.487	28140	36395.357	18322	34334	24646	30507	29626
