Generator type,Fuel,Year,Country,value
Major power producers,Coal,2004,UK,127826.5674
Major power producers,Oil,2004,UK,1882.7795
Major power producers,Gas,2004,UK,140576.967
Major power producers,Nuclear,2004,UK,79999.1056
Major power producers,Hydro natural flow,2004,UK,3907.8
Major power producers,Wind,2004,UK,NA
Major power producers,Solar,2004,UK,NA
Major power producers,Bioenergy,2004,UK,1471.4293
Major power producers,Other fuels,2004,UK,NA
Major power producers,Hydro pumped storage,2004,UK,2648.549
Major power producers,Total major power producers,2004,UK,358313.198
Other generators,Coal,2004,UK,3961.076
Other generators,Oil,2004,UK,2761.3801
Other generators,Gas,2004,UK,16487.3408
Other generators,Hydro natural flow,2004,UK,915.199
Other generators,Wind,2004,UK,1939.1149
Other generators,Solar,2004,UK,NA
Other generators,Shoreline wave and tidal,2004,UK,NA
Other generators,Bioenergy,2004,UK,5892.8319
Other generators,Other fuels,2004,UK,3644.5951
Other generators,Total other generators,2004,UK,35601.5378
All generating companies,Fossil fuels,2004,UK,293496.1108
All generating companies,Coal,2004,UK,131787.6434
All generating companies,Oil,2004,UK,4644.1596
All generating companies,Gas,2004,UK,157064.3078
All generating companies,Nuclear,2004,UK,80914.3046
All generating companies,Renewables,2004,UK,14126.3751
All generating companies,Hydro natural flow,2004,UK,4822.999
All generating companies,Wind,2004,UK,1939.1149
All generating companies,Solar,2004,UK,NA
All generating companies,Shoreline wave and tidal,2004,UK,NA
All generating companies,Bioenergy,2004,UK,7364.2612
All generating companies,Other fuels,2004,UK,3644.5951
All generating companies,Pumped storage,2004,UK,2648.549
All generating companies,Total all generating companies,2004,UK,388536.7906
Major power producers,Coal,2004,Scotland,13001.7119
Major power producers,Oil,2004,Scotland,149.2283
Major power producers,Gas,2004,Scotland,8850.6861
Major power producers,Nuclear,2004,Scotland,18012.7628
Major power producers,Hydro natural flow,2004,Scotland,3653.0734
Major power producers,Wind,2004,Scotland,NA
Major power producers,Solar,2004,Scotland,NA
Major power producers,Bioenergy,2004,Scotland,0
Major power producers,Other fuels,2004,Scotland,NA
Major power producers,Hydro pumped storage,2004,Scotland,785.7686
Major power producers,Total major power producers,2004,Scotland,44453.2312
Other generators,Coal,2004,Scotland,53
Other generators,Oil,2004,Scotland,1242
Other generators,Gas,2004,Scotland,1984
Other generators,Hydro natural flow,2004,Scotland,821.7266
Other generators,Wind,2004,Scotland,848.4
Other generators,Solar,2004,Scotland,NA
Other generators,Shoreline wave and tidal,2004,Scotland,NA
Other generators,Bioenergy,2004,Scotland,509
Other generators,Other fuels,2004,Scotland,25.6414
Other generators,Total other generators,2004,Scotland,5483.7679
All generating companies,Fossil fuels,2004,Scotland,25280.6263
All generating companies,Coal,2004,Scotland,13054.7119
All generating companies,Oil,2004,Scotland,1391.2283
All generating companies,Gas,2004,Scotland,10834.6861
All generating companies,Nuclear,2004,Scotland,18834.4894
All generating companies,Renewables,2004,Scotland,5832.2
All generating companies,Hydro natural flow,2004,Scotland,4474.8
All generating companies,Wind,2004,Scotland,848.4
All generating companies,Solar,2004,Scotland,NA
All generating companies,Shoreline wave and tidal,2004,Scotland,NA
All generating companies,Bioenergy,2004,Scotland,509
All generating companies,Other fuels,2004,Scotland,25.6414
All generating companies,Pumped storage,2004,Scotland,785.7686
All generating companies,Total all generating companies,2004,Scotland,49947.3157
