Year,Hydro,Wind,Wave / tidal,Solar PV,Bioenergy and Waste,Renewables,Nuclear,Pumped hydro,Low Carbon,Coal,Oil,Gas,Fossil Fuels,Other,Total
2004,4474.8,848.4,NA,NA,509,5832.2,18834.4894,785.7686,25452.458,13054.7119,1391.2283,10834.6861,25280.6263,25.6414,49947.3157
2005,4612.5086,1280.9,NA,NA,592.6,6486.0086,19666.847,642.6936,26795.5492,12142.3048,1902.9385,9366.8683,23412.1116,15.8884,49564.9672
2006,4224.9,2022.9,NA,NA,715,6962.8,14911.6812,1184.305,23058.786200000002,17549.0932,2189.2244,10212.4022,29950.7199,11.3338,51825.2011
2007,4692.94,2644,NA,NA,889.2084,8226.1484,13142.9882,1198.1198,22567.2564,13855.8715,1504.2291,10930.5395,26290.6401,20.9963,47659.7767
2008,4704.4739,3361.5197,NA,NA,992.4296,9058.4232,15860.4068,1091.4076,26010.2376,11662.4726,1517.9817,11607.8616,24788.3158,20.9963,49707.1458
2009,4858.9032,4555.1246,0.0637,0.0061,1168.3077,10582.4053,16680.7767,1087.2902,28350.4722,11964.3525,1294.3278,9370.3085,22628.9888,17.7594,50997.2205
2010,3258.1077,4872.6269,0.0447,0.7776,1287.5723,9419.1291,15293.0233,778.5394,25490.6918,14262.0655,1298.2371,8380.6337,23940.9363,18.56,49450.1881
2011,5329.6385,7256.1646,0.4509,8.6994,1273.8444,13868.7978,16891.825,604.2073,31364.8301,10427.737,966.8317,8094.8858,19489.4545,16.1775,50870.4621
2012,4846.5775,8291.6825,0.7362,69.9466,1458.2613,14667.2041,17050.0209,609.7378,32326.962799999998,11685.6283,639.058,5612.5944,17937.2806,68.7994,50333.0429
2013,4369.4754,11151.1868,1.3876,95.9197,1371.6735,16989.643,18497.8809,619.6896,36107.2135,10769.4671,639.4473,5438.8016,16847.7159,69.2015,53024.1309
2014,5483.6092,11700.012,2.1465,143.161,1716.1242,19045.0529,16633.2728,494.1319,36172.4576,10156.7498,831.7958,2723.2213,13711.7669,157.8454,50042.07
2015,5814.0245,13878.0007,1.9941,185.23,1863.5849,21742.8342,17762.8285,522.6158,40028.2785,8274.939,880.2286,1918.7555,11073.923,232.9015,51335.1031
2016,4915.7966,12415.6994,0.0086,246.5112,1897.5757,19475.5915,19630.4533,485.634,39591.6788,1805.7032,418.8183,3140.8946,5365.4161,721.9843,45679.0792
2017,5356.1887,17201.1379,4.1936,289.5752,2450.2873,25301.3827,17826.9301,573.0836,43701.3964,0,398.6882,4360.9961,4759.6843,380.1722,48841.2529
2018,4997.27,19111.1,9.3,331.78,2147.51,26596.96,13610.8204,453.9364,40661.7168,0,299.2705,7240.9267,7540.1972,300.5444,48502.4584
2019,5324.73,22023.75,13.99,351.96,2460.42,30174.85,12226.0863,241.1914,42642.127700000005,0,316.061,6062.1158,6378.1768,442.791,49463.0954
2020,6186.73,23075.09,11.28,352.86,2437.26,32063.22,13351.1293,273.9204,45688.269700000004,0,269.1449,5409.9461,5679.091,497.3099,51864.6706
