Region,Year,variable,value
East Midlands,2018,Prepayment,563.8752166862529
Eastern,2018,Prepayment,570.1726793928501
London,2018,Prepayment,587.131438050618
Merseyside & North Wales,2018,Prepayment,572.5310766419029
North East,2018,Prepayment,558.3217941968818
North Scotland,2018,Prepayment,572.1713684003785
North West,2018,Prepayment,572.8090254793211
South East,2018,Prepayment,585.9795833101268
South Scotland,2018,Prepayment,566.2051305263917
South Wales,2018,Prepayment,570.4348378114311
South West,2018,Prepayment,586.7258033713615
Southern,2018,Prepayment,591.160469170418
West Midlands,2018,Prepayment,573.4863782880009
Yorkshire,2018,Prepayment,560.3764794330804
Great Britain,2018,Prepayment,572.8406823527082
East Midlands,2019,Prepayment,616.2289993645362
Eastern,2019,Prepayment,624.1976401485797
London,2019,Prepayment,644.7232123697094
Merseyside & North Wales,2019,Prepayment,629.1960699624391
North East,2019,Prepayment,613.0093297815863
North Scotland,2019,Prepayment,623.7500918583286
North West,2019,Prepayment,625.7813277622358
South East,2019,Prepayment,642.3863197634737
South Scotland,2019,Prepayment,620.3356290221556
South Wales,2019,Prepayment,629.6253256940221
South West,2019,Prepayment,653.8890519864119
Southern,2019,Prepayment,651.309307063635
West Midlands,2019,Prepayment,632.7457171217566
Yorkshire,2019,Prepayment,619.0043037745189
Great Britain,2019,Prepayment,629.5745578935423
East Midlands,2020,Prepayment,569.3845541499236
Eastern,2020,Prepayment,576.9603656232091
London,2020,Prepayment,599.5848669169176
Merseyside & North Wales,2020,Prepayment,587.5258153906539
North East,2020,Prepayment,574.0927282583863
North Scotland,2020,Prepayment,584.9528404681326
North West,2020,Prepayment,583.377761470246
South East,2020,Prepayment,597.7707249393496
South Scotland,2020,Prepayment,584.7651646430002
South Wales,2020,Prepayment,581.9209101165985
South West,2020,Prepayment,601.8937700196637
Southern,2020,Prepayment,604.061653522889
West Midlands,2020,Prepayment,581.8810808875845
Yorkshire,2020,Prepayment,572.8356180056185
Great Britain,2020,Prepayment,584.7877917240767
East Midlands,2021,Prepayment,564.9361931333076
Eastern,2021,Prepayment,573.3308490844606
London,2021,Prepayment,592.5609660954049
Merseyside & North Wales,2021,Prepayment,577.9554193610263
North East,2021,Prepayment,562.2494947968706
North Scotland,2021,Prepayment,577.773875452805
North West,2021,Prepayment,573.7595635775695
South East,2021,Prepayment,580.4174246701449
South Scotland,2021,Prepayment,574.7386790364243
South Wales,2021,Prepayment,585.6596023069301
South West,2021,Prepayment,591.9101590032775
Southern,2021,Prepayment,593.4982066484675
West Midlands,2021,Prepayment,575.185797844471
Yorkshire,2021,Prepayment,565.6243381332571
Great Britain,2021,Prepayment,586.9427760294279
East Midlands,2022,Prepayment,1207
Eastern,2022,Prepayment,1234
London,2022,Prepayment,1284
Merseyside & North Wales,2022,Prepayment,1230
North East,2022,Prepayment,1147
North Scotland,2022,Prepayment,1206
North West,2022,Prepayment,1209
South East,2022,Prepayment,1215
South Scotland,2022,Prepayment,1193
South Wales,2022,Prepayment,1191
South West,2022,Prepayment,1229
Southern,2022,Prepayment,1235
West Midlands,2022,Prepayment,1227
Yorkshire,2022,Prepayment,1209
Great Britain,2022,Prepayment,1217
East Midlands,2018,Standard Credit,648.084601149972
Eastern,2018,Standard Credit,659.0322900281859
London,2018,Standard Credit,673.909331001693
Merseyside & North Wales,2018,Standard Credit,655.9619273365906
North East,2018,Standard Credit,640.1155917701443
North Scotland,2018,Standard Credit,650.9520689031721
North West,2018,Standard Credit,654.4668388452411
South East,2018,Standard Credit,670.5971169731001
South Scotland,2018,Standard Credit,653.5620597070808
South Wales,2018,Standard Credit,650.4186169837153
South West,2018,Standard Credit,666.0786676857371
Southern,2018,Standard Credit,679.1189698270985
West Midlands,2018,Standard Credit,654.9171709113402
Yorkshire,2018,Standard Credit,640.6147433595113
Great Britain,2018,Standard Credit,658.4704388000795
East Midlands,2019,Standard Credit,643.1929938197283
Eastern,2019,Standard Credit,651.2607458768282
London,2019,Standard Credit,672.5816220411895
Merseyside & North Wales,2019,Standard Credit,657.9744203302406
