"Dates"	"Wholesale"	"Network costs"	"Policy costs"	"Operating costs"	"EBIT"	"Adjustment allowance"	"Total"
"October 2022 - December 2022"	0.737826473671763	0.112667229886382	0.0465431546079542	0.0701713556037695	0.0190000078479999	0.0137917783821316	1
"April 2022 - September 2022"	0.578066395441356	0.202678708779582	0.0838060218239763	0.116448866107085	0.0190000078479999	0	1
"October 2021 - March 2022"	0.451337407591202	0.230220875327557	0.115894276544865	0.176433621595169	0.0190000078479999	0.007113811093206	1
"April 2021 - September 2021"	0.374139050827337	0.258275602830612	0.130514881088988	0.1967534171669	0.0190000078479999	0.021317040238162	1
"October 2020 - March 2021"	0.332600243661323	0.289384074586572	0.13385524013914	0.210460701425907	0.0190000078479999	0.0146997323390589	1
"April 2020 - September 2020"	0.385597475189358	0.26866973834606	0.125937639234707	0.200795139381875	0.0190000078479999	0	1
"October 2019 - March 2020"	0.413914243506331	0.251386193817218	0.120050540145127	0.195649014683324	0.0190000078479999	0	1
"April 2019 - September 2019"	0.45174392762273	0.235337662562845	0.111382850109777	0.182535551856648	0.0190000078479999	0	1
"October 2018 - March 2019"	0.420989791721785	0.253528147166075	0.114090005358101	0.192392047906039	0.0190000078479999	0	1
"April 2018 - September 2018"	0.405266094442779	0.270461745759908	0.121504895710472	0.183767256238841	0.0190000078479999	0	1
"October 2017 - March 2018"	0.386891034701708	0.296346039527769	0.11179688435808	0.185966033564444	0.0190000078479999	0	1
"April 2017 - September 2017"	0.394075258989221	0.293393327414238	0.110716480599956	0.182814925148584	0.0190000078479999	0	1
"October 2016 - March 2017"	0.34064634699504	0.329428612551998	0.116891535750829	0.194033496854134	0.0190000078479999	0	1
"April 2016 - September 2016"	0.356733783133891	0.322014556771054	0.114149446380146	0.188102205866909	0.0190000078479999	0	1
"October 2015 - March 2016"	0.415863941011997	0.2787166903809	0.0977760004487288	0.188643360310374	0.0190000078479999	0	1
