"Dates"	"Wholesale"	"Network costs"	"Policy costs"	"Operating costs"	"EBIT"	"Adjustment allowance"	"Total"
"October 2022 - December 2022"	0.689012685256101	0.131610413882784	0.0756234765370514	0.0724427337621847	0.0190000078479999	0.0123106827138794	1
"April 2022 - September 2022"	0.523568841657222	0.216114614867136	0.128315547095444	0.113000988532199	0.0190000078479999	0	1
"October 2021 - March 2022"	0.406548424413245	0.241664298740444	0.171498155677977	0.154983383703333	0.0190000078479999	0.0063057296170003	1
"April 2021 - September 2021"	0.352549342622157	0.261489506856142	0.18664711296746	0.164934753570034	0.0190000078479999	0.0153792761362067	1
"October 2020 - March 2021"	0.329679294544591	0.278023471678527	0.189335462561663	0.176492036379278	0.0190000078479999	0.00746972698794122	1
"April 2020 - September 2020"	0.359100727030942	0.265501398715077	0.185179722419324	0.171218143986657	0.0190000078479999	0	1
"October 2019 - March 2020"	0.375313733683419	0.254491752792476	0.18260461959889	0.168589886077215	0.0190000078479999	0	1
"April 2019 - September 2019"	0.400904961505685	0.24379155085477	0.174397511957623	0.161905967833922	0.0190000078479999	0	1
"October 2018 - March 2019"	0.368209961095402	0.265998568487106	0.177163088615202	0.16962837395429	0.0190000078479999	0	1
"April 2018 - September 2018"	0.356010420367007	0.279505633700474	0.185566733960764	0.159917204123755	0.0190000078479999	0	1
"October 2017 - March 2018"	0.331189093182533	0.321607598767348	0.168049861916269	0.16015343828585	0.0190000078479999	0	1
"April 2017 - September 2017"	0.342185704027293	0.316367803186369	0.165598702390874	0.156847782547464	0.0190000078479999	0	1
"October 2016 - March 2017"	0.295635405115081	0.354191452780382	0.166021407322872	0.165151726933666	0.0190000078479999	0	1
"April 2016 - September 2016"	0.307212969052713	0.349102762420331	0.163271334109379	0.161412926569577	0.0190000078479999	0	1
"October 2015 - March 2016"	0.356136651196549	0.3111566437634	0.142574191938095	0.171132505253955	0.0190000078479999	0	1
