"Dates"	"Wholesale"	"Network costs"	"Policy costs"	"Operating costs"	"EBIT"	"Adjustment allowance"	"Total"
"October 2023 - December 2023"	0.598942010603599	0.190964716173429	0.0387839283371276	0.139528911542001	0.0249132251539889	0.00686720818985554	1
"April 2023 - June 2023"	0.747062875598848	0.108676517875368	0.0223782449097114	0.0813352073117469	0.0190000078479999	0.0215471464563258	1
"October 2022 - December 2022"	0.78395706226306	0.0947653161872011	0.0190613219013728	0.0680248307229534	0.0190000078479999	0.0151914610774123	1
"April 2022 - September 2022"	0.636373585002403	0.1883035695527	0.0361850710276272	0.120137766569269	0.0190000078479999	0	1
"October 2021 - March 2022"	0.509293165621711	0.215413388501547	0.0439443295725867	0.204189661334155	0.0190000078479999	0.00815944712199986	1
"April 2021 - September 2021"	0.40441344670851	0.253768872037019	0.0518028673168479	0.241371473556854	0.0190000078479999	0.0296433325327691	1
"October 2020 - March 2021"	0.3366956677043	0.305312625353107	0.0560671556027065	0.258087716474864	0.0190000078479999	0.0248368270170226	1
"April 2020 - September 2020"	0.418984504287938	0.272661980972264	0.0512900959467554	0.238063410945042	0.0190000078479999	0	1
"October 2019 - March 2020"	0.461093097999683	0.247590474131483	0.0435948190664671	0.228721600954367	0.0190000078479999	0	1
"April 2019 - September 2019"	0.510131123796622	0.225628597413952	0.039012192243308	0.206228078698118	0.0190000078479999	0	1
"October 2018 - March 2019"	0.481911822663418	0.239133948007821	0.0412868098159668	0.218667411664794	0.0190000078479999	0	1
"April 2018 - September 2018"	0.464196036003453	0.259641555034289	0.0448607231314597	0.212301677982799	0.0190000078479999	0	1
"October 2017 - March 2018"	0.454405050876481	0.26572754989193	0.0436149802239967	0.217252411159593	0.0190000078479999	0	1
"April 2017 - September 2017"	0.45757930266832	0.265276452755972	0.0435499186131818	0.214594318114526	0.0190000078479999	0	1
"October 2016-March 2017"	0.396703117494722	0.298588892394511	0.0557050370826221	0.230002945180145	0.0190000078479999	0	1
"April 2016-September 2016"	0.417290138221327	0.288889838803169	0.0540809169932833	0.220739098134221	0.0190000078479999	0	1
"October 2015- March 2016"	0.480459235118328	0.243632755783949	0.0493265837142884	0.207581417535434	0.0190000078479999	0	1
