"Dates"	"Wholesale"	"Network costs"	"Policy costs"	"Operating costs"	"EBIT"	"Adjustment allowance"	"Total"
"October 2023 - December 2023"	0.523630711899544	0.221041903598385	0.0935835703291476	0.131146883287127	0.024181291686365	0.00641563919943141	1
"April 2023 - June 2023"	0.703502166575341	0.126631816482284	0.0543530098809182	0.0778555886125253	0.0190000078479999	0.0186574106009319	1
"October 2022 - December 2022"	0.743688541131967	0.107339375575809	0.0462943781243756	0.0698177142581108	0.0190000078479999	0.0138599830617383	1
"April 2022 - September 2022"	0.585851119760291	0.194517774668165	0.0839681210318658	0.116662976691678	0.0190000078479999	0	1
"October 2021 - March 2022"	0.465112089613936	0.211159138828927	0.11797085866561	0.17951636730085	0.0190000078479999	0.00724153774267752	1
"April 2021 - September 2021"	0.388087332507167	0.237493400064204	0.133110956909088	0.200567799285731	0.0190000078479999	0.0217405033858112	1
"October 2020 - March 2021"	0.346830848555682	0.265597809803717	0.137446673299934	0.215977792229304	0.0190000078479999	0.0151468682633633	1
"April 2020 - September 2020"	0.401399337675527	0.245572175112807	0.128796240210051	0.205232239153615	0.0190000078479999	0	1
"October 2019 - March 2020"	0.426229346222382	0.2343462629918	0.121879269020039	0.198545113917779	0.0190000078479999	0	1
"April 2019 - September 2019"	0.46367768648784	0.219075848328514	0.113051961886091	0.185194495449556	0.0190000078479999	0	1
"October 2018 - March 2019"	0.434707134422706	0.231865388742055	0.11709667382267	0.197330795164569	0.0190000078479999	0	1
"April 2018 - September 2018"	0.419364297455099	0.24786258585147	0.124944296231035	0.188828812614396	0.0190000078479999	0	1
"October 2017 - March 2018"	0.406262060981198	0.262297798238799	0.117396465569466	0.195043667362537	0.0190000078479999	0	1
"April 2017 - September 2017"	0.413666427340802	0.259440358545014	0.116222278732401	0.191670927533783	0.0190000078479999	0	1
"October 2016 - March 2017"	0.356205747148758	0.299825772926808	0.122252646341469	0.202715825734965	0.0190000078479999	0	1
"April 2016 - September 2016"	0.372597131932571	0.292868524928736	0.119245548244795	0.196288787045898	0.0190000078479999	0	1
"October 2015 - March 2016"	0.427592625237822	0.258999870495141	0.10054863688701	0.193858859532027	0.0190000078479999	0	1
