"Dates"	"Wholesale"	"Network costs"	"Policy costs"	"Operating costs"	"EBIT"	"Adjustment allowance"	"Total"
"October 2022 - December 2022"	0.701539854338074	0.120508916841108	0.0747917352354434	0.0716930070981696	0.0190000078479999	0.0124664786392048	1
"April 2022 - September 2022"	0.538437590840897	0.200371563211935	0.128791065452937	0.113399772646231	0.0190000078479999	0	1
"October 2021 - March 2022"	0.429856516224096	0.207782716737686	0.177022132812793	0.159829506184847	0.0190000078479999	0.0065091201925776	1
"April 2021 - September 2021"	0.376033454631957	0.225504634176434	0.193091406435137	0.170460712757012	0.0190000078479999	0.0159097841514596	1
"October 2020 - March 2021"	0.354381583457902	0.235980009796496	0.198197907572085	0.184528814442575	0.0190000078479999	0.00791167688294161	1
"April 2020 - September 2020"	0.386848997488037	0.223218397629759	0.192840829980202	0.178091767054003	0.0190000078479999	0	1
"October 2019 - March 2020"	0.396904871837467	0.223213675810676	0.187716854927146	0.173164589576711	0.0190000078479999	0	1
"April 2019 - September 2019"	0.422079863060081	0.213214490447444	0.17934593443935	0.166359704205125	0.0190000078479999	0	1
"October 2018 - March 2019"	0.391744927057816	0.225272378781766	0.186070809752986	0.177911876559432	0.0190000078479999	0	1
"April 2018 - September 2018"	0.379889438345351	0.237515286223367	0.195433578091587	0.168161689491695	0.0190000078479999	0	1
"October 2017 - March 2018"	0.362753063267743	0.259201064213655	0.184073257637696	0.174972607032905	0.0190000078479999	0	1
"April 2017 - September 2017"	0.374403639388367	0.254225232137991	0.181196037365319	0.171175083260322	0.0190000078479999	0	1
"October 2016 - March 2017"	0.320892836549397	0.300911705296714	0.180272997241382	0.178922453064507	0.0190000078479999	0	1
"April 2016 - September 2016"	0.332966607468761	0.296403625675097	0.177021612648735	0.174608146359407	0.0190000078479999	0	1
"October 2015 - March 2016"	0.376000430070414	0.273948712609625	0.150577397862015	0.180473451609947	0.0190000078479999	0	1
