"Dates"	"Wholesale"	"Network costs"	"Policy costs"	"Operating costs"	"EBIT"	"Adjustment allowance"	"Total"
"October 2023 - December 2023"	0.598949639132324	0.19095463902352	0.0387844223153528	0.139530636949775	0.0249133669237862	0.00686729565524285	1
"April 2023 - June 2023"	0.747068394649751	0.108670103285196	0.0223784102327074	0.0813357783449009	0.0190000078479999	0.0215473056394441	1
"October 2022 - December 2022"	0.783966923671338	0.0947542190430403	0.0190615616740423	0.0680256355925382	0.0190000078479999	0.0151916521710413	1
"April 2022 - September 2022"	0.636394573930594	0.18827755801001	0.0361862644867451	0.120141595724652	0.0190000078479999	0	1
"October 2021 - March 2022"	0.50930764218833	0.215391741668675	0.0439455786822498	0.204195350559929	0.0190000078479999	0.00815967905281654	1
"April 2021 - September 2021"	0.404426939117433	0.253744744268679	0.0518045956111836	0.241379391634137	0.0190000078479999	0.0296443215205676	1
"October 2020 - March 2021"	0.336716671240227	0.305270727055598	0.0560706531485022	0.258103564335435	0.0190000078479999	0.0248383763722374	1
"April 2020 - September 2020"	0.419007382620269	0.272623523296726	0.0512928966036969	0.238076189631308	0.0190000078479999	0	1
"October 2019 - March 2020"	0.461097544788727	0.247583440077854	0.0435952394955835	0.228723767789836	0.0190000078479999	0	1
"April 2019 - September 2019"	0.510135591095198	0.225622017884266	0.0390125338792183	0.206229849293318	0.0190000078479999	0	1
"October 2018 - March 2019"	0.48192636422138	0.239111684299818	0.0412880556342053	0.218673887996597	0.0190000078479999	0	1
"April 2018 - September 2018"	0.464211253316198	0.25961803983328	0.0448621937593861	0.212308505243136	0.0190000078479999	0	1
"October 2017 - March 2018"	0.454407003519247	0.265724493624385	0.0436151676437348	0.217253327364634	0.0190000078479999	0	1
"April 2017 - September 2017"	0.457581266018944	0.265273399110753	0.0435501054742557	0.214595221548047	0.0190000078479999	0	1
"October 2016-March 2017"	0.396708168994752	0.29858025421437	0.0557057464140695	0.230005822528809	0.0190000078479999	0	1
"April 2016-September 2016"	0.417295264465328	0.288881386130667	0.0540815813559196	0.220741760200085	0.0190000078479999	0	1
"October 2015- March 2016"	0.48041960013726	0.243693250867985	0.0493225145694605	0.207564626577294	0.0190000078479999	0	1
