"Month Year"	"Exports to GB"	"Exports to NI"	"Price"	"WholesaleValue"
"Apr 2011"	868.7225	231.8455	50000	55028400
"Apr 2012"	508.612	237.768	45000	33587100
"Apr 2013"	1409.587	133.033	51000	78673620
"Apr 2014"	1015.109	91.586	41000	45374495
"Apr 2015"	1289.091	65.401	43000	58243156
"Apr 2016"	634.7935	26.2045	34000	22473932
"Apr 2017"	956.513	53.0305	42000	42400827
"Apr 2018"	1157.676	100.741	50000	62920850
"Apr 2019"	1127.812	111.2545	43000	53279859.5
"Apr 2020"	1033.4235	142.5025	24000	28222224
"Apr 2021"	517.568	170.215	69000	47457027
"Apr 2022"	1144.115	115.998	180000	226820340
"Aug 2010"	606.9945	220.2285	39000	32261697
"Aug 2011"	789.13	109.054	47000	42214648
"Aug 2012"	505.689	171.037	41000	27745766
"Aug 2013"	1017.0965	59.0495	47000	50578862
"Aug 2014"	762.725	8.731	37000	28543872
"Aug 2015"	1033.0625	36.5045	40000	42782680
"Aug 2016"	517.1865	0	36000	18618714
"Aug 2017"	1115.394	20.464	43000	48841894
"Aug 2018"	757.285999999999	87.2545	61000	51516970.4999999
"Aug 2019"	1309.662	140.3235	39000	56549434.5
"Aug 2020"	1040.582	68.79	37000	41046764
"Aug 2021"	805.9335	164.0585	108000	104759136
"Aug 2022"	867.66	34.6555	363000	327540526.5
"Dec 2010"	578.71	289.6915	58000	50367287
"Dec 2011"	1820.14	0	43000	78266020
"Dec 2012"	1467.594	166.762	49000	80083444
"Dec 2013"	2028.7305	136.8655	50000	108279800
"Dec 2014"	1394.353	93.641	43000	63983742
"Dec 2015"	1894.1795	49.063	35000	68013487.5
"Dec 2016"	1203.7205	73.3905	49000	62578439
"Dec 2017"	1637.1185	117.1765	56000	98240520
"Dec 2018"	1160.7095	164.5135	64000	84814272
"Dec 2019"	1894.354	123.1625	39000	78683143.5
"Dec 2020"	2298.6485	84.7255	59000	140619066
"Dec 2021"	1862.067	43.918	262000	499368070
"Dec 2022"	1722.579	93.117	279000	506579184
"Feb 2011"	678.9495	235.112	46000	42046829
"Feb 2012"	1554.0855	143.609	49000	83187030.5
"Feb 2013"	929.72	139.895	51000	54550365
"Feb 2014"	1372.8745	111.743	45000	66807787.5
"Feb 2015"	1344.4845	83.9075	42000	59992464
"Feb 2016"	1495.5165	70.1655	33000	51667506
"Feb 2017"	1076.1595	74.1625	49000	56365778
"Feb 2018"	1384.5965	115.4635	53000	79503180
"Feb 2019"	1645.604	84.196	50000	86490000
"Feb 2020"	2297.8315	58.02	32000	75387248
"Feb 2021"	2100.2085	70.6235	56000	121566592
"Feb 2022"	2354.9725	54.405	166000	399956665
"Jan 2011"	696.8825	300.0885	48000	47854608
"Jan 2012"	1798.6525	38.16	42000	77146125
"Jan 2013"	1225.9635	162.1935	49000	68019693
"Jan 2014"	1732.352	143.821	47000	88180131
"Jan 2015"	1698.473	87.277	39000	69644250
"Jan 2016"	1682.245	42.539	36000	62092224
"Jan 2017"	908.4795	82.304	53000	52511525.5
"Jan 2018"	1738.2135	100.042	50000	91912775
"Jan 2019"	1090.554	186.258	62000	79162344
"Jan 2020"	2406.0855	125.986	35000	88622502.5
"Jan 2021"	1675.2115	87.2415	90000	158620770
"Jan 2022"	2028.752	59.5925	206000	430198967
"Jul 2010"	1113.9565	155.6595	43000	54593488
"Jul 2011"	918.338	153.7605	47000	50388629.5
"Jul 2012"	352.67	155.9835	42000	21363447
"Jul 2013"	1041.6895	138.6365	48000	56655648
"Jul 2014"	484.5905	16.3915	35000	17534370
"Jul 2015"	705.9305	40.3135	42000	31342248
"Jul 2016"	630.0975	0	38000	23943705
"Jul 2017"	1022.385	17.1965	43000	44702004.5
"Jul 2018"	703.0915	76.7065	57000	44448486
"Jul 2019"	894.393999999999	179.9785	41000	44049272.5
"Jul 2020"	1229.605	61.4815	31000	40023681.5
"Jul 2021"	325.0445	215.807	94000	50840041
"Jul 2022"	1097.1725	6.158	261000	287969260.5
"Jun 2010"	656.5595	81.5975	42000	31002594
"Jun 2011"	977.742	235.3745	50000	60655825
"Jun 2012"	301.769	216.7265	42000	21776811
"Jun 2013"	1122.433	132.9965	47000	59005186.5
"Jun 2014"	903.327	95.56	36000	35959932
"Jun 2015"	1096.556	42.051	41000	46682887
"Jun 2016"	347.558	1.372	37000	12910410
"Jun 2017"	904.9125	28.7425	39000	36412545
"Jun 2018"	699.7075	107.4835	54000	43588314
"Jun 2019"	735.871	48.556	39000	30592653
"Jun 2020"	887.319	67.0195	28000	26721478
"Jun 2021"	1154.925	146.888	79000	102843227
"Jun 2022"	1208.231	53.9035	173000	218349268.5
"Mar 2011"	221.939	261.625	51000	24661764
"Mar 2012"	1417.242	287.3325	45000	76705852.5
"Mar 2013"	697.763	143.77	62000	52175046
"Mar 2014"	1354.052	120.814	44000	64894104
"Mar 2015"	1596.486	73.927	40000	66816520
"Mar 2016"	984.885	87.15	34000	36449190
"Mar 2017"	1207.3545	58.2835	41000	51891158
"Mar 2018"	1057.2465	113.1795	56000	65543856
"Mar 2019"	1692.719	127.2805	44000	80079978
"Mar 2020"	1829.6765	110.032	33000	64010380.5
"Mar 2021"	1536.7055	165.4855	57000	97024887
"Mar 2022"	1619.09	115.9505	263000	456315651.5
