"Year","GVA","GDP at Market Prices"
"1998",69337.5921440492,73.829511857907
"1999",70190.463285261,74.395426770123
"2000",72684.887653962,75.85684591857
"2001",76434.190812281,76.626728573645
"2002",80020.518272696,78.524704845422
"2003",85062.436059168,80.458129246016
"2004",90577.371150837,82.759307641895
"2005",96019.838727781,84.420818158503
"2006",102398.659480703,87.147004424744
"2007",106892.508510224,88.371822325867
"2008",111606.753970719,89.121049449926
"2009",111394.988540339,87.119228467935
"2010",111701.300352177,88.487139345355
"2011",114320.683992008,90.172523684618
"2012",118303.358933101,91.356878490491
"2013",123866.900833788,92.923816989457
"2014",129240.531262376,95.742998996862
"2015",131199.175192926,97.05704170126
"2016",133515.557002477,97.163445787022
"2017",139127.658588057,99.19477825605
"2018",142625.986753247,100
"2019",147193.527267694,101.016256515922
"2020",136534.753616597,90.279293370201
"2021",148314.747811404,96.934613875007
