"EmissionYear","Domestic Transport","International Aviation & Shipping"
"1990",13.5641319063455,1.32193471129376
"1995",14.3727027533656,1.47302747852384
"1998",14.728598394656,1.76415918104233
"1999",14.8252032917321,1.59018789877834
"2000",14.2659971150711,1.43764687501807
"2001",13.970205571895,1.55928104414451
"2002",14.4960687999254,1.40080428893973
"2003",14.3102297225911,1.3386943855416
"2004",14.0892339480608,1.51448007905336
"2005",14.1239193046782,1.62421038051384
"2006",13.9993628299627,1.70296540599042
"2007",14.2263378048475,1.75327317507677
"2008",13.6509271576407,1.78808267723994
"2009",13.1211116383243,1.64165576256894
"2010",12.8345153460493,1.44347596719034
"2011",12.2832675250788,1.56628107003172
"2012",12.1139624056909,1.47430557458581
"2013",11.9013885533813,1.54343291913502
"2014",12.0241528549717,1.65971323150034
"2015",12.256527350163,1.72563759645345
"2016",12.600656305971,1.81614005710507
"2017",12.8095053145832,1.9287257485283
"2018",12.6906104577185,1.90196236849989
"2019",12.5232657967764,1.90682076177703
"2020",9.89208275078683,0.820870461399038
"2021",10.9487273349178,0.696204664585261
"BaseYear",13.5641319063455,1.32193471129376
