refPeriod,agriculture,business,energy-supply,industrial-processes,international-aviation-and-shipping,land-use-land-use-change-and-forestry,public,residential,transport,waste-management
1990,8.773554532,11.94584584,21.67456972,1.865748082,1.321934711,6.0371137,2.264788681,7.976999504,13.5641319,6.500980351
1995,8.817315321,10.14945079,24.65255713,0.578216223,1.473027479,4.215815958,2.266286205,7.782313888,14.37270275,6.762024006
1998,8.956807325,9.802835884,25.96548867,0.643152293,1.764159182,2.932955147,2.098290718,7.956920824,14.7285984,6.577453199
1999,8.867202308,10.30674951,23.57366094,0.613362184,1.590187898,2.408006007,2.076101875,7.908364125,14.82520329,6.301120672
2000,8.686164086,10.58396955,26.60773106,0.598401565,1.437646875,2.233818478,1.903270183,7.773850981,14.26599712,6.134914135
2001,8.465574508,10.59956397,25.94607464,0.578533082,1.559281044,1.894110578,1.89767618,8.269031387,13.97020557,5.820369261
2002,8.48140424,9.939886099,23.76586629,0.614673811,1.40080429,1.439040567,1.634213846,7.589263309,14.4960688,5.620177885
2003,8.528307451,10.41706384,23.77895518,0.629862322,1.338694386,1.446736768,1.484581885,7.553919144,14.31022972,5.49798683
2004,8.589223023,10.35740343,21.98759814,0.635742231,1.514480079,1.10119881,1.575507687,7.71634059,14.08923395,4.775763977
2005,8.682438731,10.39548378,20.89386299,0.551137546,1.624210381,0.884298187,1.597123253,7.691328615,14.12391931,4.32539555
2006,8.408364483,10.10104629,24.60242776,0.564533398,1.702965405,0.526289777,1.396348126,7.497408244,13.99936283,3.888126029
2007,8.520748862,9.53714674,21.43982685,0.546888049,1.753273176,0.323140438,1.281616702,7.269581296,14.2263378,3.492231151
2008,8.37589411,9.363672805,20.1937865,0.532532235,1.788082677,0.0872517,1.270799488,7.460525087,13.65092716,3.323601412
2009,8.326149154,8.276770776,18.60107155,0.407235162,1.641655763,0.007671279,1.143189529,7.177960226,13.12111164,2.974712707
2010,8.19145425,8.69865212,20.96424765,0.392941742,1.443475968,-0.033184779,1.22828036,8.007587182,12.83451535,2.718573329
2011,8.030825015,8.282917844,17.02272541,0.452558945,1.566281069,-0.340554817,1.065845852,6.48408184,12.28326752,2.560680628
2012,8.108819968,8.246993894,17.39950762,0.451257816,1.474305575,-0.449259799,1.171131268,7.01829805,12.1139624,2.201816333
2013,7.799164392,8.307884066,15.92766599,0.50113667,1.543432919,-0.07484319,1.051669863,7.058451487,11.90138856,1.532781571
2014,8.027886039,7.757811359,13.87214368,0.539527319,1.659713232,-0.290088637,0.915323072,5.899879003,12.02415285,1.560106657
2015,8.123234155,7.707244943,12.18726575,0.430457062,1.725637597,0.227001326,0.926347438,6.08741611,12.25652735,1.833453281
2016,7.949184123,7.846875261,7.279475197,0.517174692,1.816140056,-0.119115523,0.964444971,6.200120394,12.6006563,1.732596038
2017,7.910507758,8.136823975,5.832958772,0.546974543,1.928725748,-0.105996366,0.927754601,5.97247882,12.80950532,1.79826449
2018,7.812339272,8.113851242,6.664426263,0.530809026,1.901962369,0.438867972,0.955916418,6.173084943,12.69061046,1.719874366
2019,7.787428702,7.803982264,6.168434218,0.516879004,1.906820761,0.947089957,0.949251031,5.933423578,12.52326579,1.670191972
2020,7.676936433,7.952942303,5.343361847,0.41443983,0.820870462,0.318817785,0.876636423,5.874729434,9.892082751,1.469871958
2021,7.825656268,7.730341262,4.850479786,0.440006596,0.696204665,0.358174582,0.917875344,6.298896917,10.94872734,1.545087589
