"Year","WithPAYE","Turnover","GVA","ExportsRUK","ExportsWorld"
NA,NA,NA,NA,"2800","1850"
NA,NA,NA,NA,"3140","1900"
NA,NA,NA,NA,"3225","2070"
NA,NA,NA,NA,"2855","2185"
NA,NA,NA,NA,"3080","2320"
NA,NA,NA,NA,"4230","2780"
NA,NA,"64689.6","28746.6"," 5200.0"," 3255.0"
"61400.0",NA,"52515.0","22510.1"," 7545.0"," 2885.0"
"65300.0",NA,"58150.6","24546.2"," 8645.0"," 3815.0"
"65200.0",NA,"64115.6","25922.9"," 9980.0"," 4995.0"
"63400.0",NA,"55674.5","22941.9"," 9685.0"," 4440.0"
"66000.0",NA,"56948.2","22405.1","10520.0"," 4680.0"
"72000.0",NA,"51655.9","18802.4"," 9265.0"," 4430.0"
"73000.0","73000.0","44112.1","14577.3","11000.0"," 5015.0"
NA,"69000.0","41566.1","14179.8"," 8490.0"," 4775.0"
NA,"69000.0","44220.8","18717.8"," 8635.0"," 5130.0"
NA,"67000.0","41635.2","21430.9"," 9165.0"," 4985.0"
NA,"69000.0","39996.3","19994.6","10650.0"," 4985.0"
NA,"69000.0","33260.8","13614.3",NA,NA
