Quarter,Imports (France to UK),Exports (UK to France),Net imports (France to UK),Imports (Ireland to NI),Exports (NI to Ireland),Net imports (Ireland to NI),Imports (Netherlands to UK),Exports (UK to Netherlands),Net imports (Netherlands to UK),Imports (Ireland to Wales),Exports (Wales to Ireland),Net imports (Ireland to Wales),Imports (Belgium to UK),Exports (UK to Belgium),Net imports (Belgium to UK),Imports (Norway to UK)
Year Q,"Imports 
(France to UK) [note 2]","Exports 
(UK to France) [note 2]","Imports
(Ireland to NI)","Exports
(NI to Ireland)","Imports
(Netherlands to UK)","Exports
(UK to Netherlands)","Imports
(Ireland to Wales)","Exports
(Wales to Ireland)","Imports
(Belgium to UK) [note 3]","Exports
(UK to Belgium) [note 3]",UK total imports,UK total exports,"Transfers 
(Scotland to England) [note 5]","Transfers 
(England to Scotland) [note 5]","Transfers 
(Scotland to NI)","Transfers 
(NI to Scotland)"
1998 Q1,4216.46,0,7.9109999999999996,10.308,[x],[x],[x],[x],[x],[x],4224.3710000000001,10.308,[x],[x],[x],[x]
1998 Q2,3969.31,0,23.198,14.087999999999999,[x],[x],[x],[x],[x],[x],3992.5079999999998,14.087999999999999,[x],[x],[x],[x]
1998 Q3,880.71500000000003,0,9.2170000000000005,43.015999999999998,[x],[x],[x],[x],[x],[x],889.93200000000002,43.015999999999998,[x],[x],[x],[x]
1998 Q4,3720.8870000000002,0,11.631,63.167999999999999,[x],[x],[x],[x],[x],[x],3732.518,63.167999999999999,[x],[x],[x],[x]
1999 Q1,3638.8,0,6.9059999999999997,24.189,[x],[x],[x],[x],[x],[x],3645.7060000000001,24.189,[x],[x],[x],[x]
1999 Q2,3741.98,0,6.1150000000000002,39.648000000000003,[x],[x],[x],[x],[x],[x],3748.0949999999998,39.648000000000003,[x],[x],[x],[x]
1999 Q3,3415.45,0,3.847,124.863,[x],[x],[x],[x],[x],[x],3419.297,124.863,[x],[x],[x],[x]
1999 Q4,3688.26,0,5.859,74.153999999999996,[x],[x],[x],[x],[x],[x],3694.1190000000001,74.153999999999996,[x],[x],[x],[x]
2000 Q1,3259.14,0.93,5.952,26.780999999999999,[x],[x],[x],[x],[x],[x],3265.0920000000001,27.710999999999999,3301.11,0,[x],[x]
2000 Q2,3785.87,0,9.84,16.253,[x],[x],[x],[x],[x],[x],3795.71,16.253,2667.98,9.92,[x],[x]
2000 Q3,3760.53,0,5.9219999999999997,45.758000000000003,[x],[x],[x],[x],[x],[x],3766.4520000000002,45.758000000000003,1955.66,0.1,[x],[x]
2000 Q4,3461.7,0,19.289000000000001,44.323,[x],[x],[x],[x],[x],[x],3480.989,44.323,1657.22,10.63,[x],[x]
