"Year","Category","Country","Estimate","Lower CI","Upper CI","CV"
2014,"Number of businesses","UK","93500","80000","106500","7"
2014,"Number of businesses","England","83500","70500","96000","8"
2014,"Number of businesses","Scotland","11500","8000","14500","15"
2014,"Number of businesses","Wales","7000","4500","9500","20"
2014,"Number of businesses","Northern Ireland","3500","1500","5000","28"
2014,"Turnover","UK","43699500","40819000","46580000","3"
2014,"Turnover","England","34652000","32053000","37251500","4"
2014,"Turnover","Scotland","5853000","4959000","6746500","8"
2014,"Turnover","Wales","2047000","1655500","2439000","10"
2014,"Turnover","Northern Ireland","1147500","987500","1307500","7"
2014,"Employment (full time equivalent)","UK","235900","210600","261200","5"
2014,"Employment (full time equivalent)","England","196100","171900","220300","6"
2014,"Employment (full time equivalent)","Scotland","23200","18800","27600","10"
2014,"Employment (full time equivalent)","Wales","10000","7400","12600","13"
2014,"Employment (full time equivalent)","Northern Ireland","6600","4600","8700","16"
2014,"Exports","UK","4469500","4093500","4845500","4"
2014,"Exports","England","3714000","3343500","4084500","5"
2014,"Exports","Scotland","295000","265000","325500","5"
2014,"Exports","Wales","328500","325500","332000","0"
2014,"Exports","Northern Ireland","131500","124500","139000","3"
2014,"Imports","UK","5458500","4567000","6350000","8"
2014,"Imports","England","4621000","3892000","5350000","8"
2014,"Imports","Scotland","373000","231000","515000","19"
2014,"Imports","Wales","294000","220000","367500","13"
2014,"Imports","Northern Ireland","170500","143000","198000","8"
2014,"Aquisitions","UK","8316000","6624500","10008000","10"
2014,"Aquisitions","England","6691500","5036500","8346500","13"
2014,"Aquisitions","Scotland","1197000","869000","1525500","14"
2014,"Aquisitions","Wales","278000","155500","400000","22"
2014,"Aquisitions","Northern Ireland","150000","113000","186500","13"
2014,"Disposals","UK","378500","132000","625500","33"
2014,"Disposals","England","349500","104000","595000","36"
2014,"Disposals","Scotland","11500","8000","14500","15"
2014,"Disposals","Wales","8000","1500","14500","41"
2014,"Disposals","Northern Ireland","10000","-5000","24500","76"
2015,"Number of businesses","UK","105500","76000","135000","14"
2015,"Number of businesses","England","92500","64000","121500","16"
2015,"Number of businesses","Scotland","18000","9000","26500","25"
2015,"Number of businesses","Wales","4500","2000","6500","26"
2015,"Number of businesses","Northern Ireland","4000","-2000","9500","74"
2015,"Turnover","UK","40234500","37340500","43128500","4"
2015,"Turnover","England","31993500","29305500","34682000","4"
2015,"Turnover","Scotland","5525000","5042500","6008000","4"
2015,"Turnover","Wales","1789000","1574500","2003500","6"
2015,"Turnover","Northern Ireland","926500","761500","1092000","9"
2015,"Employment (full time equivalent)","UK","200500","176800","224100","6"
2015,"Employment (full time equivalent)","England","163000","141500","184500","7"
2015,"Employment (full time equivalent)","Scotland","22800","16400","29200","14"
2015,"Employment (full time equivalent)","Wales","10200","7100","13300","15"
2015,"Employment (full time equivalent)","Northern Ireland","4400","3800","5000","7"
2015,"Exports","UK","3665500","3425000","3906500","3"
2015,"Exports","England","3090500","2856000","3325000","4"
2015,"Exports","Scotland","225500","219000","232500","2"
2015,"Exports","Wales","300500","295000","306000","1"
2015,"Exports","Northern Ireland","49000","41000","57000","8"
2015,"Imports","UK","4442500","4274000","4610500","2"
2015,"Imports","England","3751500","3604500","3898500","2"
2015,"Imports","Scotland","337500","286500","388500","8"
2015,"Imports","Wales","268500","246500","290500","4"
2015,"Imports","Northern Ireland","85000","78500","91500","4"
2015,"Aquisitions","UK","5456500","4650000","6263000","8"
2015,"Aquisitions","England","3606000","3070000","4142500","8"
2015,"Aquisitions","Scotland","1300000","858500","1741000","17"
2015,"Aquisitions","Wales","446500","139500","753500","35"
2015,"Aquisitions","Northern Ireland","104000","82500","125500","11"
2015,"Disposals","UK","437500","-26500","901500","54"
2015,"Disposals","England","417500","-46500","881500","57"
2015,"Disposals","Scotland","9000","5000","13000","22"
2015,"Disposals","Wales","c","c","c","c"
2015,"Disposals","Northern Ireland","c","c","c","c"
2016,"Number of businesses","UK","84500","68000","101000","10"
2016,"Number of businesses","England","70000","54000","85500","11"
2016,"Number of businesses","Scotland","9000","5000","13000","23"
2016,"Number of businesses","Wales","9000","4000","13500","27"
2016,"Number of businesses","Northern Ireland","4500","500","8500","45"
2016,"Turnover","UK","41399500","37886000","44913000","4"
2016,"Turnover","England","32199500","29144000","35255000","5"
2016,"Turnover","Scotland","5941500","5164500","6718500","7"
2016,"Turnover","Wales","2358000","1488000","3228000","19"
2016,"Turnover","Northern Ireland","900500","744500","1056500","9"
2016,"Employment (full time equivalent)","UK","210200","184200","236300","6"
2016,"Employment (full time equivalent)","England","167200","143800","190600","7"
2016,"Employment (full time equivalent)","Scotland","24000","18400","29600","12"
2016,"Employment (full time equivalent)","Wales","12900","7000","18700","23"
2016,"Employment (full time equivalent)","Northern Ireland","6200","4700","7700","13"
2016,"Exports","UK","3639000","3224000","4054500","6"
2016,"Exports","England","3006000","2629500","3382500","6"
2016,"Exports","Scotland","279000","261000","297000","3"
2016,"Exports","Wales","207000","153000","260500","13"
2016,"Exports","Northern Ireland","147500","101000","193500","16"
2016,"Imports","UK","6152500","5210500","7094500","8"
2016,"Imports","England","5127500","4271500","5983500","9"
2016,"Imports","Scotland","508500","382000","634500","13"
2016,"Imports","Wales","244000","196000","292500","10"
2016,"Imports","Northern Ireland","272500","-11000","556000","53"
2016,"Aquisitions","UK","8505000","6110500","10899500","14"
2016,"Aquisitions","England","5697000","3596500","7797500","19"
2016,"Aquisitions","Scotland","1744000","930000","2558000","24"
2016,"Aquisitions","Wales","298000","125500","470500","30"
2016,"Aquisitions","Northern Ireland","766000","-63500","1595500","55"
2016,"Disposals","UK","287000","220500","354000","12"
2016,"Disposals","England","237000","178000","296000","13"
2016,"Disposals","Scotland","34500","13500","56000","31"
2016,"Disposals","Wales","13500","3000","24000","40"
2016,"Disposals","Northern Ireland","2000","~","4500","61"
2017,"Number of businesses","UK","83500","73500","93000","6"
2017,"Number of businesses","England","69000","60000","78500","7"
2017,"Number of businesses","Scotland","10500","8500","12500","10"
2017,"Number of businesses","Wales","9000","5500","12500","19"
2017,"Number of businesses","Northern Ireland","3500","2500","4500","14"
2017,"Turnover","UK","44021500","41524000","46519500","3"
2017,"Turnover","England","35325500","32977000","37674000","3"
2017,"Turnover","Scotland","5926500","5510500","6342500","4"
2017,"Turnover","Wales","1796500","1562500","2031000","7"
2017,"Turnover","Northern Ireland","972500","847000","1098500","7"
2017,"Employment (full time equivalent)","UK","217200","198700","235800","4"
2017,"Employment (full time equivalent)","England","179800","162000","197600","5"
2017,"Employment (full time equivalent)","Scotland","21800","19200","24400","6"
2017,"Employment (full time equivalent)","Wales","9700","8200","11300","8"
2017,"Employment (full time equivalent)","Northern Ireland","5900","4700","7100","10"
2017,"Exports","UK","5031000","4572000","5490500","5"
2017,"Exports","England","4195500","3738500","4652500","6"
2017,"Exports","Scotland","352000","342500","361500","1"
2017,"Exports","Wales","259500","234500","284000","5"
2017,"Exports","Northern Ireland","224500","213000","236500","3"
2017,"Imports","UK","5786000","5302500","6269500","4"
2017,"Imports","England","4884500","4496000","5273500","4"
2017,"Imports","Scotland","477000","357000","597000","13"
2017,"Imports","Wales","312500","284500","341000","5"
2017,"Imports","Northern Ireland","111500","90000","133000","10"
2017,"Aquisitions","UK","5812000","4920500","6703500","8"
2017,"Aquisitions","England","3908000","3224500","4591000","9"
2017,"Aquisitions","Scotland","1479500","949500","2009500","18"
2017,"Aquisitions","Wales","151500","64500","238500","29"
2017,"Aquisitions","Northern Ireland","273500","167500","380000","20"
2017,"Disposals","UK","177500","144000","211000","10"
2017,"Disposals","England","119500","98000","140500","9"
2017,"Disposals","Scotland","51000","25500","76500","26"
2017,"Disposals","Wales","4500","3500","5000","10"
2017,"Disposals","Northern Ireland","2500","2000","3500","14"
2018,"Number of businesses","UK","89000","72500","105500","9"
2018,"Number of businesses","England","74000","59500","88500","10"
2018,"Number of businesses","Scotland","10000","6500","13000","16"
2018,"Number of businesses","Wales","11000","1500","21000","45"
2018,"Number of businesses","Northern Ireland","3000","1500","4500","26"
2018,"Turnover","UK","46338500","42869000","49807500","4"
