"Year","Category","Sector","Country","Estimate","Lower CI","Upper CI","CV"
2014,"Number of businesses","All groups","UK",93500,80000,106500,"7.18"
2014,"Number of businesses","All groups","England",83500,70500,96000,"7.9"
2014,"Number of businesses","All groups","Scotland",11500,8000,14500,"14.7"
2014,"Number of businesses","All groups","Wales",7000,4500,9500,"19.7"
2014,"Number of businesses","All groups","Northern Ireland",3500,1500,5000,"27.66"
2014,"Number of businesses","Low carbon electricity","UK",28500,18000,39500,"19.05"
2014,"Number of businesses","Low carbon electricity","England",24000,13500,34500,"22.5"
2014,"Number of businesses","Low carbon electricity","Scotland",4500,2500,6000,"22.83"
2014,"Number of businesses","Low carbon electricity","Wales",2000,1000,3000,"24.75"
2014,"Number of businesses","Low carbon electricity","Northern Ireland",NA,NA,NA,"18.11"
2014,"Number of businesses","Low carbon heat","UK",6000,3500,8500,"20.239999999999998"
2014,"Number of businesses","Low carbon heat","England",5500,3000,7500,"21.83"
2014,"Number of businesses","Low carbon heat","Scotland",NA,NA,NA,"45.22"
2014,"Number of businesses","Low carbon heat","Wales",NA,NA,NA,"69.36"
2014,"Number of businesses","Low carbon heat","Northern Ireland",NA,NA,NA,"37.229999999999997"
2014,"Number of businesses","Energy from waste and biomass","UK",6500,4000,9000,"20.62"
2014,"Number of businesses","Energy from waste and biomass","England",5000,2500,7500,"24.76"
2014,"Number of businesses","Energy from waste and biomass","Scotland",NA,NA,NA,"34.42"
2014,"Number of businesses","Energy from waste and biomass","Wales",NA,NA,NA,"52"
2014,"Number of businesses","Energy from waste and biomass","Northern Ireland",NA,NA,NA,"46.19"
2014,"Number of businesses","Energy efficient products","UK",54500,47500,62000,"6.63"
2014,"Number of businesses","Energy efficient products","England",50000,43000,57000,"7.06"
2014,"Number of businesses","Energy efficient products","Scotland",4500,3000,6500,"19.13"
2014,"Number of businesses","Energy efficient products","Wales",2500,1500,3500,"24.25"
2014,"Number of businesses","Energy efficient products","Northern Ireland",2000,1000,2500,"22.51"
2014,"Number of businesses","Low carbon services","UK",6000,3000,9500,"25.61"
2014,"Number of businesses","Low carbon services","England",5500,2500,8500,"27.77"
2014,"Number of businesses","Low carbon services","Scotland",NA,NA,NA,"50.41"
2014,"Number of businesses","Low carbon services","Wales",NA,NA,NA,"44.02"
2014,"Number of businesses","Low carbon services","Northern Ireland",1000,-500,2500,"88.43"
2014,"Number of businesses","Low emission vehicles","UK",2000,1000,3000,"28.37"
2014,"Number of businesses","Low emission vehicles","England",2000,500,3000,"29.81"
2014,"Number of businesses","Low emission vehicles","Scotland",NA,NA,NA,"71.13"
2014,"Number of businesses","Low emission vehicles","Wales",NA,NA,NA,"52.81"
2014,"Number of businesses","Low emission vehicles","Northern Ireland",NA,NA,NA,"15.76"
2014,"Turnover","All groups","UK",43699500,40819000,46580000,"3.36"
2014,"Turnover","All groups","England",34652000,32053000,37251500,"3.83"
2014,"Turnover","All groups","Scotland",5853000,4959000,6746500,"7.79"
2014,"Turnover","All groups","Wales",2047000,1655500,2439000,"9.76"
2014,"Turnover","All groups","Northern Ireland",1147500,987500,1307500,"7.12"
2014,"Turnover","Low carbon electricity","UK",13161500,12062500,14260500,"4.26"
2014,"Turnover","Low carbon electricity","England",8940000,8012000,9868000,"5.3"
2014,"Turnover","Low carbon electricity","Scotland",3025500,2701000,3350000,"5.47"
2014,"Turnover","Low carbon electricity","Wales",828500,459500,1197500,"22.73"
2014,"Turnover","Low carbon electricity","Northern Ireland",367500,277000,457500,"12.53"
2014,"Turnover","Low carbon heat","UK",936000,652500,1219500,"15.44"
2014,"Turnover","Low carbon heat","England",686500,460000,913000,"16.850000000000001"
2014,"Turnover","Low carbon heat","Scotland",171500,18000,325000,"45.68"
2014,"Turnover","Low carbon heat","Wales",50000,24500,76000,"26.28"
2014,"Turnover","Low carbon heat","Northern Ireland",28000,24500,31500,"6.5"
2014,"Turnover","Energy from waste and biomass","UK",4895000,4108000,5681500,"8.1999999999999993"
2014,"Turnover","Energy from waste and biomass","England",4315000,3683500,4946000,"7.46"
2014,"Turnover","Energy from waste and biomass","Scotland",369500,203000,536000,"22.99"
2014,"Turnover","Energy from waste and biomass","Wales",137000,73500,200500,"23.66"
2014,"Turnover","Energy from waste and biomass","Northern Ireland",73500,49000,98000,"17.02"
2014,"Turnover","Energy efficient products","UK",19982000,17535500,22428500,"6.25"
2014,"Turnover","Energy efficient products","England",16735500,14488500,18982500,"6.85"
2014,"Turnover","Energy efficient products","Scotland",2143000,1316500,2969000,"19.670000000000002"
2014,"Turnover","Energy efficient products","Wales",714500,621500,807500,"6.65"
2014,"Turnover","Energy efficient products","Northern Ireland",389500,260000,519000,"16.98"
2014,"Turnover","Low carbon services","UK",1144000,546000,1742000,"26.67"
2014,"Turnover","Low carbon services","England",983000,396500,1570000,"30.45"
2014,"Turnover","Low carbon services","Scotland",NA,NA,NA,"c"
2014,"Turnover","Low carbon services","Wales",NA,NA,NA,"c"
2014,"Turnover","Low carbon services","Northern Ireland",13000,1500,25000,"45.3"
2014,"Turnover","Low emission vehicles","UK",3581000,3493500,3668000,"1.24"
2014,"Turnover","Low emission vehicles","England",2992000,2910000,3074500,"1.4"
2014,"Turnover","Low emission vehicles","Scotland",NA,NA,NA,"c"
2014,"Turnover","Low emission vehicles","Wales",NA,NA,NA,"c"
2014,"Turnover","Low emission vehicles","Northern Ireland",276000,275000,277000,"0.18"
2014,"Employment (full time equivalent)","All groups","UK",235900,210600,261200,"5.47"
2014,"Employment (full time equivalent)","All groups","England",196100,171900,220300,"6.3"
2014,"Employment (full time equivalent)","All groups","Scotland",23200,18800,27600,"9.73"
2014,"Employment (full time equivalent)","All groups","Wales",10000,7400,12600,"13.28"
2014,"Employment (full time equivalent)","All groups","Northern Ireland",6600,4600,8700,"15.86"
2014,"Employment (full time equivalent)","Low carbon electricity","UK",40800,33100,48600,"9.65"
2014,"Employment (full time equivalent)","Low carbon electricity","England",31700,24300,39100,"11.9"
2014,"Employment (full time equivalent)","Low carbon electricity","Scotland",6800,5800,7900,"7.68"
2014,"Employment (full time equivalent)","Low carbon electricity","Wales",1500,1100,1900,"13.85"
2014,"Employment (full time equivalent)","Low carbon electricity","Northern Ireland",800,600,900,"9.4499999999999993"
2014,"Employment (full time equivalent)","Low carbon heat","UK",5900,3600,8300,"20.149999999999999"
2014,"Employment (full time equivalent)","Low carbon heat","England",4600,2600,6600,"21.91"
2014,"Employment (full time equivalent)","Low carbon heat","Scotland",1000,-200,2200,"59.4"
2014,"Employment (full time equivalent)","Low carbon heat","Wales",NA,NA,NA,"22.04"
2014,"Employment (full time equivalent)","Low carbon heat","Northern Ireland",NA,NA,NA,"14.99"
2014,"Employment (full time equivalent)","Energy from waste and biomass","UK",12200,8300,16100,"16.34"
2014,"Employment (full time equivalent)","Energy from waste and biomass","England",10000,6600,13300,"17.14"
2014,"Employment (full time equivalent)","Energy from waste and biomass","Scotland",1700,500,2900,"36.17"
2014,"Employment (full time equivalent)","Energy from waste and biomass","Wales",NA,NA,NA,"c"
2014,"Employment (full time equivalent)","Energy from waste and biomass","Northern Ireland",NA,NA,NA,"c"
2014,"Employment (full time equivalent)","Energy efficient products","UK",154900,132400,177400,"7.42"
