"","County","Planning Authority","Ref ID","Technology Type","Development Status (short)","Operational","Installed Capacity (MWelec)","No. of Turbines","LA","LACode"
"1","Aberdeenshire","Cairngorms National Park Authority",6564,"Small Hydro","Operational",2020-04-01,2,0,"Aberdeenshire","S12000034"
"2","Aberdeenshire","Scottish Government (S36)",10993,"Solar Photovoltaics","Awaiting Construction",NA,60.1,0,"Aberdeenshire","S12000034"
"3","Aberdeenshire","Scottish Government (S36)",6057,"Wind Onshore","Application Submitted",NA,104,26,"Aberdeenshire","S12000034"
"4","Angus","Dundee Council",12888,"Solar Photovoltaics","Awaiting Construction",NA,0.18,0,"Offshore",NA
"5","Argyll and Bute","Scottish Government (S36)",8000,"Wind Onshore","Application Submitted",NA,60,12,"Argyll and Bute","S12000035"
"6","Argyll and Bute","Scottish Government (S36)",7345,"Wind Onshore","Awaiting Construction",NA,48,10,"Argyll and Bute","S12000035"
"7","Argyll and Bute","Scottish Government (S36)",10711,"Solar Photovoltaics","Application Submitted",NA,5,0,"Argyll and Bute","S12000035"
"8","Argyll and Bute","Scottish Government (S36)",6464,"Wind Onshore","Awaiting Construction",NA,58.8,14,"Argyll and Bute","S12000035"
"9","Argyll and Bute","Scottish Government (S36)",7472,"Wind Onshore","Application Submitted",NA,95.2,17,"Argyll and Bute","S12000035"
"10","Argyll and Bute","Loch Lomond and The Trossachs National Park Authority",450,"Small Hydro","Operational",2016-09-08,1.4,0,"Argyll and Bute","S12000035"
"11","Argyll and Bute","Scottish Government (S36)",6405,"Wind Onshore","Awaiting Construction",NA,57.8,17,"Argyll and Bute","S12000035"
"12","Argyll and Bute","Scottish Government (S36)",6734,"Wind Onshore","Awaiting Construction",NA,80,16,"Argyll and Bute","S12000035"
"13","Argyll and Bute","Scottish Government (S36)",7873,"Wind Onshore","Application Submitted",NA,78,13,"Argyll and Bute","S12000035"
"14","Argyll And Bute","Argyll & Bute Council",9662,"Wind Onshore","Application Submitted",NA,49.5,11,"Offshore",NA
"15","Ayrshire","Scottish Government (S36)",10541,"Solar Photovoltaics","Application Submitted",NA,63,0,"Offshore",NA
"16","Ayrshire","Scottish Government (S36)",7877,"Wind Onshore","Application Submitted",NA,92,14,"Offshore",NA
"17","Borders","Scottish Government (S36)",8921,"Wind Onshore","Application Submitted",NA,409,62,"Scottish Borders","S12000026"
"18","Borders","Scottish Government (S36)",3114,"Wind Onshore","Operational",2004-06-30,62.5,25,"Scottish Borders","S12000026"
"19","Borders","Scottish Government (S36)",4631,"Wind Onshore","Awaiting Construction",NA,48,11,"Scottish Borders","S12000026"
"20","Borders","Scottish Government (S36)",3536,"Wind Onshore","Operational",2010-10-25,20.7,9,"Scottish Borders","S12000026"
"21","Borders","Scottish Government (S36)",3440,"Wind Onshore","Operational",2010-10-25,138,60,"Scottish Borders","S12000026"
"22","Borders","Scottish Government (S36)",9953,"Wind Onshore","Application Submitted",NA,75,14,"Scottish Borders","S12000026"
"23","Borders","Scottish Government (S36)",4059,"Wind Onshore","Operational",2013-03-31,144,48,"Scottish Borders","S12000026"
"24","Borders","Scottish Government (S36)",4591,"Wind Onshore","Operational",2021-11-01,75.5,18,"Scottish Borders","S12000026"
"25","Borders","Scottish Government (S36)",11441,"Solar Photovoltaics","Application Submitted",NA,34,0,"Scottish Borders","S12000026"
"26","Borders","Scottish Government (S36)",4215,"Wind Onshore","Operational",2016-12-22,13.8,6,"Scottish Borders","S12000026"
"27","Dumfries and Galloway","Dumfries & Galloway Council",14030,"Solar Photovoltaics","Application Submitted",NA,0.764,0,"Dumfries and Galloway","S12000006"
"28","Dumfries and Galloway","Dumfries & Galloway Council",12775,"Solar Photovoltaics","Application Submitted",NA,0.2,0,"Dumfries and Galloway","S12000006"
"29","Dumfries and Galloway","Dumfries & Galloway Council",12294,"Wind Onshore","Application Submitted",NA,0,9,"Dumfries and Galloway","S12000006"
"30","Dumfries and Galloway","Scottish Government (S36)",10539,"Wind Onshore","Application Submitted",NA,49.6,8,"Dumfries and Galloway","S12000006"
"31","Dumfries and Galloway","Scottish Government (S36)",7851,"Solar Photovoltaics","Awaiting Construction",NA,20,0,"Dumfries and Galloway","S12000006"
"32","Dumfries and Galloway","Scottish Government (S36)",10999,"Wind Onshore","Application Submitted",NA,126,21,"Dumfries and Galloway","S12000006"
"33","Dumfries and Galloway","Scottish Government (S36)",3586,"Wind Onshore","Application Submitted",NA,126,21,"Dumfries and Galloway","S12000006"
"34","Dumfries and Galloway","Scottish Government (S36)",3417,"Wind Onshore","Application Submitted",NA,78.6,30,"Dumfries and Galloway","S12000006"
"35","Dumfries and Galloway","Scottish Government (S36)",7868,"Wind Onshore","Application Submitted",NA,45,8,"Dumfries and Galloway","S12000006"
"36","Dumfries and Galloway","Dumfries & Galloway Council",12889,"Solar Photovoltaics","Application Submitted",NA,0.3,0,"Dumfries and Galloway","S12000006"
"37","Dumfries and Galloway","Scottish Government (S36)",6703,"Wind Onshore","Under Construction",NA,81.6,24,"Dumfries and Galloway","S12000006"
"38","Dumfries and Galloway","Scottish Government (S36)",13237,"Wind Onshore","Application Submitted",NA,96,14,"Dumfries and Galloway","S12000006"
"39","Dumfries and Galloway","Dumfries & Galloway Council",12835,"Solar Photovoltaics","Awaiting Construction",NA,0.16,0,"Dumfries and Galloway","S12000006"
"40","Dumfries and Galloway","Scottish Government (S36)",3627,"Wind Onshore","Operational",2017-01-15,36.8,16,"Dumfries and Galloway","S12000006"
"41","Dumfries and Galloway","Scottish Government (S36)",4015,"Wind Onshore","Operational",2016-05-30,13.8,6,"Dumfries and Galloway","S12000006"
"42","Dumfries and Galloway","Scottish Government (S36)",6600,"Wind Onshore","Awaiting Construction",NA,84,20,"Dumfries and Galloway","S12000006"
"43","Dumfries and Galloway","Dumfries & Galloway Council",13151,"Wind Onshore","Awaiting Construction",NA,0.25,1,"Dumfries and Galloway","S12000006"
"44","Dumfries and Galloway","Dumfries & Galloway Council",12105,"Wind Onshore","Application Submitted",NA,20,8,"Dumfries and Galloway","S12000006"
"45","Dumfries and Galloway","Scottish Government (S36)",4386,"Wind Onshore","Operational",2017-12-15,239,96,"Dumfries and Galloway","S12000006"
"46","Dumfries and Galloway","Scottish Government (S36)",7340,"Wind Onshore","Awaiting Construction",NA,62,11,"Dumfries and Galloway","S12000006"
"47","Dumfries and Galloway","Scottish Government (S36)",4032,"Wind Onshore","Operational",2018-03-02,53,23,"Dumfries and Galloway","S12000006"
"48","Dumfries and Galloway","Dumfries & Galloway Council",13462,"Anaerobic Digestion","Awaiting Construction",NA,0,0,"Dumfries and Galloway","S12000006"
"49","Dumfries and Galloway","Scottish Government (S36)",7454,"Wind Onshore","Application Submitted",NA,525,75,"Dumfries and Galloway","S12000006"
"50","Dumfries and Galloway","Scottish Government (S36)",7871,"Wind Onshore","Awaiting Construction",NA,67.2,12,"Dumfries and Galloway","S12000006"
"51","Dumfries and Galloway","Dumfries & Galloway",12238,"Solar Photovoltaics","Awaiting Construction",NA,0,0,"Dumfries and Galloway","S12000006"
"52","Dumfries and Galloway","Dumfries & Galloway Council",14032,"Wind Onshore","Application Submitted",NA,0.33,1,"Dumfries and Galloway","S12000006"
"53","Dumfries and Galloway","Scottish Government (S36)",6629,"Wind Onshore","Application Submitted",NA,308,44,"Dumfries and Galloway","S12000006"
"54","Dumfries and Galloway","Scottish Government (S36)",10537,"Wind Onshore","Application Submitted",NA,99.4,15,"Dumfries and Galloway","S12000006"
"55","Dumfries and Galloway","Scottish Government (S36)",4615,"Wind Onshore","Awaiting Construction",NA,67.5,25,"Dumfries and Galloway","S12000006"
"56","Dumfries and Galloway","Scottish Government (S36)",6432,"Wind Onshore","Awaiting Construction",NA,67.2,14,"Dumfries and Galloway","S12000006"
"57","Dumfries and Galloway","Scottish Government (S36)",12079,"Wind Onshore","Application Submitted",NA,21.6,6,"Dumfries and Galloway","S12000006"
"58","Dumfries and Galloway","Dumfries & Galloway Council",13646,"Wind Onshore","Application Submitted",NA,0,9,"Dumfries and Galloway","S12000006"
"59","Dumfries and Galloway","Scottish Government (S36)",11065,"Wind Onshore","Application Submitted",NA,85.5,13,"Dumfries and Galloway","S12000006"
"60","Dumfries and Galloway","Scottish Government (S36)",4431,"Wind Onshore","Operational",2017-06-15,90,30,"Dumfries and Galloway","S12000006"
"61","Dumfries and Galloway","Scottish Government (S36)",4119,"Wind Onshore","Operational",2014-07-01,136,68,"Dumfries and Galloway","S12000006"
"62","Dumfries and Galloway","Scottish Government (S36)",6459,"Wind Onshore","Application Submitted",NA,315,45,"Dumfries and Galloway","S12000006"
"63","East Ayrshire","Scottish Government (S36)",11675,"Solar Photovoltaics","Application Submitted",NA,20,0,"East Ayrshire","S12000008"
"64","East Ayrshire","Scottish Government (S36)",8492,"Wind Onshore","Application Submitted",NA,66,11,"East Ayrshire","S12000008"
"65","East Ayrshire","Scottish Government (S36)",4480,"Wind Onshore","Awaiting Construction",NA,85.5,19,"East Ayrshire","S12000008"
"66","East Ayrshire","Scottish Government (S36)",3503,"Wind Onshore","Under Construction",NA,72,18,"East Ayrshire","S12000008"
"67","East Ayrshire","Scottish Government (S36)",6827,"Wind Onshore","Awaiting Construction",NA,105.6,22,"East Ayrshire","S12000008"
"68","East Ayrshire","Scottish Government (S36)",10468,"Wind Onshore","Application Submitted",NA,60,12,"East Ayrshire","S12000008"
