"Year"	"LACode"	"LAName"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
"2014"	"S12000033"	"Aberdeen City"	0.000937	0	0.00062	0.004347	0	0.004385	0.010289
"2014"	"S12000034"	"Aberdeenshire"	0.419956	0	0.000315	0.017404	0	0.006849	0.444525
"2014"	"S12000041"	"Angus"	0.014706	0	0.001189	0.008644	0	0.003783	0.028321
"2014"	"S12000035"	"Argyll & Bute"	0.240315	0	0.279751	0.004242	5e-04	0	0.524808
"2014"	"S12000005"	"Clackmannanshire"	0.030111	0	0.000163	0.002048	0	0	0.032322
"2014"	"S12000006"	"Dumfries & Galloway"	0.336401	0.18	0.150813	0.010812	0	0.056267	0.734293
"2014"	"S12000042"	"Dundee City"	0.000106	0	0.00035	0.002508	0	0.0105	0.013464
"2014"	"S12000008"	"East Ayrshire"	0.232818	0	5.3e-05	0.003634	0	0.005877	0.242382
"2014"	"S12000045"	"East Dunbartonshire"	1.1e-05	0	0	0.002132	0	0	0.002143
"2014"	"S12000010"	"East Lothian"	0.050073	0	2.9e-05	0.003873	0	0.007	0.060976
"2014"	"S12000011"	"East Renfrewshire"	0.370343	0	0	0.00131	0	0	0.371653
"2014"	"S12000036"	"Edinburgh City of"	0.004136	0	1.3e-05	0.000853	0	0.006629	0.011631
"2014"	"S12000013"	"Eilean Siar"	0.029736	0	0.002195	0.004071	0	0.000736	0.036738
"2014"	"S12000014"	"Falkirk"	0.000397	0	0	0.003091	0	0.01208	0.015567
"2014"	"S12000047"	"Fife"	0.059176	0.00735	0.00124	0.011859	0	0.095579	0.175204
"2014"	"S12000049"	"Glasgow City"	0.003208	0	0	0.00594	0	0.013214	0.022362
"2014"	"S12000017"	"Highland"	0.842789	0	0.726824	0.012952	0	0.013866	1.596431
"2014"	"S12000018"	"Inverclyde"	0.001028	0	7.7e-05	0.000979	0	0	0.002085
"2014"	"S12000019"	"Midlothian"	0.032909	0	0.000394	0.002701	0	0.00493	0.040934
"2014"	"S12000020"	"Moray"	0.281431	0.01	0.000122	0.0054	0	0.009764	0.306717
