Year,Onshore Wind,Offshore Wind,Shoreline wave / tidal,Solar photovoltaics,Hydro,Landfill gas,Sewage sludge digestion,Other Biomass,Total
2000,216.7,NA,NA,NA,4665.3,NA,NA,89.6,4971.6
2001,245.2,NA,NA,NA,3737.5,NA,NA,219.7,4202.4
2002,406.1,NA,NA,NA,4455.4,NA,NA,237.1,5098.6
2003,448.9,NA,NA,NA,2902,NA,NA,373.5,3724.4
2004,848.4,NA,NA,NA,4474.8,NA,NA,509,5832.2
2005,1280.9,NA,NA,NA,4612.2,NA,NA,592.6,6485.7
2006,2022.9,NA,NA,NA,4224.9,NA,NA,707.749,6955.549
2007,2631.5,12.5,NA,NA,4692.94,NA,NA,666.25435,8003.19435
2008,3331.5,30,0.036211,0.01219392,4704.47386,NA,NA,992.4296392,9058.451904
2009,4435.2,119.9,0.063659,0.006136483,4858.903223,NA,NA,1168.307671,10582.38069
2010,4370.5,502.1,0.0446652,0.777569784,3258.107652,NA,NA,1287.572341,9419.102229
2011,6652.53,603.63,0.45999999999999996,8.690000000000001,5329.64,525.39,35.62,712.84,13868.8
2012,7751.82,539.85,0.73,69.95,4846.58,552.8399999999999,37.06,868.35,14667.21
2013,10564.45,586.75,1.3900000000000001,95.92,4369.47,562.9,30.64,778.13,16989.64
2014,11130.79,569.23,2.14,143.16,5483.6,533.03,27.66,1155.4299999999998,19045.059999999998
2015,13339.43,538.5699999999999,1.99,185.23000000000002,5814.03,503.43,26.18,1333.96,21742.83
2016,11913.27,502.43,0.01,246.52,4915.78,492.81,31.99,1372.78,19475.58
2017,16586.99,614.16,4.19,289.57,5356.2,445.48,35.96,1968.85,25301.379999999997
2018,17902.39,1208.71,9.3,331.78,4997.29,422.05,35.09,1690.37,26596.98
2019,18848.48,3161.2799999999997,13.99,331.98,5382.73,412.24,28.64,2024.2,30203.54
2020,19696.71,3491.7200000000003,11.280000000000001,353.14,6270.12,406.79,34.14,1856.67,32120.57
2021,17166.74,2729.3,5.48,315.93,4958.87,380.83,41.269999999999996,1931.13,27529.550000000003
2022,21788.15,5755.28,9.96,455.17,4866.12,344.34999999999997,36.11,1998.7,35253.840000000004
