"Quarter","Onshore Wind","Offshore Wind","Shoreline wave / tidal","Solar photovoltaics","Hydro","Landfill gas","Sewage sludge digestion","Other Biomass","Total","Wind"
2011 Q1,2201.56,998.07,0.09,15.22,1296.22,1312.56,189.32,1839.19,7852.22,3199.63
2011 Q2,2269.12,1128.61,0.1,65.56,1139.27,1301.87,197.59,1634.7,7736.8,3397.73
2011 Q3,1722.24,1098.45,0.12,104.77,1227.75,1304.25,190.27,1833.42,7481.26,2820.69
2011 Q4,3619.17,1923.9,0.17,56.98,2009.4,1340.1,197.19,1890.12,11037.04,5543.07
2012 Q1,3233.78,1507.04,0.3,177.92,1817.59,1293.94,190.88,2415.09,10636.54,4740.82
2012 Q2,2048.56,1649.95,0.16,437.09,791.77,1273.9,185.89,1522.48,7909.81,3698.51
2012 Q3,2405.29,1707.44,0.14,553.14,1047.21,1289.86,174.6,2051.3,9228.98,4112.73
2012 Q4,3514.32,2738.74,0.33,183.13,1628.15,1290.2,186.64,2747.79,12289.31,6253.06
2013 Q1,3628.96,2804.62,0.31,139.7,1245.09,1281.18,179.85,2648.92,11928.64,6433.58
2013 Q2,3560.19,2614.92,0.29,698,964.67,1276.44,204.16,3548.95,12867.62,6175.11
2013 Q3,2547.35,1965.32,0.3,854.7,741.34,1257.45,184.06,2982.62,10533.13,4512.67
2013 Q4,5843.69,4086.92,0.73,305.24,1728.78,1298.91,197.24,2905.67,16367.19,9930.61
2014 Q1,6153.89,4383.82,0.47,464.97,2231.77,1254.76,191.81,3084.54,17766.05,10537.71
2014 Q2,2792.91,2092.07,0.94,1456.9,1108.92,1246.88,224.6,3939.47,12862.69,4884.98
2014 Q3,2660.26,2242.1,0.22,1544.11,775.83,1223.15,208.16,4439.62,13093.44,4902.36
2014 Q4,5489.17,4686.6,0.57,542.4,1744.09,1246.81,214.88,5176.14,19100.66,10175.77
2015 Q1,6597.11,4675.27,0.57,927.11,2000.15,1222.69,224.62,5458.52,21106.04,11272.38
2015 Q2,4362.26,3577.58,0.47,3073.57,1419.85,1190.49,232.58,5534.1,19390.9,7939.84
2015 Q3,3482.02,3412.26,0.48,2667.14,1023.72,1178.07,216.46,5591.69,17571.85,6894.28
2015 Q4,6550.22,5757.63,0.48,786.86,1824.52,1197.77,220.06,6720.3,23057.84,12307.85
2016 Q1,5786.47,5148.29,0,1443.12,2070.34,1195.47,236.1,6988.27,22868.07,10934.76
2016 Q2,3638.94,3252.21,0,3826.64,928.74,1148.92,250.64,6197.41,19243.5,6891.15
2016 Q3,4211.28,3581.88,0,3699.05,1144.41,1134.05,228.7,4740.05,18739.43,7793.16
2016 Q4,5383.44,4423.36,0.01,1315.3,1203.31,1130.74,234.28,6111.44,19801.88,9806.8
2017 Q1,7060.64,5162.04,0.33,1583.21,1790.44,1069.05,245.75,7504.62,24416.08,12222.68
2017 Q2,5658.52,3991.54,0.1,4508.04,861.12,1032.16,246.72,6401.26,22699.46,9650.06
2017 Q3,5092.52,3959.23,2.44,3890.83,1256.32,1036.62,231.57,6351.22,21820.75,9051.75
2017 Q4,8408.31,7803.11,1.32,1289.71,1944.38,1039.76,242.67,5912.46,26641.72,16211.42
2018 Q1,8654.07,7927.02,3.14,1755.51,1550.72,984.97,242.82,6355.8,27474.05,16581.09
2018 Q2,4929.82,4727.01,3.11,4795.79,948.63,956.22,262.93,7242.62,23866.13,9656.83
2018 Q3,4991.75,5018,1.14,4388.7,888.51,938.51,227.85,7461.34,23915.8,10009.75
2018 Q4,8873.54,8853.17,1.91,1456.06,2025.22,956.14,257.8,8406.9,30830.74,17726.71
2019 Q1,8876.24,8600,3.16,1877.6,1880.61,912.51,262.97,7580.1,29993.19,17476.24
2019 Q2,5472.71,5936.17,3.92,4513.66,826.19,874.49,269.66,7757.08,25653.88,11408.88
2019 Q3,6185.44,7188.31,3.98,4388.2,1399.2,873.59,254.24,7729.32,28022.28,13373.75
2019 Q4,8325.38,10250.67,2.93,1358.55,1791.39,894.41,261.08,8947.71,31832.12,18576.05
2020 Q1,11729.61,13362,2.93,1868.07,2456.65,876.47,268.44,9000.79,39564.96,25091.61
2020 Q2,5541.48,7290.1,3.13,5309.76,1006.3,852.35,278.76,8566.99,28848.87,12831.58
2020 Q3,6087.1,8011.6,3.45,4117.97,1175.16,840.49,253.08,7853.99,28342.84,14098.7
2020 Q4,8310.76,12017.39,1.77,1321.54,2188.64,865.67,265.84,8611.4,33583.01,20328.15
2021 Q1,9005.67,11200.54,1.34,1678.38,1753.96,822.73,261.42,9003.78,33727.82,20206.21
2021 Q2,4763.59,6189.94,1.25,4874.94,997.2,808.76,274.94,8442.03,26352.65,10953.53
2021 Q3,3673.93,6124.24,1.3,3941.22,657.76,807.22,245.07,7898.82,23349.56,9798.17
2021 Q4,9002.02,11994.82,1.59,1363.07,2054.75,816.65,264.63,9336.61,34834.14,20996.84
2022 Q1,10660.95,12610.21,1.54,2036.58,1844.5,771.64,260.94,8735.59,36921.95,23271.16
2022 Q2,6710.63,8876.8,2.73,5031.49,928.38,766.39,262.69,6874.61,29453.72,15587.43
2022 Q3,5199.62,7821.3,3.43,4834.44,722.82,746.93,223.67,8045.66,27597.87,13020.92
2022 Q4,9201.26,15734.94,2.26,1717.26,1794.26,748.33,226.24,6942.32,36366.87,24936.2
