"Year"	"Technology"	"Renewable heat capacity (GW)"	"% Renewable heat capacity"	"Annual output (GWh)"	"% Annual Output"	"Number of Installations"	"% Number of installations"
2022	"Biogas"	0.0942598226575164	0.0411335638020694	282.831798028471	0.0502217602119575	170	0.00394120647285204
2022	"Bioliquid"	0.000509546227057613	0.000222358282138214	1.06607357320739	0.000189300113124257	1	2.3183567487365e-05
2022	"Biomass"	1.80766077057573	0.788835874528835	3749.95478076862	0.665870425879368	8588	0.19910047758149
2022	"Biomethane"	0	0	920.02368	0.163366385846161	18	0.000417304214772569
2022	"Heat pump"	0.355377654833465	0.155081444318381	643.204918602566	0.114212346045893	28607	0.663212315111049
2022	"Solar thermal"	0.0219828029689117	0.0095929633960323	11.5071243637584	0.00204329231916021	5747	0.133235962349886
2022	"Waste"	0.011764375	0.0051337956725445	23.07003	0.00409648958433604	3	6.95507024620949e-05
2022	"Grand Total"	2.29155497226268	1	5631.65840533662	1	43134	1
2021	"Biogas"	0.0926478226575164	0.0416193470666288	278.733451338471	0.0514253687299927	165	0.00415742793791574
2021	"Bioliquid"	0.000509546227057613	0.000228898863050416	1.06607357320739	0.000196686929151242	1	2.51965329570651e-05
2021	"Biomass"	1.78533947057573	0.802011973150396	3666.9864734841	0.676546466243207	8487	0.213842975206612
2021	"Biomethane"	0	0	868.126307	0.160166335354813	16	0.000403144527313042
2021	"Heat pump"	0.314164774783999	0.141129412681171	570.874531564926	0.10532439914662	25370	0.639236041120742
2021	"Solar thermal"	0.021649842968911	0.00972556399724545	11.2977808737584	0.00208440194197637	5646	0.14225962507559
2021	"Waste"	0.011764375	0.00528480424150852	23.07003	0.00425634165423994	3	7.55895988711953e-05
2021	"Grand Total"	2.22607583221322	1	5420.15464783446	1	39688	1
